group,year,month,day,日本の出来事,title,detail,url,type,color,rowNumber,end_year,end_month,end_day,end_time,display_date,image_url,image_credit
シュメール（メソポタミア）,-2900,,,,,,,,,1,-2750,,,,,,
,2500,,,,紀元前,,,,,2,,,,,,,
都市ウル（イラク）,3500,,,,紀元前,,,,,3,,,,,,,
シュルッパク,2900,,,,紀元前,,,,,4,,,,,,,
イスラエル（仮）,1656,,,,紀元前,,,,,5,,,,,,,
ギリシャ（考）,1500,,,,紀元前,,,,,6,,,,,,,
ギリシャ（地）,1630,,,,紀元前,,,,,7,,,,,,,
中国,2000,,,,オーム,,,,,8,,,,,,,
なにか,1660,,,,ゲーリッケの硫黄球,,,,,9,,,,,,,
出来事,1746,,,,ライデン瓶,,,,,10,,,,,,,
出来事,1775,,,,ボルタの電気盆,,,,,11,,,,,,,
出来事,1752,,,,フランクリンの凧,,,,,12,,,,,,,
出来事,1789,,,,クーロンの法則,,,,,13,,,,,,,
出来事,1850,,,,ガウスの法則,,,,,14,,,,,,,
出来事,1850,,,,ウェーバの法則,,,,,15,,,,,,,
出来事,1791,,,,カルバーニの生物電気仮説,,,,,16,,,,,,,
出来事,1799,,,,ボルタの電池,,,,,17,,,,,,,
出来事,1836,,,,ダニエル電池,,,,,18,,,,,,,
出来事,1800,,,,カーライルの水の電気分解,,,,,19,,,,,,,
出来事,1821,,,,ゼーベック効果,,,,,20,,,,,,,
出来事,1834,,,,ペルチェ効果,,,,,21,,,,,,,
出来事,1826,,,,オームの法則,,,,,22,,,,,,,
出来事,1845,,,,キルヒホッフの法則,,,,,23,,,,,,,
出来事,1820,,,,エルステッドの発見,,,,,24,,,,,,,
出来事,1995,,,,,,,,,25,,,,,,,
出来事,1356,,,,,,,,,26,,,,,,,
日本の出来事,1658,,,,,,,,,27,,,,,,,
