group,year,month,day,time,title,detail,url,type,color,rowNumber,end_year,end_month,end_day,end_time,display_date,image_url,image_credit
サン出版→マガジン･マガジン,1978,10,1,,Comic JUN,,,,,1,1978,12,1,,,,
サン出版→マガジン･マガジン,1979,2,1,,JUNE,,,,,2,,,,,,,
サン出版→マガジン･マガジン,1982,10,5,,小説 June,,,,,3,,,,,,,
サン出版→マガジン･マガジン,1988,10,5,,ロマンJune,,,,,4,,,,,,,
サン出版→マガジン･マガジン,1999,10,5,,小説 ピアス,,,,,5,,,,,,,
三和出版,1994,1,15,,小説 asiA,,,,,6,,,,,,,
オークラ出版,1995,4,20,,小説 I's,,,,,7,,,,,,,
オークラ出版,2004,2,23,,小説アクア,,,,,8,,,,,,,
フロム出版,1994,4,15,,小説 Adonis,所蔵無し,,,,9,,,,,,,
コアマガジン,1992,6,30,,小説 イマージュ,,,,,10,,,,,,,
コアマガジン→白夜書房,1994,1,1,,小説 イマージュクラブ,所蔵無し,,,,11,,,,,,,
桜桃書房,1994,2,15,,ECLiPSE,大判1-10号所蔵無し,,,,12,,,,,,,
桜桃書房,1997,4,1,,小説 エクリプス,,,,,13,,,,,,,
桜桃書房,1996,3,15,,小説 Jakow,所蔵無し,,,,14,,,,,,,
桜桃書房,1994,5,10,,小説 Fudge,,,,,15,,,,,,,
桃園書房,1996,9,25,,小説 Caille,欠: Vol.2,,,,16,,,,,,,
幻冬舎コミックス,2003,2,28,,小説 リンクス,,,,,17,,,,,,,
幻冬舎コミックス,2012,10,,,リンクス,,,,,18,,,,,,,
ミリオン出版,1993,9,10,,DEEP,,,,,19,,,,,,,
ミリオン出版,1997,8,1,,Clear,Vol.2のみ,,,,20,,,,,,,
茜新社,1995,3,25,,小説 オヴィス,,,,,21,,,,,,,
茜新社,2002,2,1,,OvisDipp,所蔵無し,,,,22,,,,,,,
茜新社,1997,7,25,,小説 Jam,図書,,,,23,,,,,,,
フロム出版,1997,12,20,,サフィ,所蔵無し,,,,24,,,,,,,
ひかり出版,1994,12,20,,小説 Passion,,,,,25,,,,,,,
ムービック,1994,9,1,,元気読本DX,,,,,26,,,,,,,
ムービック,1997,4,10,,小説GENKi Boys,所蔵無し,,,,27,,,,,,,
芳文社,1996,10,28,,小説 夢音,,,,,28,,,,,,,
芳文社,1994,11,28,,小説 花音倶楽部,,,,,29,,,,,,,
白泉社,1992,,,,小説 花丸,,,,,30,,,,,,,
竹書房,1996,3,26,,小説 REIJIN,,,,,31,,,,,,,
一水社,1998,1,25,,小説 少年天使,,,,,32,,,,,,,
心交社,1996,6,5,,小説 ショコラ,,,,,33,,,,,,,
新書館,1998,9,10,,小説 Dear+,,,,,34,,,,,,,
二見書房,1994,3,1,,Charade,,,,,35,,,,,,,
徳間書店,1997,7,1,,小説 Chara,,,,,36,,,,,,,
徳間書店,2000,1,1,,小説 Chara,,,,,37,,,,,,,
角川書店,2006,11,1,,小説 The Ruby,,,,,38,,,,,,,
ハイランド,1997,6,10,,小説 LAQiA,,,,,39,,,,,,,
ハイランド,2002,12,4,,小説 LAQiA Super Exta,,,,,40,,,,,,,
青磁ビブロス→ビブロス,1997,5,24,,小説 BEaST,倒産により廃刊,,,,41,,,,,,,
青磁ビブロス→ビブロス,1992,12,25,,小説 b-boy,倒産により廃刊,,,,42,,,,,,,
リブレ出版,2006,7,,,小説 b-boy,,,,,43,,,,,,,
,1997,4,10,,小説 キサラ,所蔵無し,,,,44,,,,,,,
ビデオ出版,,,,,小説AMUKA,,,,,45,,,,,,,
