group,year,month,day,time,title,detail,url,type,color,rowNumber,end_year,end_month,end_day,end_time,display_date,image_url,image_credit
日本の化石人骨,-1,,,,浜北人,,,,,1,,,,,約14000年～18000年前,,
日本の化石人骨,-2,,,,港川人,,,,,2,,,,,,,
日本の化石人骨,-3,,,,山下洞人,,,,,3,,,,,,,
新人,-30,,,,ホモ・サピエンス,1350ml,,,,4,,,,,,,
旧人,-30,,,,ホモ・ネアンデルターレンシス,1550ml,,,,5,,,,,,,
原人,-5,,,,ホモ・フロレシエンシス,,,,,6,,,,,,,
原人,-70,,,,ホモ・ハイデルベルゲンシス,1250ml,,,,7,,,,,,,
原人,-180,,,,ホモ・エレクトゥス,トゥルカナボーイ　1000ml ,,,,8,,,,,,,
原人,-240,,,,ホモ・ハビリス,680ml,,,,9,,,,,,,
原人,-250,,,,ホモ・ルドルフェンシス,790ml,,,,10,,,,,,,
猿人,-200,,,,アウストラロピテクス・ロブストゥス,,,,,11,,,,,,,
猿人,-230,,,,アウストラロピテクス・ボイセイ,500ml,,,,12,,,,,,,
猿人,-270,,,,アウストラロピテクス・エチオピクス,,,,,13,,,,,,,
猿人,-270,,,,アウストラロピテクス・ガルヒ,450ml  オルドワン石器,,,,14,,,,,,,
猿人,-280,,,,アウストラロピテクス・アフリカヌス,,,,,15,,,,,,,
猿人,-390,,,,アウストラロピテクス・アファレンシス,ルーシー 450ml,,,,16,,,,,,,
猿人,-420,,,,アウストラロピテクス・アナメンシス,,,,,17,,,,,,,
猿人,-440,,,,アルディピテクス・ラミダス,,,,,18,,,,,,,
猿人,-580,,,,アルディピテクス・カダッパ,,,,,19,,,,,,,
猿人,-600,,,,オロリン・ツゲネンシス,,,,,20,,,,,,,
猿人,-700,,,,サヘラントロプス・チャデンシス,,,,,21,,,,,,,
類人猿,-900,,,,オレオピテクス,,,,,22,,,,,,,
類人猿,-1500,,,,大型類人猿の共通祖先,,,,,23,,,,,,,
出来事,-16,,,,ミトコンドリア・イヴ,,,,,24,,,,,,,
出来事,-9,,,,Y染色体アダム,,,,,25,,,,,,,
出来事,-100,,,,焼けた獣骨,,,,,26,,,,,,,
出来事,-150,,,,ホモエレクトゥス 脳化指数イルカを抜く(2.8),,,,,27,,,,,,,
出来事,-30,,,,火の使用が一般化,,,,,28,,,,,,,
出来事,-7,,,,認知革命,,,,,29,,,,,,,
