group,year,month,day,time,title,detail,url,type,color,rowNumber,end_year,end_month,end_day,end_time,display_date,image_url,image_credit
日本の年号,1989,,,,平成,,,,,1,now,,,,,,
日本の年号,1926,,,,昭和,,,,,2,,,,,,,
日本の年号,1912,,,,大正,,,,,3,,,,,,,
日本の年号,1868,,,,明治,,,,,4,,,,,,,
日本の年号,1588,,,,江戸,,,,,5,,,,,,,
日本の年号,,,,,安土桃山,,,,,6,,,,,,,
日本の年号,,,,,室町,,,,,7,,,,,,,
日本の年号,,,,,鎌倉,,,,,8,,,,,,,
日本の年号,,,,,平安,,,,,9,,,,,,,
日本の年号,,,,,奈良,,,,,10,,,,,,,
日本の年号,,,,,,,,,,11,,,,,,,
時代,-3500,,,,ウルク期(シュメール人),,,,,12,,,,,,,
時代,-2000,,,,クレタ文明,クレタ島,,,,13,,,,,,,
時代,-1600,,,,ミケーネ文明,ミケーネ、ティリンス,,,,14,,,,,,,
時代,-1200,,,,暗黒時代,,,,,15,,,,,,,
時代,-1200,,,,「海の民」、,ヒッタイト滅亡、エジプト新王国シリアから撤退。セム系3民族（アラム、フェニキア、ユダヤ）独立,,,,16,,,,,,,
時代,581,,,,隋,,,,,17,,,,,,,
出来事,-5000,,,,稲作始まる＠長江流域,,,,,18,,,,,,,
出来事,-1000,,,,北部九州への水稲耕作伝来,,,,,19,,,,,,,
出来事,-1046,,,,牧野の戦い  周>殷,,,,,20,,,,,,,
出来事,600,,,,第一回遣隋使,,,,,21,,,,,,,
