group,year,month,day,time,title,detail,url,type,color,rowNumber,end_year,end_month,end_day,end_time,display_date,image_url,image_credit
171227_NRI/政治･社会,2019,5,1,,改元,新天皇即位、新元号に改元,,,,1,,,,,,,
171227_NRI/政治･社会,2019,9,20,,ラグビーWcup日本開催,日本でラグビーワールドカップ2019開催[総務省],,,,2,,,,,,,
171227_NRI/政治･社会,2019,10,1,,消費税率10%引き上げ,消費税率10%引き上げ[財務省],,,,3,,,,,,,
171227_NRI/政治･社会,2019,,,,参議院改選,,,,,4,,,,,,,
171227_NRI/政治･社会,2019,,,,G20日本開催,G20首脳会議日本開催[外務省],,,,5,,,,,,,
171227_NRI/政治･社会,2020,4,,,オートライト義務化,自動車の自動点灯(オートライト)が新型車に義務化[国交省],,,,6,,,,,,,
171227_NRI/政治･社会,2020,7,,,オリンピック日本開催,夏季オリンピック・パラリンピック日本開催,,,,7,,,,,,,
171227_NRI/政治･社会,2020,,,,自動運転実用化,自動運転車を実用化[国交省],,,,8,,,,,,,
171227_NRI/政治･社会,2020,,,,無人移動サービス実用化,高速道路での自動走行や限定地域での無人自動走行による移動サービス解禁[国交省],,,,9,,,,,,,
171227_NRI/政治･社会,2020,4,1,,新東名全線開通,新東名高速道路が全線開通(17年度時点で御殿場～厚木南が未開通),,box,,10,,,,,,,
171227_NRI/政治･社会,2022,,,,参議院改選,,,,,11,,,,,,,
171227_NRI/政治･社会,2023,,,,日本総世帯数ピーク,日本の総世帯数がピークの5419世帯に[IPSS],,,,12,,,,,,,
171227_NRI/政治･社会,2025,,,,日本高齢化率30%,日本の高齢化率(65歳以上)が30.0%に[IPSS],,,,13,,,,,,,
171227_NRI/政治･社会,2025,,,,日本総人口1.22億人,日本の総人口が1億2254万人に減少[IPSS],,,,14,,,,,,,
171227_NRI/政治･社会,2025,,,,日本75歳以上2千万人超,日本の75歳以上の人口が2千万人を超える[IPSS],,,,15,,,,,,,
171227_NRI/政治･社会,2025,,,,団塊の世代75歳以上に,団塊の世代が全て75歳以上に[厚労省],,,,16,,,,,,,
171227_NRI/政治･社会,2025,,,,東京都人口ピーク,"東京都の人口が1,398万人でピークに[東京都]",,,,17,,,,,,,
171227_NRI/政治･社会,2025,4,1,,年金受給65歳へ,男性の厚生年金の受給が65歳からに全面的に引き上げ[厚労省],,,,18,,,,,,,
171227_NRI/政治･社会,2026,,,,アジア大会愛知開催,アジア競技大会愛知県開催[愛知県],,,,19,,,,,,,
171227_NRI/政治･社会,2027,,,,リニア開業,リニア中央新幹線(東京～名古屋) 開業[国交省],,,,20,,,,,,,
171227_NRI/政治･社会,2026,,,,日本原発半数廃炉,日本の原発48基のうち約半数が廃炉に[経産相],,,,21,,,,,,,
171227_NRI/政治･社会,2035,,,,全都道府県で世帯数減少,沖縄を除く46都道府県で世帯数が減少[IPSS],,,,22,,,,,,,
171227_NRI/政治･社会,2042,,,,日本高齢人口ピーク,日本の高齢者人口が3935万人でピークを迎え、その後減少に転じる[IPSS],,,,23,,,,,,,
171227_NRI/政治･社会,2045,,,,リニア関西まで開業,リニア中央新幹線(名古屋～大阪)開業[国交省],,,,24,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,25,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,26,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,27,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,28,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,29,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,30,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,31,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,32,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,33,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,34,,,,,,,
