group,year,month,day,time,title,detail,url,type,color,rowNumber,end_year,end_month,end_day,end_time,display_date,image_url,image_credit
日本の年号,1989,,,,平成,,,,,1,now,,,,,,
日本の年号,1926,,,,昭和,,,,,2,,,,,,,
日本の年号,1912,,,,大正,,,,,3,,,,,,,
日本の年号,1868,,,,明治,,,,,4,,,,,,,
人物,1877,2,28,,鳥羽 静,,,,,5,,,,,,,
人物,1875,12,18,,鳥羽 靄,,,,,6,,,,,,,
人物,1916,8,7,,鳥羽 聖,,,,,7,,,,,,,
人物,1880,,,,西岡 徳次郎,,,,,8,,,,,,,
人物,1887,,,,唐屋 茂,,,,,9,,,,,,,
人物,1890,,,,蘭,,,,,10,,,,,,,
人物,1929,,,,鳥羽 健,鳥羽家次男、鳥羽製薬会長,,,,11,,,,,,,
人物,1983,12,18,,兎鳴 靄(平成母),,,,,12,,,,,,,
人物,1987,2,28,,鳥羽 静(平成父),,,,,13,,,,,,,
人物,2009,,,,鳥羽 丹,,,,,14,,,,,,,
人物,2007,,,,鳥羽 紫,,,,,15,,,,,,,
人物,1720,5,11,,太夫　糸菊,,,,,16,,,,,,,
人物,1863,,,,番頭代理,,,,,17,,,,,,,
人物,1868,,,,五十鈴川 肇(地主),,,,,18,,,,,,,
人物,1863,,,,番頭,,,,,19,,,,,,,
人物,1877,3,2,,井上 三郎(さぶ),,,,,20,,,,,,,
出来事,1887,,,,静　遊郭　靄聲楼勤務,足抜けし、花街を脱出,,,,21,,,,,,,
出来事,1887,,,,靄　遊郭　靄聲楼勤務,静に身請けされ卒業,,,,22,,,,,,,
出来事,,,,,,,,,,23,,,,,,,
出来事,1905,7,30,,静　靄　結婚,,,,,24,,,,,,,
出来事,2006,,,,平成夫妻 結婚,所謂デキ婚,,,,25,,,,,,,
出来事,1926,,,,聖 肺病発症,,,,,26,,,,,,,
出来事,1908,,,,鳥羽一門　不死に,静・三郎31歳　靄33歳　徳次郎28歳　茂21歳,,,,27,,,,,,,
