group,year,month,day,time,title,detail,url,type,color,rowNumber,end_year,end_month,end_day,end_time,display_date,image_url,image_credit
主要キャラクター関連の出来事,2015,6,,,カラマイ空港エアショー,"第1巻　p12～　
　慧の母親が展示飛行中にザイの襲撃を受ける。",,,,1,,,,,,,
主要キャラクターが関連する作戦行動,2017,6,6,,グリペン、上海沖に出撃（上海脱出戦）,"第1巻　p37
　グリペン、上海沖でザイと交戦後海上に墜落。",,,,2,,,,,,,
その他の出来事,2015,9,6,,キルギス上空での空戦,"第1巻　p20
　ロシア空軍機とザイが交戦。発表は翌 9/7。",,,,3,,,,,,,
掲載巻,2015,6,,,第1巻,,,range,Red,4,,,,,,,
その他の出来事,2015,12,,,中国国内においてザイが勢力を拡大,"第1巻　p20
　中国国内の状況についてロシア副首相が会見。",,,,5,,,,,,,
その他の出来事,2016,6,16,,中国・国防動員法を適用,"第1巻　p20
　新華社通信 → BBC での報道による。",,,,6,,,,,,,
その他の出来事,2017,2,24,,中国政府・軍、崩壊状態,"第1巻　p20
　アメリカ国防長官の発言による。",,,,7,,,,,,,
その他の出来事,2017,5,10,,上海地方臨時政府、日本へ脱出船団受入れを要請,"第1巻　p20
　NHK での報道による。",,,,8,,,,,,,
主要キャラクター関連の出来事,2017,6,6,,慧、グリペンと出会う,"第1巻　p37
　グリペンの再起動が確認される。",,,,9,,,,,,,
主要キャラクター関連の出来事,2001,,,,慧、明華、生まれる,"※第1巻　p46 より推測
　ともに2017年6月時点で16歳。",,,,10,,,,,,,
主要キャラクター関連の出来事,2008,6,,,慧、セスナ機を操縦。,"第1巻　p49, p132
　慧、母親とともに C172R に搭乗し、操縦。",,,,11,,,,,,,
主要キャラクター関連の出来事,2008,1,,,慧、明華と出会う,"※第1巻　p56 
　「九年分の劣勢」より",,,,12,,,,,,,
その他の出来事,2017,6,7,,空母ジョージ・ワシントン、横須賀を出港,"第1巻　p96
　街頭ビジョンでの報道による。",,,,13,,,,,,,
その他の出来事,2017,6,8,,常熟市壊滅,"第1巻　p193
　ネットでの情報による",,,,14,,,,,,,
主要キャラクター関連の出来事,2017,6,13,,慧、八代通に拉致される。,"第1巻　ｐ74～
　慧、明華とともに小松基地へ。",,,,15,,,,,,,
主要キャラクター関連の出来事,2017,6,14,,慧とグリペン、小松基地内部を散策（第1巻Ⅲ章）,"第1巻　p122
　「また明日（6/15）」より逆算。",,,,16,,,,,,,
主要キャラクター関連の出来事,2017,6,15,,慧とグリペン、小松市内へ,"第1巻　p169
　「安宅海岸でのやり取りから一晩明け（6/16）」より逆算。",,,,17,,,,,,,
主要キャラクター関連の出来事,2017,6,16,,慧とグリペン、フライトシミュレータ試験,"第1巻　p182
　「シミュレータ試験から二日（6/18）」より逆算。",,,,18,,,,,,,
主要キャラクター関連の出来事,2017,6,18,,慧とグリペンの脳波の一致が確認される,"第1巻　p193
　常熟市壊滅（6/8）が「十日前」となっている。",,,,19,,,,,,,
主要キャラクター関連の出来事,2017,6,21,,グリペンの試験日,"第1巻　p205～
　試験中にザイ来襲、イーグルが迎撃。",,,,20,,,,,,,
主要キャラクターが関連する作戦行動,2017,6,27,,慧、グリペンに搭乗し初出撃（小松防衛戦）,"第1巻　p291
　7/18 が「あれから3週間もたっている」より逆算。",,,,21,,,,,,,
主要キャラクター関連の出来事,2017,7,18,,慧、小松市内の高校に編入,"第1巻　p291 
",,,,22,,,,,,,
掲載巻,2017,7,22,,第2巻,,,range,Red,23,,,,,,,
主要キャラクター関連の出来事,2017,7,22,,慧、グリペンと過ごす、ほか。,"第2巻　p20 
　イーグルとのDACT, 体力測定、グリペンの部屋訪問、ファントム小松着任。",,,,24,,,,,,,
主要キャラクター関連の出来事,2017,7,23,,慧、ファントムと知り合う。,"第2巻　p66
　そのまま3機種によるDACTへ。
",,,,25,,,,,,,
その他の出来事,2017,7,23,,独立混成飛行実験隊（独飛）運用開始,"第2巻　p66
　",,,,26,,,,,,,
主要キャラクター関連の出来事,2017,7,26,12:15,慧、明華との買物中に呼集される。,"第2巻　p112～
",,,,27,,,,,,,
主要キャラクターが関連する作戦行動,2017,7,26,13:00,独飛によるザイ基地攻撃支援（島嶼奪還作戦）,"第2巻　p112～
　東シナ海南西部での作戦行動（失敗）。",,,,28,,,,,,,
主要キャラクター関連の出来事,2017,7,26,18:00,慧・グリペン、ファントムと対戦,"第2巻　p171～
　那覇基地のシミュレータによる。",,,,29,,,,,,,
主要キャラクターが関連する作戦行動,2017,7,27,5:00,独飛によるザイ基地攻撃支援（島嶼奪還作戦）,"第2巻　p196～
　東シナ海南西部での作戦行動（成功）。",,,,30,,,,,,,
主要キャラクター関連の出来事,2017,7,28,11:00,慧、グリペンたちと海水浴,第2巻　p220,,,,31,,,,,,,
掲載巻,2017,8,7,,第3巻,,,range,Red,32,,,,,,,
主要キャラクター関連の出来事,2017,8,7,,慧・夢をみる。,"※第3巻　p19～
　8/8 が「明日」となっていることから逆算。",,,,33,,,,,,,
主要キャラクター関連の出来事,2017,8,8,,慧・明華と外出／ライノと出会う,"第3巻　p42～
　途中で八代通に連行され厚木へ。",,,,34,,,,,,,
主要キャラクター関連の出来事,2017,8,9,,慧・トレーニングに出る。,"第3巻　p102～
　途中でファントムに遭遇。その後明華と会話。",,,,35,,,,,,,
