group,year,month,day,time,title,detail,url,未実装imagecredit,type,color,rowNumber,end_year,end_month,end_day,end_time,display_date,image_url,image_credit
映画監督,1898,,,,セルゲイ・ミハーイロ・エイゼンシュタイン,,,,,,1,1948,,,,,,
哲学者,1901,,,,ラカン,,,,,,2,,,,,,,
哲学者,1856,,,,フロイト,,,,,,3,,,,,,,
哲学者,1857,,,,ソシュール,,,,,,4,,,,,,,
哲学者,1859,,,,フッサール,,,,,,5,,,,,,,
作品,1929,,,,エイゼンシュタイン「映画における第四次元」,,,,,,6,,,,,,,
作品,1925,,,,エイゼンシュタイン『戦艦ポチョムキン』,,,,box,,7,,,,,,,
映画監督,1875,,,,D・W・グリフィス,,,,,,8,,,,,,,
作品,1916,,,,グリフィス『イントレランス』,,,,box,,9,,,,,,,
出来事,1927,,,,トーキーの誕生『ジャズ・シンガー』,,,,box,,10,,,,,,,
出来事,1895,,,,リュミエール兄弟によるシネマトグラフの誕生,,,,box,,11,,,,,,,
出来事,1722,,,,バッハによる平均律の誕生,,,,,,12,,,,,,,
音楽家,1685,,,,J・S・バッハ,,,,,,13,,,,,,,
音楽家,1926,,,,ジョン・コルトレーン,,,,,,14,,,,,,,
作品,1961,,,,コルトレーン『マイ・フェイヴァリット・ソングス』,,,,,,15,,,,,,,
音楽家,1901,,,,ルイ・アームストロング,,,,,,16,,,,,,,
音楽家,1899,,,,デューク・エリントン,,,,,,17,,,,,,,
出来事,1915,,,,ハーレム・ルネッサンス,,,,,,18,,,,,,,
世界史,1929,,,,大恐慌,,,,,,19,,,,,,,
音楽家,1933,,,,ジェイムス・ブラウン,,,,,,20,,,,,,,
