Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
仁川国際空港,2001,,,,,,,,,開港,,,,,,
仁川国際空港,2001,,,,now,,,,,ターミナル1,,,,,,
仁川国際空港,2018,,,,now,,,,,ターミナル2,,,,,,
仁川国際空港,2008,,,,now,,,,,貨物ターミナル,,,,,,
仁川国際空港,2001,,,,now,,,,,第1滑走路,,,,,,
仁川国際空港,2001,,,,now,,,,,第2滑走路,,,,,,
仁川国際空港,2008,,,,now,,,,,第3滑走路,,,,,,
韓国での出来事,2002,,,,,,,,,FIFAワールドカップとアジア大会開催,,,,,,
韓国での出来事,2008,,,,,,,,,中国で北京オリンピック開催,,,,,,
韓国での出来事,1980,,,,,,,,,韓国空港公社(KAC)発足,,,,,,
出来事,1939,,,,1945,,,,,第二次世界大戦,,,,,,
出来事,1973,,,,,,,,,オイルショック,,,,,,
出来事,2007,,,,,,,,,世界金融危機,,,,,,
出来事,1903,,,,,,,,,ライト兄弟による初飛行,,,,,,
出来事,1936,,,,,,,,,ダグラスDC-3就航開始,,,,,,
出来事,1943,,,,,,,,,ロッキードコンステレーション（4発大型航空機）初飛行,,,,,,
出来事,1957,,,,,,,,,B707（ジェット旅客機）初飛行,,,,,,
出来事,1969,,,,,,,,,B747（ジャンボジェット）初飛行,,,,,,
出来事,1976,,,,,,,,,超音速航空機（コンコルド）就航開始,,,,,,
出来事,2007,,,,,,,,,A380（総2階建て巨人機）就航開始,,,,,,
出来事,2011,,,,,,,,,B787（中型ジェット機）,,,,,,
出来事,1995,,,,2005,,,,,アジア・オーストラリア・中南米でLCCの企業が相次ぐ,,,,,,
