Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
プロジェクト,2010,5,29,,,,,,,企画始動の発表,「電撃G's magazine」2010年7月号にて,,,,,
楽曲,2010,8,13,,,,,,,1stシングル「僕らのLIVE 君とのLIFE」発売,"C78にて夏コミ限定盤として発売、後に通常版が発売
当時は「μ'ｓ」の名称がなかったため，アーティスト名義は「ラブライブ！School idol project」
初動売り上げ434枚",,,,,
人気投票,2010,8,13,,2010,9,10,,,　「いきなり真夏の総選挙」（第1回総選挙）開始,"2ndシングルのセンターポジション決定のためのキャラクター投票（9月10日結果発表）
順位は、穂乃香，海未，希，凛，にこ，真姫，花陽，絵里，ことり
",,,,,
プロジェクト,2010,9,30,,,,,,,キャスト9人の発表,「電撃G's magazine」2010年11月号にて,,,,,
プロジェクト,2010,11,30,,,,,,,グループ名が「μ'ｓ」に決定,"「電撃G's magazine」2011年1月号にて
　「ミューズとは，音楽や舞踏，文芸をつかさどるギリシャ神話の女神たちの名」
　名付け親は　御児勇馬　氏、Printempsの名付け親でもある
",,,,,
楽曲,2010,12,22,,,,,,,　2ndシングル「Snow halation」発売,,,,,,
人気投票,2010,12,27,,2011,1,29,,,第2回総選挙開始,"3rdシングルのセンターポジション決定のためのキャラクター投票（1月29日結果発表）
　順位は、にこ，ことり，希，穂乃果，海未，凛，花陽，真姫，絵里",,,,,
プロジェクト,2011,1,29,,,,,,,ユニット企画の発表,"「電撃G's magazine」2011年3月号にて
ユニット編成パターン5つから投票で決定する形式
　リーダーは穂乃香、海未、絵里と最初から決定していた",,,,,
プロジェクト,2011,2,28,,,,,,,ユニット編成決定,"「電撃G's magazine」2011年4月号にて
編成はそれぞれ，「穂乃果・ことり・花陽」「絵里・にこ・真姫」「海未・希・凛」
　同時に各ユニット名の募集開始
",,,,,
プロジェクト,2011,4,4,,,,,,,ユニット名決定,"「電撃G's magazine」2011年5月号にて
「Printemps（プランタン：穂乃果のユニット）」「BiBi（ビビ：絵里のユニット）」「lily white（リリーホワイト：海未のユニット）」",,,,,
放送・放映,2011,5,23,,,,,,,「ラブライ部 ニコ生課外活動 ～ことほのうみ～」開始,"ニコニコ生放送にて月1回配信
　第9回より，出演者が新田恵海，内田彩，Pileの三人に変更し，番組名も「ラブライ部 ニコ生課外活動 ～ことほのまき～」となった
　2013年12月20日まで，全27回と特番4回が放送された
　2014年には『Pizza Hut』コラボ版として復活配信が実施された　らしい",,,,,
楽曲,2011,5,25,,,,,,,ユニット第一弾シングルが順次発売,"　Printemps：「Love marginal」（5月25日）
　BiBi：「ダイヤモンドプリンセスの憂鬱」（6月22日）
　lily white：「知らないLove*教えてLove」（7月27日）",,,,,
イベント,2011,5,29,,,,,,,2011年度ラブライ部員とμ’sの課外活動　第1回 μ'sユニットPrintempsシングル発売記念トーク＆ノベルティお渡し会,"ラブライブ初の対外イベント
　AKIHABARAゲーマーズ本店　8F
　伝説の80人
　以降、「ラブライ部員とμ’sの課外活動」は2012年度まで続けられた、2012年度第14回「μ’s First LoveLive! BD開封式＆生鑑賞オーディオコメンタリー大会 @アニメイト横浜」が最終と思われる",,,,,
プロジェクト,2011,5,30,,,,,,,「ラブライ部 G's課外活動 ～のぞまきえり～」開始,"電撃G's magazine」2011年7月号より開始
ファンページ、ファンの投稿やキャラへの質問、ミニ投票等が掲載された",,,,,
放送・放映,2011,5,31,,,,,,,「ラブライ部 ラジオ課外活動 ～にこりんぱな～」開始,"インターネットラジオとして，「Lantis NetRadio」他にて月1回配信
　2012年12月15日まで，全18回が放送された
　2011年度ラブライ部員とμ'sの課外活動 第5回（9月3日）では公開録音も行われた",,,,,
イベント,2011,8,5,,2011,8,14,,,ラブライブ！カフェ　オープン,"CURE MAID CAFÉ　とのコラボキャンペーン
　8月14日まで開催
　キャラクタードリンク、ユニットイメージメニュー
　キュアメイドカフェ μ’ｓイメージガール投票　1位は海未
　2012年、2013年、2014年、2015年（2回）も開催された
　この縁により1期第9話にてCURE MAID CAFÉが登場することとなった",,,,,
楽曲,2011,8,24,,,,,,,"3rdシングル「夏色えがおで1,2,Jump!」発売",,,,,,
人気投票,2011,8,24,,,,,,,第3回総選挙開始,"4thシングルのセンターポジション決定のためのキャラクター投票（9月30日結果発表）
　上位三名はソロアルバムが一般販売される権利が与えられた（残り六名は通販販売）
　順位は、穂乃果，ことり，海未，希，にこ，真姫，絵里，凛，花陽
",,,,,
ライブ,2011,9,3,,,,,,,1stライブ開催決定,"『2011年度ラブライ部員とμ’sの課外活動 第6回 μ’s 3rdシングル「夏色えがおで1,2,Jump!」発売記念 公開打ち上げパーティ』にて
　上記はニコ生",,,,,
楽曲,2011,11,23,,,,,,,ラブライブ！ Solo Live! from μ's　発売,"第3回総選挙の結果を踏まえ二年生組3人のソロアルバムが順次発売
　園田海未「海色少女に魅せられて」（私たちは未来の花）
　南ことり「ことりLovin' you」（スピカテリブル）
　高坂穂乃果「ほんのり穂乃果色！」（愛は太陽じゃない、もうひとりじゃないよ）（1位特権により新規2曲）",,,,,
書籍,2011,11,30,,,,,,,漫画「ラブライブ！」連載開始,"「電撃G's magazine」2012年1月号より
2014年5月号まで連載，以降は「電撃G'sコミック」にて連載",,,,,
楽曲,2012,2,15,,,,,,,4thシングル「もぎゅっと“love”で接近中！」発売,,,,,,
人気投票,2012,2,15,,,,,,,第4回総選挙開始,"5thシングルのセンターポジション決定のためのキャラクター投票
　順位は、ことり（768票），にこ，真姫，花陽，海未，穂乃果，希，凛，絵里（542票）
　総投票数　5,618票",,,,,
ライブ,2012,2,19,,,,,,,「ラブライブ！ μ's First LoveLive!」,"横浜BLITZ
　ライブの最後にアニメ化が発表された",,,,,
プロジェクト,2012,2,19,,,,,,,アニメ化発表,,,,,,
プロジェクト,2012,2,29,,,,,,,デュオ・トリオシングル発売決定,"電撃G's magazine」2012年4月号にて元気ハツラツコンビ（穂乃香、凛）　「Mermaid festa vol.2 ?Passionate?」
　ラブリーボイスコンビ（希、にこ）　「乙女式れんあい塾」
　ロマンチック乙女（ことり、花陽）　「告白日和、です！」
　クール＆ビューティー（海未、真姫、絵里）　「soldier game」
　4月25日より順次発売されていく
",,,,,
ライブ,2012,8,26,,,,,,,Animelo Summer Live 2012 -INFINITY∞-,"　2日目に出演、「夏色えがおで1,2,Jump!」を歌唱
　以降、2013年、2014年、2015年と出演",,,,,
楽曲,2012,9,5,,,,,,,5thシングル「Wonderful Rush」,,,,,,
プロジェクト,2012,9,15,,,,,,,2ndライブ（「ラブライブ！ μ's New Year LoveLive! 2013」）開催決定,2012年度ラブライ部員とμ'sの課外活動 第13回 μ's全員集合！ 5th発売記念トークイベント　にて,,,,,
人気投票,2012,9,15,,,,,,,「電撃G’sマガジン カバーガール決定戦」投票,"　「電撃G's magazine」2013年3月号（2013年1月発売）の表紙を飾るキャラを決定する企画
　投票は10月5日まで
　投票総数は4,001票、１位　高坂 穂乃果（616票）",,,,,
楽曲,2012,10,17,,,,,,,「ラブライ部 ラジオ課外活動 にこりんぱな テーマソングDJCD」発売,,,,,,
放送・放映,2012,11,1,,,,,,,「放課後ラブライブ！」放送開始,"「リスアニ! TV」にて放送
　12月27日まで放送された",,,,,
BD/DVD,2012,11,21,,,,,,,BD/DVD「ラブライブ！ μ's First LoveLive!」発売,,,,,,
ライブ,2013,1,3,,,,,,,「ラブライブ！ μ's New Year LoveLive! 2013」開催,"　TOKYO DOME CITY HALL
　ライブの最後に3rd Anniversary LoveLive! の開催が発表された
　南條愛乃はスケジュール都合により不参加",,,,,
アニメ,2013,1,6,,2013,3,31,,,テレビアニメ第1期放送開始,"TOKYO MX，読売テレビ，テレビ愛知，BS11にて放送
　3月31日まで、全13話が放送された",,,,,
楽曲,2013,1,9,,,,,,,「ラブライブ！ μ's Best Album Best Live! collection」発売,　これまでに発表済みのすべての楽曲（「Solo Live!」収録曲を除く）を収録,,,,,
放送・放映,2013,1,9,,,,,,,「ラブライブ！μ's広報部～にこりんぱな～」開始,"インターネットラジオとして，「HiBiKi Radio Station」他にて毎週ないし隔週水曜日に配信された
　2016年3月23日の第98回をもって番組終了",,,,,
楽曲,2013,1,23,,,,,,,アニメ1期ＯＰ「僕らは今の中で」発売,,,,,,
ゲーム,2013,1,24,,,,,,,神様と運命革命のパラドクス,"日本一ソフトウェア
　本作のヒロインキャラクターの声をμ'sが担当しているという設定でのコラボレーション
　4月24日にキャラクターソングアルバム『天使たちの福音～ feat.µ’s』が発売された",,,,,
楽曲,2013,2,6,,,,,,,アニメ1期ＥＤ「きっと青春が聞こえる」発売,,,,,,
楽曲,2013,2,20,,,,,,,アニメ1期挿入歌「ススメ→トゥモロウ/START:DASH!!」発売,「高坂穂乃果，南ことり，園田海未」名義,,,,,
楽曲,2013,3,6,,,,,,,アニメ1期挿入歌「これからのSomeday／Wonder zone」発売,2013年3月18日付のオリコン週間ランキング7位,,,,,
BD/DVD,2013,3,22,,,,,,,アニメ1期ＢＤ発売開始,"以後，9月25日まで全7巻が順次発売
　各巻にキャラクターソングＣＤを封入（1巻は「夢なき夢は夢じゃない」（高坂穂乃果），2巻は「Anemone heart」（南ことり・園田海未），3巻は「なわとび」（小泉花陽），4巻は「Beat in Angel」（西木野真姫・星空凛），5巻は「にこぷり　女子道」（矢澤にこ），6巻は「硝子の花園」（絢瀬絵里・東條希），7巻は「LONELIEST BABY」（μ'ｓ）を収録したＣＤが付属
　ゲーマーズ全巻購入特典は，Printemps録りおろし新曲「ぷわぷわーお！」収録CD
",,,,,
人気投票,2013,3,31,,,,,,,第5回総選挙開始,"6thシングルのセンターポジション決定のためのキャラクター投票（5月30日結果発表）
　順位は、真姫，絵里，穂乃果，凛，にこ，花陽，海未，希，ことり
　投票総数　91,723票",,,,,
楽曲,2013,4,3,,,,,,,アニメ1期挿入歌「No brand girls／START:DASH!!」発売,2013年4月15日付のオリコン週間ランキング5位,,,,,
楽曲,2013,4,10,,,,,,,アニメ1期サントラ「Notes of School idol days」発売,,,,,,
スクフェス,2013,4,15,,,,,,,配信開始,,,,,,
スクフェス,2013,9,24,,,,,,,ユーザー数100万人突破,,,,,,
スクフェス,2014,２,24,,,,,,,ユーザー数200万人突破,,,,,,
スクフェス,2014,5,12,,,,,,,英語版を全世界へリリース。,,,,,,
