Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
気候,800,,,,1300,,,,,温暖期,,,,,,
気候,1400,,,,1900,,,,,小氷期,,,,,,
疫病,541,,,,756,,,,,ペスト,,,,,,
疫病,1331,,,,1855,,,,,ペスト,,,,,,
疫病,1855,,,,1960,,,,,ペスト,,,,,,
ルネサンス,700,,,,800,,,,,アラビアルネサンス ,7世紀には、ムハンマド（マホメット）によるイスラム教のもとでのアラビア半島統一が起きる。イスラム帝国が築かれるなか王朝がペルシャ系に替わり、首都バクダードにペルシャ文化が流入する。とくにムーゼイオン以来といわれるバクダードの研究機関「知恵の館」では、キリスト教異端者たちがペルシャで伝えてきたシリア語写本がアラビア語写本にされ、さらにはインドの数学や中国の技術文化まで吸収していく。この8世紀から9世紀までの動きを、「アラビア・ルネサンス」(伊藤）と呼ぶ。,,,,,
ルネサンス,700,,,,800,,,,,カロリング朝ルネサンス,フランク王国のカロリング朝・カール大帝のアーヘン宮廷を中心に、聖職者に正しいラテン語の知識を与えることなどを目的として始まった文化復興の運動。中世のゲルマン社会で衰退した古典文芸を復活させようとした面をとらえ、後のルネサンスの先駆けとして、カロリング＝ルネサンスと言われる。中心になったのはイギリス生まれの神学者でカール大帝に招かれたアルクィンである。,,,,,
ルネサンス,900,,,,1000,,,,,マケドニア朝ルネサンス,バシレイオス1世以下歴代のマケドニア王朝期（867年 - 1057年）の皇帝たちはローマ帝国の復興を目指して行政機構や法律を整備し、軍事面でもイスラム支配下にあった東地中海を回復、またブルガリアやロシアなど東欧地域へのキリスト教布教を進めた。こうしてマケドニア王朝時代に皇帝専制体制は頂点に達し、軍事･経済面で東ローマ帝国は繁栄の時代を迎え、その繁栄は文化面にも及んだ。この第２次黄金時代とよばれたマケドニア・ルネサンス時代はヘレニズム美術への回帰現象が起こり擬古典的な趣きが強くなる。それが、ルネサンスと呼ばれる所以である,,,,,
ルネサンス,1100,,,,1200,,,,,商業ルネサンス,ヨーロッパの貨幣経済が再び活発になるとともに商業が復興、それに伴って都市人口が増加し、都市も復活した。このような経済史上の動きを「商業ルネサンス（商業の復活）」と呼んだ,,,,,
ルネサンス,1100,,,,1200,,,,,１２世紀ルネサンス, １２世期ルネサンスは、十字軍運動によってビザンツやイスラームの文化に接したことで起きた。イスラームを経由してギリシアの文化や哲学の古典がヨーロッパにもっとも多く流入したのは、イベリア半島のトレドとシチリア島のパレルモをルートとしていた。また新しい思想や芸術を受けいれた背景には、封建制の確立、農業生産力の向上（三圃制農業など）、人口増加とそれに伴って貨幣経済の発展（商業の復活）と都市の勃興（および知識人の登場）などがある。  ,,,,,
ルネサンス,1200,,,,1300,,,,,パレオロゴス朝ルネサンス,"パレオロゴス朝時代政治・軍事・経済面での衰退に直面した東ローマ帝国の人々は、帝国の栄光を古代から継承してきた古代ギリシャ文化に求めた。哲学・文学・天文学・歴史などの研究が進み、古代ギリシャ・ローマの古典作品の注釈や写本の製作が隆盛を極めた。美術面でもそれまでの平面的な宗教画から、写実的な新しい画風が生まれ、モザイク画やフレスコ画の傑作が生まれた。これらの文化的興隆は後に「パレオロゴス朝ルネサンス」と呼ばれる。
",,,,,
ルネサンス,1300,,,,1563,,,,,イタリアルネサンス,,,,,,
ルネサンス,1520,,,,1600,,,,,マニエリスム,マニエリスム (伊: Manierismo ; 仏: Maniérisme ; 英: Mannerism) とはルネサンス後期の美術で、イタリアを中心にして見られる傾向を指す言葉である。マンネリズムの語源。美術史の区分としては、盛期ルネサンスとバロックの合間にあたる。イタリア語の「マニエラ（maniera：手法・様式）」に由来する言葉である[2][3]。ヴァザーリはこれに「自然を凌駕する行動の芸術的手法」という意味を与えた。,,,,,
ルネサンス,1450,,,,1600,,,,,北方ルネサンス,北方ルネサンスは、狭義には北ヨーロッパでのルネサンス運動を指し、広義ではイタリア以外でのヨーロッパにおけるルネサンス運動全体を指す美術史用語。1450年終わりになるまでイタリアでのルネサンス人文主義はイタリア以外のヨーロッパ諸外国にはほとんど影響を及ぼさなかったが、15世紀後半にはルネサンス運動は全ヨーロッパに波及した。その結果、「ドイツ・ルネサンス」、「フランス・ルネサンス」、「イングランド・ルネサンス」、「ネーデルラント・ルネサンス」、「ポーランド・ルネサンス」など、それぞれの国でルネサンスの影響を受けた多種多様な芸術運動が展開された。,,,,,
ルネサンス,1650,,,,1750,,,,,啓蒙時代,ヨーロッパで啓蒙思想が主流となっていた17世紀後半から18世紀にかけての時代のこと。啓蒙思想とは、聖書や神学といった従来の権威を離れ、理性（悟性）による知によって世界を把握しようとする思想運動である,,,,,
魔女狩り,1400,,,,1782,,,,,魔女裁判（ただし軽微なものも含める）,1782年にスイスで行われた裁判と処刑が、ヨーロッパにおける最後の魔女裁判であるとされる,,,,,
地域別魔女狩り,1590,,,,1782,,,,,魔女狩りのピーク,,,,,,
産業の革命的変化,1050,,,,1300,,,,,中世の農業革命,"11～13世紀は大開墾時代と呼ばれ，耕地が急速に拡大していった
。それを支えたのは，鉄製農具の普及，とりわけ重量有輪犂の利用や，役
畜の繋駕法の改良・馬の蹄鉄の使用などである。このため深耕が可能にな
り，平年作で小表の播種量と収穫量の比は1対4と安定した収穫が得られる
ようになった。

また，小麦畑（秋畑）のほか，役畜の飼料用作物としての燕麦栽培（春畑
），地味の回復をはかる休閑地による三圃制が取り入れられ，これを順を
追って輪作することで問題を解決した。",,,,,
産業の革命的変化,1760,,,,1840,,,,,イギリス産業革命,1760年代から1830年代にかけてイギリスで起こった「最初の」産業革命を指した言葉であり、市民革命と並んで、近代とそれ以前を分かつ分水嶺とされている。イギリスを皮切りにベルギー、フランス、アメリカ、ドイツ、ロシア、日本と順次各国でも産業革命が起こったとされた。,,,,,
大航海時代,1415,,,,1648,,,,,大航海時代,「大航海時代」の名称は、1963年岩波書店にて「大航海時代叢書」を企画していた際、それまでの「地理上の発見」、「大発見時代」（Age of Discovery / Age of Exploration）といったヨーロッパ人の立場からの見方による名称に対し、新しい視角を持ちたいとの希求から、増田義郎により命名された。増田は、大航海時代の時間的範囲について、議論があると前置きした上で、具体的な始まりと終わりの年を提案している。増田によれば、大航海時代の始まりは、1415年におけるポルトガルのセウタ攻略。終わりの年は、三十年戦争が終結し、ロシア人の探検家セミョン・デジニョフがチュクチ半島のデジニョフ岬に到達した1648年である,,,,,
異端、異教徒討伐、新旧対立,718,,,,1492,,,,,レコンキスタ,レコンキスタ（スペイン語: Reconquista）は、718年から1492年までに行われた、複数のキリスト教国家によるイベリア半島の再征服活動の総称である。ウマイヤ朝による西ゴート王国の征服とそれに続くアストゥリアス王国の建国から始まり、1492年のグラナダ陥落によるナスル朝滅亡で終わる。レコンキスタはスペイン語で「再征服」（re=再び、conquista=征服すること）を意味し、ポルトガル語では同綴で「ルコンキシュタ」という。日本語においては意訳で国土回復運動（こくどかいふくうんどう）や、直訳で再征服運動（さいせいふくうんどう）とされることもある。,,,,,
異端、異教徒討伐、新旧対立,1096,,,,1096,,,,,民衆十字軍,クレルモン公会議の決定を受けてヨーロッパ各地の諸侯や騎士は遠征の準備を始めたが、十字軍の熱狂は民衆にも伝染し、1096年、彼らの出発する数ヶ月前に、フランスで説教師であるアミアンの隠者ピエールに率いられた民衆や下級騎士の軍勢4万人がエルサレムを目指して出発した。これが民衆十字軍と呼ばれるものである。民衆十字軍は東上の途中でユダヤ人を各地で虐殺し、ハンガリー王国やビザンツ帝国内で衝突を繰り返しながら小アジアに上陸したものの、統制の取れていない上に軍事力も弱い民衆十字軍はルーム・セルジューク朝のクルチ・アルスラーン1世によって蹴散らされ、多くのものは殺されるか奴隷となり、何ら軍事的成果を上げることもなく崩壊した。しかしピエールらごく一部は生き延び、第1回十字軍へと再び参加した。,,,,,
