Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
srv4,2019,,,,now,,,,,平成,,,,,,
日本の年号,2019,,,,1988,,,,,昭和,,,,,,
日本の年号,2019,,,,1926,,,,,大正,,,,,,
日本の年号,2019,,,,1912,,,,,明治,,,,,,
日本の年号,2019,,,,1867,,,,,江戸,,,,,,
科学者,2019,2,18,,1827,3,5,,,ボルタ,,,,,,
科学者,2019,4,30,,1855,2,23,,,ガウス,,,,,,
科学者,2019,3,16,,1854,7,6,,,オーム,,,,,,
出来事,2019,,,,,,,,,ゲーリッケの硫黄球, 琥珀が羽毛を吸い寄せることに興味を持っていたゲーリッケは琥珀を強くこすり、これを他の物体に近づけるとパチパチと音を立てること、また暗闇ではわずかに光ることを発見し、もっと強い電気を求めた。,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
出来事,2019,,,,,,,,,ライデン瓶,,,,,,
出来事,2019,,,,,,,,,ボルタの電気盆,,,,,,
出来事,2019,,,,,,,,,フランクリンの凧,,,,,,
出来事,2019,,,,,,,,,クーロンの法則,,,,,,
出来事,2019,,,,,,,,,ガウスの法則,,,,,,
出来事,2019,,,,,,,,,ウェーバの法則,,,,,,
出来事,2019,,,,,,,,,カルバーニの生物電気仮説,,,,,,
出来事,2019,,,,,,,,,ボルタの電池,,,,,,
出来事,2019,,,,,,,,,ダニエル電池,,,,,,
出来事,2019,,,,,,,,,カーライルの水の電気分解,,,,,,
出来事,2019,,,,,,,,,ゼーベック効果,,,,,,
出来事,2019,,,,,,,,,ペルチェ効果,,,,,,
出来事,2019,,,,,,,,,オームの法則,,,,,,
出来事,2019,,,,,,,,,キルヒホッフの法則,,,,,,
出来事,2019,,,,,,,,,エルステッドの発見,,,,,,
