Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
人物,2000,1,1,,3100,12,31,,,ジェラート,,,,,,
人物,3002,1,1,,3100,12,31,,,ソルベ,,,,,,
人物,2006,1,1,,3100,12,31,,,ホルマジオ,,,,,,
人物,2007,1,1,,3100,12,31,,,リゾット,,,,,,
人物,2008,1,1,,3100,12,31,,,プロシュート,,,,,,
人物,3012,1,1,,3100,12,31,,,ありす,,,,,,
人物,3012,1,1,,3100,12,31,,,モフ,,,,,,
人物,3014,1,1,,3100,12,31,,,メローネ,,,,,,
人物,3014,1,1,,3100,12,31,,,イルーゾォ,,,,,,
人物,3014,1,1,,3100,12,31,,,ギアッチョ,,,,,,
人物,3015,1,1,,3100,12,31,,,シオバナ,,,,,,
人物,3018,1,1,,3100,12,31,,,マルテ,,,,,,
人物,3019,1,1,,3100,12,31,,,テオ,,,,,,
人物,3022,1,1,,3100,12,31,,,ペッシ,,,,,,
人物,3025,1,1,,3100,12,31,,,はるの,,,,,,
人物,3027,1,1,,3100,12,31,,,トーロ,,,,,,
人物,2028,1,1,,3100,12,31,,,ウル,,,,,,
出来事,3013,,,,,,,,,プロシュート子役デビュー,,,,,,
出来事,3030,4,,,,,,,,ありすアイドル開始,,,,,,
出来事,3030,10,,,,,,,,メロあり出会う,,,,,,
出来事,3031,12,,,,,,,,メロあり付き合う,,,,,,
出来事,3032,4,,,,,,,,メロあり同棲（メローネ大学生～）,,,,,,
出来事,3033,4,,,,,,,,シオバナ事務所所属,リゾットのスカウト,,,,,
出来事,3032,4,,,,,,,,はるの小学生,シオバナが無理してバイト増やした,,,,,
出来事,3034,2,,,,,,,,ありすスカウト,,,,,,
出来事,3034,3,,,,,,,,メロあり結婚,,,,,,
出来事,3034,4,,,,,,,,ありす事務所所属,,,,,,
出来事,3034,7,,,,,,,,シオありめっちゃ喧嘩,,,,,,
出来事,3035,7,,,,,,,,!Trustデビュー,,,,,,
出来事,3035,12,,,,,,,,ありすシンデレラガール,,,,,,
出来事,3035,4,,,,,,,,モフスカウト,,,,,,
出来事,3035,4,,,,,,,,ペッシオーディション合格,,,,,,
出来事,3035,12,,,,,,,,ピンポンパールデビュー,,,,,,
出来事,3036,12,,,,,,,,モフシンデレラガール,,,,,,
出来事,3036,4,,,,,,,,メローネ事務所就職,,,,,,
