Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,1831,,,,1879,,,,,J. C. Maxwell,,,,,,
,1887,,,,1961,,,,,Erwin Schrödinger,,,,,,
,1642,,,,1727,,,,,Isaac Newton,,,,,,
,1850,,,,1925,,,,,Oliver Heaviside,,,,,,
,1839,,,,1903,,,,,Josiah Willard Gibbs,,,,,,
,1857,,,,1894,,,,,Heinrich Rudolf Hertz,,,,,,
,1777,,,,1855,,,,,Carolus Fridericus Gauss,,,,,,
,1775,,,,1836,,,,,André-Marie Ampère,,,,,,
,1791,,,,1867,,,,,Michael Faraday,,,,,,
,1823,,,,1899,,,,,勝海舟,,,,,,
