Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
中東,-1285,,,,-1285,,,,,カデシュの戦い,シリアのオロンテス川一帯で起きた、古代エジプトとヒッタイトの戦いである。史上初の公式な軍事記録に残された戦争であり、成文化された平和条約が取り交わされた史上初となる戦いであるともいわれている。,,,,,
中東,-1100,,,,-1100,,,,,紀元前12世紀トロイア戦争,トロイア戦争それ自体は、確固たる歴史に編纂されるものではなく、紀元前1700年から紀元前1200年頃にかけて、小アジア一帯が繰り返し侵略をうけた出来事を核として形成されたであろう神話である。しかし、これについては、紀元前1250年頃にトロイアで大規模な戦争があったとする説もあれば、そもそもトロイア戦争自体が全くの絵空事であるという説もないわけではない。,,,,,
中東,-334,,,,-323,,,,,アレクサンドロス大王の東征,"父の遺志を継いでマケドニア軍を率いてペルシア東征に出発し、小アジアに渡ったマケドニア軍38,000はグラニコス川の戦いで小アジア太守の連合軍4万と対峙した。",,,,,
中東,-300,,,,-300,,,,,4世紀ディアドコイ戦争,アレクサンドロス大王急逝後、その配下の将軍たちが大王の後継者（ディアドコイ）の座を巡って繰り広げた戦争のことである,,,,,
中東,-192,,,,-188,,,,,シリア戦争,,,,,,
中東,-165,,,,-142,,,,,マカバイ戦争,,,,,,
中東,-88,,,,-63,,,,,ミトリダテス戦争,,,,,,
中東,66,,,,70,,,,,ユダヤ戦争,,,,,,
中東,1096,,,,1291,,,,,十字軍,,,,,,
中東,1253,,,,1260,,,,,フレグの西征,,,,,,
中東,1453,,,,,,,,,コンスタンティノープルの陥落,,,,,,
中東,1683,,,,1699,,,,,大トルコ戦争,,,,,,
中東,1804,,,,1813,,,,,第一次イラン・ロシア戦争,,,,,,
中東,1826,,,,1828,,,,,第二次イラン・ロシア戦争,,,,,,
中東,1948,,,,1973,,,,,中東戦争,,,,,,
中東,1948,,,,now,,,,,パレスチナ紛争,,,,,,
中東,1955,,,,1972,,,,,第一次スーダン内戦,,,,,,
中東,1961,,,,,,,,,クウェート出兵,,,,,,
中東,1961,,,,,,,,,ゴア紛争,,,,,,
中東,1962,,,,1969,,,,,北イエメン内戦,,,,,,
中東,1963,,,,1964,,,,,キプロス内戦,,,,,,
中東,1970,,,,,,,,,ヨルダン内戦,黒い九月事件,,,,,
中東,1974,,,,,,,,,キプロス紛争,,,,,,
中東,1975,,,,1990,,,,,レバノン内戦,,,,,,
中東,1980,,,,1988,,,,,イラン・イラク戦争,,,,,,
中東,1983,,,,2004,,,,,第二次スーダン内戦,,,,,,
中東,1990,,,,1991,,,,,湾岸戦争,,,,,,
中東,1992,,,,now,,,,,アルジェリア紛争,,,,,,
中東,1994,,,,1994,,,,,イエメン内戦,イエメンは1990年に南イエメンと北イエメンが統一して成った国だが、旧南側の再分離独立を求める勢力が1994年に武装蜂起してイエメン民主共和国の独立を宣言。イエメン正規軍と戦争になった。両者の間で空軍機を使った空爆合戦やスカッドミサイルを打ち合う応酬が行われたものの、戦闘は終始北側が優位に立ち、国際的な支援も北側についた。2ヶ月に及ぶ戦闘の後、数万人の死者を出しながら旧南側勢力は制圧された,,,,,
中東,1994,,,,1996,,,,,第一次チェチェン紛争,,,,,,
中東,1995,,,,1998,,,,,ハニーシュ群島紛争,エリトリアとイエメンの間で行われた領土紛争のことである。群島が紅海という海上交通の要衝にあること、付近に天然ガス資源が埋蔵されていることなどが紛争の背景にあったとされる,,,,,
中東,2001,,,,now,,,,,パキスタン紛争,,,,,,
中東,2002,,,,2003,,,,,コートジボワール内戦,,,,,,
中東,2003,3,20,,2011,12,14,,,イラク戦争,イラク戦争（イラクせんそう）とは、アメリカ合衆国が主体となり2003年3月20日から、イギリス、オーストラリアと、工兵部隊を派遣したポーランド等が加わる有志連合によって、イラク武装解除問題の大量破壊兵器保持における進展義務違反を理由とする『イラクの自由作戦』の名の下に、イラクへ侵攻したことで始まった軍事介入である。,,,,,
中東,2003,,,,now,,,,,ダルフール紛争,,,,,,
中東,2003,,,,now,,,,,ワジリスタン紛争,有志連合諸国のアフガニスタン侵攻以降に、パキスタン北西部のワズィーリスターン（ワジリスタン）を含む連邦直轄部族地域および北西辺境州（現・カイバル・パクトゥンクワ州）やアフガニスタン・パキスタン国境のデュアランド・ライン地帯で発生した、パキスタン政府及びアメリカ合衆国を始めとする不朽の自由作戦参加の有志連合諸国と、ワジリスタンに潜伏するターリバーンやアル・カーイダやそれを支持する現地部族勢力のパキスタン・ターリバーン運動等との戦いの総称,,,,,
中東,2006,,,,,,,,,イスラエルのガザ侵攻・レバノン侵攻,,,,,,
