Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
前世世界（FF10）,-2000,,,,1000,,,,約1000年前,古代機械文明滅亡,スピラの機械文明興隆。ベベル・ザナルカンド、『シン』により滅ぶ,,,,,
前世世界（FF10）,1000,,,,,,,,約1000年前,『シン』の活動（第一期）,『シン』、出現。ユウナレスカにより倒されるも復活、その後エボン寺院が成立する,,,,,
前世世界（FF10）,1000,,,,1582,,,,,『シン』の活動（第二期）,『シン』が本格的な活動を開始。以降文明は崩壊の危機に晒される,,,,,
前世世界（FF10）,1200,,,,,,,,約800年前,英雄ミヘン、赤斬（セキザン）衆設立,同時期にナギ平原に討伐隊訓練場が設立される,,,,,
前世世界（FF10）,1300,,,,,,,,約700年前,僧侶オメガが処刑される,『シン』を倒せないことに疑問を抱いたものが出始める,,,,,
前世世界（FF10）,1582,,,,1588,,,,約400年前,召喚士ガンドフ、『シン』を撃破。初めてのナギ節。,『シン』を倒せないことに対する裏付けが成立、エボンの体制が盤石になる,,,,,
前世世界（FF10）,1588,,,,1753,,,,,『シン』の活動（第三期）,,,,,,
前世世界（FF10）,1753,,,,1758,,,,約230年前,召喚士オハランド、『シン』を撃破。二回目のナギ節,,,,,,
前世世界（FF10）,1758,,,,1842,,,,,『シン』の活動（第四期）,,,,,,
前世世界（FF10）,1842,,,,1846,,,,約100年前,召喚士ヨンクン、『シン』を撃破。三回目のナギ節,,,,,,
前世世界（FF10）,1846,,,,1934,,,,,『シン』の活動（第五期）,,,,,,
前世世界（FF10）,1894,,,,,,,,,マイカ老師、エボン総老師に就任,,,,,,
前世世界（FF10）,1909,,,,,,,,,アーロン誕生,,,,,,
前世世界（FF10）,1916,,,,,,,,,シーモア誕生,,,,,,
前世世界（FF10）,1919,,,,,,,,,ジスカルがグアドの長老に。キマリ誕生,,,,,,
前世世界（FF10）,1921,,,,,,,,,ワッカ誕生,,,,,,
前世世界（FF10）,1922,,,,,,,,,ルールー誕生,,,,,,
前世世界（FF10）,1924,,,,,,,,,グアド内部抗争,シーモアと母がバージ島へ流される,,,,,
前世世界（FF10）,1926,,,,,,,,,ワッカ、ブリッツボール開始。シーモアの母、祈り子に。ブラスカ、シドの妹と駆け落ち。,,,,,,
前世世界（FF10）,1927,,,,,,,,,ティーダ、ユウナ誕生,,,,,,
前世世界（FF10）,1931,,,,,,,,,ユウナの母＝シドの妹死亡,これをきっかけにブラスカは召喚士となる,,,,,
前世世界（FF10）,1934,,,,1935,,,,10年前,ワッカ、ビサイド・オーラカに入団。召喚士ブラスカ、『シン』を撃破。四回目のナギ節,,,,,,
前世世界（FF10）,1935,,,,1944,,,,,『シン』の活動（第六期）,,,,,,
前世世界（FF10）,1935,,,,,,,,,ジスカル＝グアド、ケルク＝ロンゾ、エボン老師となる。ティーダの母、衰弱死,,,,,,
