Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
RELEASE,2016,4,8,,,,,,,ティザーサイト OPEN そして CLOSE,ティザーサイトをサーバレスで構築して意気揚々と Open したが南さんストップがかかり速攻閉じる。 南さんの経歴が間違っている→企業さんに迷惑かかるといけないのでロゴを消す→閉じる,,,,,
RELEASE,2016,4,26,,,,,,,B 側の OPEN,ほとんど機能がなかったがとりあえずは Open,,,,,
EVENT,2016,4,29,,2016,5,8,,,炎上中の GW,学生側のスケジュールが遅延していてなんかずっとコーディングしていて肩が痛かった思い出がある,,,,,
JOIN,2016,5,1,,,,,,,岩見さん・エリーさん・わかぴ参画,ありがとうありがとう！,,,,,
JOIN,2016,5,1,,,,,,,ポリさんジョイン,吉丸さんも来てくれました 元気かな―,,,,,
RELEASE,2016,5,26,,,,,,,OB/OG 側リリース,GW 前に OB/OG のサイトもほしいよね、ということになり、岩見さんに爆速で作ってもらう,,,,,
RELEASE,2016,5,30,,,,,,,学生側リリース,リリース日当日にメッセージの拡散させ過ぎて Facebook にブロックされる ドメインを変更する準備までしたが南さんのおかげで救われる,,,,,
EVENT,2016,5,30,,,,,,,OB/OG 500 人達成！,えいちょーありがとう！,,,,,
JOIN,2016,6,1,,,,,,,竹中さん、ルカちゃん、前田くんジョイン,平均年齢が若くなる。竹中さんは新幹線で隣に座った人にダイレクトリクルーティングされて入社,,,,,
JOIN,2016,6,1,,,,,,,メタさん、アルル、ゆっけジョイン、小出さんがアルバイトを始める,一気に賑やかになった 小出さんのことをこの人は一体…と思っていたのは私だけではないはず,,,,,
RELEASE,2016,6,17,,,,,,,"スカウト機能リリース
",,,,,,
RELEASE,2016,6,29,,,,,,,契約周りリリース,ここからセールスフォースとの戦いが始まった…,,,,,
JOIN,2016,7,1,,,,,,,丹野さんアサイン,プロダクトチームが盤石になる,,,,,
EVENT,2016,7,25,,,,,,,名古屋、名古屋工業大学開校,,,,,,
EVENT,2016,7,20,,,,,,,九州、九州工業大学開校,,,,,,
RELEASE,2016,8,1,,,,,,,OB/OG レコメンドリリース,うーぴんさんが頑張って作ってくれたキャンパス唯一の Python モジュール,,,,,
JOIN,2016,8,1,,,,,,,遠藤さん、茜ちゃん、さっつんジョイン,このあたりからキャンパスが人さらい扱いされるようになる,,,,,
EVENT,2016,8,5,,,,,,,東京理科大開校,,,,,,
EVENT,2016,8,26,,,,,,,スクラムマスター増田誕生,ここからスクラム開発開始,,,,,
RELEASE,2016,8,31,,,,,,,学生と OB/OG のメッセージ機能リリース,メタさん力作,,,,,
JOIN,2016,9,1,,,,,,,オライリー、うぶんつ参戦,オライリーが DBFlute の renewal をずっとやっていたということを言ってごめんなさい,,,,,
RELEASE,2016,9,9,,,,,,,学生側 WEBVIEW アプリリリース,,,,,,
RELEASE,2016,9,18,,,,,,,内定者機能リリース,あかねちゃんありがとう！移行できる仕組みを作らないと…,,,,,
EVENT,2016,9,30,,,,,,,竹中さんとルカちゃんが漫画でデビュー！,進研ゼミ感がすごい,,,,,
EVENT,2016,10,1,,,,,,,池辺さんジョイン,関西色がぐっと濃くなる,,,,,
RELEASE,2016,10,6,,,,,,,学生側 NATIVE アプリリリース,OB/OG 一覧がネイティブ化 リニューアル諸々も！,,,,,
EVENT,2016,10,12,,,,,,,東京理科大からの資金調達,正式リリースはここになっているらしい。。。,,,,,
EVENT,2016,10,31,,,,,,,エンジニア・デザイナーが大量にいなくなりました…,悲しみ・・・,,,,,
EVENT,2016,11,1,,,,,,,イベントとの戦いが始まる,小出さんも学生に架電してました,,,,,
RELEASE,2016,11,10,,,,,,,企業と学生もメッセージのやりとりができるように,,,,,,
RELEASE,2016,11,16,,,,,,,イベントスカウトを送信できるように,,,,,,
JOIN,2016,12,1,,,,,,,菊池さんジョイン,サイバーとは社風があわなかったらしい・・・,,,,,
JOIN,2016,12,1,,,,,,,イムちゃんアサイン,,,,,,
EVENT,2016,12,12,,,,,,,漫画第二弾追加,吉川さんもデビュー！,,,,,
RELEASE,2017,1,16,,,,,,,新規開校キャンペーンページ追加,https://obog.br-campus.jp/campaigns/open,,,,,
JOIN,2017,2,1,,,,,,,山田さんジョイン,猫好き,,,,,
RELEASE,2017,2,1,,,,,,,企業公式ページリリース,物産さんの OB/OG が大量に登録され、サイトにキャンパスのリンクが載った！！,,,,,
RELEASE,2017,2,8,,,,,,,中央、青学、明治、法政、立命館、立教開校！,,,,,,
RELEASE,2017,2,13,,,,,,,フォロワースカウト追加,,,,,,
EVENT,2017,2,28,,,,,,,小川さんが全国デビューする,そしてパネルにされる,,,,,
RELEASE,2017,3,1,,,,,,,同志社、神戸、上智、関学、北大開校！,ぶんぶんさんがブログで集客してくれた。ビズリーチすごい！,,,,,
RELEASE,2017,3,1,,,,,,,川上さんジョイン！,,,,,,
RELEASE,2017,3,6,,,,,,,学生側に記事一覧追加,,,,,,
RELEASE,2017,3,10,,,,,,,企業マスタ追加,ずっと見ないようにしてきた案件とやっと向き合う,,,,,
RELEASE,2017,3,16,,,,,,,未契約企業もフォローできるように,,,,,,
RELEASE,2017,3,23,,,,,,,企業公式ページ周りがネイティブ対応,,,,,,
JOIN,2017,4,1,,,,,,,水井さんジョイン,,,,,,
RELEASE,2017,4,7,,,,,,,学生側 TOP リニューアル,「先輩のヒゲだけ取ってしまおう」というパワーワードが生まれる,,,,,
RELEASE,2017,4,14,,,,,,,企業詳細に C_OB が掲載されるように,眺めていると面白い,,,,,
RELEASE,2017,5,17,,,,,,,学生の記事一覧画面がメディアっぽく,キャンパスノートは訴えられるだろうという話になった,,,,,
JOIN,2017,6,1,,,,,,,岡部さん、上松さんジョイン,,,,,,
RELEASE,2017,6,7,,,,,,,学生側TOPに企業ロゴが！,,,,,,
RELEASE,2017,6,29,,,,,,,訪問コメント機能リリース,キャンパスくん,,,,,
JOIN,2017,10,1,,,,,,,保坂さんジョイン,,,,,,
RELEASE,2017,7,7,,,,,,,OB アプリリリース！,ReactNative,,,,,
JOIN,2017,7,21,,,,,,,倉橋くんが TWITTER を終えてジョイン,,,,,,
JOIN,2017,8,1,,,,,,,ボギーさん、佐野さん、円谷さんジョイン,,,,,,
JOIN,2017,8,9,,,,,,,スクラムマスター郡司誕生,挙手してくれた日。速攻で挙手してビズリーチらしい。町内会とは大違い,,,,,
EVENT,2019,8,9,,,,,,,吉野くんが新人賞獲得！,,,,,,
EVENT,2019,8,9,,,,,,,徳田くんがビジネス部門優秀賞獲得！,,,,,,
RELEASE,2019,8,6,,,,,,,オンライン面談機能がリリース,,,,,,
JOIN,2019,8,1,,,,,,,新卒6期生、星野くん松本さんジョイン,,,,,,
JOIN,2019,7,1,,,,,,,セガールさん、サビ抜きさん、りゅうけんさんジョイン,,,,,,
EVENT,2017,10,21,,,,,,,第１回CampusFes開催！,,,,,,
RELEASE,2019,5,27,,,,,,,"iOS,Androidブランチ統合完了！",これまでAndroidとiOSは別のコードを書いて作ってました。共通化できてよかった…,,,,,
RELEASE,2019,5,10,,,,,,,在学認証開始,より安心・安全にご利用いただくための機能です,,,,,
RELEASE,2019,5,27,,,,,,,Androidアプリリリース！,,,,,,
RELEASE,2019,2,20,,,,,,,アプリ内に広告枠ができました,,,,,,
EVENT,2019,2,1,,,,,,,ビズリーチ・キャンパス名大、爆誕,,,,,,
RELEASE,2018,11,9,,,,,,,フルネイティブ版OBアプリリリース！,,,,,,
JOIN,2018,7,1,,,,,,,間瀬さんジョイン,,,,,,
JOIN,2018,10,1,,,,,,,二口さんジョイン,,,,,,
JOIN,2018,5,1,,,,,,,野川さんジョイン,,,,,,
JOIN,2018,9,1,,,,,,,深井さんジョイン,,,,,,
JOIN,2018,2,1,,,,,,,こまさんジョイン,,,,,,
JOIN,2018,5,1,,,,,,,佐瀬さんジョイン,,,,,,
JOIN,2018,12,1,,,,,,,中野さんジョイン,,,,,,
JOIN,2018,8,1,,,,,,,ジョンさん新卒事業部にジョイン,,,,,,
JOIN,2018,8,1,,,,,,,ピッケル新卒事業部にジョイン,,,,,,
JOIN,2017,8,1,,,,,,,つぶさん新卒事業部にジョイン,,,,,,
JOIN,2019,2,1,,,,,,,Moqさん新卒事業部にジョイン,,,,,,
JOIN,2018,7,1,,,,,,,おのじゅんジョイン,,,,,,
JOIN,2018,8,1,,,,,,,桑田さん新卒事業部にジョイン,,,,,,
JOIN,2018,8,1,,,,,,,きのしんジョイン,,,,,,
JOIN,2018,8,1,,,,,,,Heyなかジョイン,,,,,,
JOIN,2018,2,1,,,,,,,ノラジョイン,,,,,,
JOIN,2018,11,1,,,,,,,大上さんジョイン,,,,,,
JOIN,2017,9,1,,,,,,,見藤さんジョイン,,,,,,
JOIN,2018,2,1,,,,,,,徳田くん新卒事業部にジョイン,,,,,,
JOIN,2019,2,1,,,,,,,片山さん新卒事業部にジョイン,,,,,,
JOIN,2018,8,1,,,,,,,吉野くん新卒事業部にジョイン,,,,,,
JOIN,2018,8,1,,,,,,,新卒5期 せっきー・エイミー・けいくんジョイン,,,,,,
JOIN,2018,2,1,,,,,,,まんさん新卒事業部にジョイン,,,,,,
JOIN,2018,2,1,,,,,,,村井さん新卒事業部にジョイン,,,,,,
JOIN,2018,8,1,,,,,,,ナダルさん新卒事業部にジョイン,,,,,,
JOIN,2018,8,1,,,,,,,酒井さんジョイン,,,,,,
JOIN,2018,11,1,,,,,,,鮫嶋さんジョイン,,,,,,
JOIN,2018,1,16,,,,,,,今澤さん新卒事業部にジョイン,,,,,,
JOIN,2019,1,1,,,,,,,関さんジョイン,,,,,,
JOIN,2018,2,1,,,,,,,えりりんジョイン,,,,,,
JOIN,2018,5,1,,,,,,,相羽さんジョイン,,,,,,
EVENT,2019,9,12,,,,,,,オンライン面談機能が日経本誌に掲載,「ビズリーチ、OB訪問をネットで完結」という見出しで日経本誌＆電子版に掲載される。当日に本誌パワ〜でSMBC様の社員掲載が決まり、テンションが上がる。,https://www.nikkei.com/article/DGKKZO49619630Q9A910C1TJ1000/?fbclid=IwAR12CzF9Nv1OKD3yhCxA776sO5-ZZaD9jQlOdv4bWenA37YnlAM9YP2393Q,,,,
JOIN,2019,10,1,,,,,,,川崎さん新卒事業部にジョイン,,,,,,
RELEASE,2019,9,30,,,,,,,社員紹介機能リリース,,,,,,
JOIN,2019,10,1,,,,,,,関根さん新卒事業部に復活ジョイン！,そう、かつて関根だいじゅさんは新卒事業部いらっしゃったことがあるのです,,,,,
