Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号等,1989,,,,now,,,,,平成,,,,,,
日本の年号等,1926,,,,1988,,,,,昭和,,,,,,
日本の年号等,1912,,,,1926,,,,,大正,,,,,,
日本の年号等,1868,,,,1912,,,,,明治,,,,,,
日本の年号等,1588,,,,1867,,,,,江戸,,,,,,
日本の年号等,593,,,,710,,,,,飛鳥時代,,,,,,
日本の年号等,710,,,,794,,,,,奈良時代,,,,,,
日本の年号等,794,,,,1185,,,,,平安時代,,,,,,
日本の年号等,1185,,,,1333,,,,,鎌倉時代,,,,,,
日本の年号等,1333,,,,1336,,,,,建武の新政,鎌倉幕府を打倒した後醍醐天皇が統治していた時代,,,,,
日本の年号等,1336,,,,1573,,,,,室町時代,,,,,,
日本の年号等,1336,,,,1392,,,,,南北朝時代,,,,,,
日本の年号等,1467,,,,1590,,,,,戦国時代,,,,,,
日本の年号等,1573,,,,1603,,,,,安土桃山時代,,,,,,
日本の年号等,2019,,,,2020,,,,,令和,,,,,,
日本の年号等,250,,,,600,,,,,古墳時代,,,,,,
