Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,(未実装) Color
ライフイベント,1963,3,27,,,,,,,誕生,,,,,,
ライフイベント,1971,,,,,,,,,エルセグンド（LA）に引っ越し,,,,,,
ライフイベント,1977,,,,,,,,,最初の脚本『ジ・アメージング・アドベンチャー・オブ・ミスター・リー』（The Amazing Adventures of Mr. Lee）を書く,,,,,,
ライフイベント,1979,,,,,,,,,ジェームス・ベスト劇団に入団,,,,,,
ライフイベント,1985,,,,,,,,,マンハッタン・ビーチのビデオショップ「マンハッタン・ビーチ・ビデオ・アーカイブ」で勤務,,,,,,
受賞,1994,,,,,,,,,カンヌ国際映画祭パルム・ドール『パルプ・フィクション』,,,,,,
受賞,1995,,,,,,,,,アカデミー賞脚本賞『パルプ・フィクション』,,,,,,
受賞,2004,,,,,,,,,MTVムービー・アウォーズ（2004年）ベスト・ファイト賞（ザ・ブライド VS GOGO夕張 のシーン）『キル・ビル Vol.1』,,,,,,
受賞,2005,,,,,,,,,MTVムービー・アウォーズ（2005年）ベスト・ファイト賞（ザ・ブライド VSエル・ドライバー のシーン）『キル・ビル Vol.2』,,,,,,
受賞,2012,,,,,,,,,アカデミー賞脚本賞『ジャンゴ 繋がれざる者』,,,,,,
受賞,2015,,,,,,,,,ナショナル・ボード・オブ・レビュー賞 2015 脚本賞『ヘイトフル・エイト』,,,,,,
作品,1992,,,,,,,,,レザボア・ドッグス,,,https://images-na.ssl-images-amazon.com/images/I/5195NMSMYFL.jpg,,box,
作品,1994,,,,,,,,,パルプ・フィクション,,,https://images-na.ssl-images-amazon.com/images/I/518V9913P3L.jpg,,box,
作品,1997,,,,,,,,,ジャッキー・ブラウン,,,https://images-na.ssl-images-amazon.com/images/I/51PkRYuyd0L.jpg,,box,
作品,2003,,,,,,,,,キル・ビル Vol.1,,,https://images-na.ssl-images-amazon.com/images/I/51xpz2SXdnL.jpg,,box,
作品,2004,,,,,,,,,キル・ビル Vol.2,,,https://images-na.ssl-images-amazon.com/images/I/51GBKF10F0L.jpg,,box,
作品,2007,,,,,,,,,デス・プルーフ in グラインドハウス,,,https://images-na.ssl-images-amazon.com/images/I/51pEO0J4CPL.jpg,,box,
作品,2009,,,,,,,,,イングロリアス・バスターズ,,,http://iwiz-movies.c.yimg.jp/c/movies/pict/p/p/d5/0c/151038_01.jpg,,box,
作品,2012,,,,,,,,,ジャンゴ 繋がれざる者,,,http://www.tanautsu.net/blog/data/upfile/938-1.jpg,,box,
作品,2015,,,,,,,,,ヘイトフル・エイト,,,http://gaga.ne.jp/hateful8/top/img/main_02.jpg,,box,
