Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
0,1983,1,1,,1990,12,31,,,長嶋清幸,,,,,,
0,1991,1,1,,1998,12,31,,,高信二,,,,,,
0,1999,1,1,,2006,12,31,,,木村拓也,,,,,,
0,2007,1,1,,2012,12,31,,,井生崇光,,,,,,
0,2013,1,1,,now,,,,,上本崇司,,,,,,
1,1950,1,1,,1953,6,30,,,白石勝巳,,,,,,
1,1953,7,1,,1953,12,31,,,野崎泰一,,,,,,
1,1954,1,1,,1958,12,31,,,金山次郎,,,,,,
1,1959,1,1,,1969,12,31,,,古葉竹織,,,,,,
1,1970,1,1,,1974,12,31,,,渋谷通,,,,,,
1,1975,1,1,,1978,12,31,,,大下剛史,,,,,,
1,1979,1,1,,1982,12,31,,,大久保美智男,,,,,,
1,1983,1,1,,1993,12,31,,,山崎隆造,,,,,,
1,1994,1,1,,2013,12,31,,,前田智徳,,,,,,
1,2019,1,1,,now,,,,,鈴木誠也,,,,,,
2,1950,1,1,,1951,12,31,,,阪田清春,,,,,,
2,1952,1,1,,1954,12,31,,,藤原鉄之助,,,,,,
2,1955,1,1,,1957,12,31,,,小谷信雄,,,,,,
2,1958,1,1,,1958,12,31,,,新田幸男,,,,,,
2,1959,1,1,,1959,12,31,,,山口慶一,,,,,,
2,1960,1,1,,1974,12,31,,,宮川孝雄,,,,,,
2,1975,1,1,,1977,12,31,,,苑田聡彦,,,,,,
2,1978,1,1,,1989,12,31,,,高橋慶彦,,,,,,
2,1991,1,1,,1995,12,31,,,瀬戸輝信,,,,,,
2,1996,1,1,,1997,12,31,,,ルイス・ロペス,,,,,,
2,1999,1,1,,1999,12,31,,,エディ・ディアス,,,,,,
2,2000,1,1,,2015,12,31,,,東出輝裕,,,,,,
2,2016,1,1,,now,,,,,田中広輔,,,,,,
3,1950,1,1,,1951,12,31,,,辻井弘,,,,,,
3,1952,1,1,,1954,12,31,,,大沢伸夫,,,,,,
3,1955,1,1,,1964,12,31,,,平山智,,,,,,
3,1965,1,1,,1969,12,31,,,寺岡孝,,,,,,
3,1970,1,1,,1972,12,31,,,早瀬方禧,,,,,,
3,1973,1,1,,1974,12,31,,,ミッキー・マクガイア,,,,,,
3,1975,1,1,,1987,12,31,,,衣笠祥雄,,,,,,
