Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
人生,1975,4,,,1981,3,,,1975-1981,小学校,,,,,background,
人生,1981,4,,,1984,3,,,1981-1984,中学校,,,,,background,
人生,1984,4,,,1987,3,,,1984-1987,高校,,,,,background,
人生,1987,4,,,1991,3,,,1987-1991,大学,,,,,background,
人生,1991,4,,,2020,,,,1991-,会社,,,,,background,
人生,1998,12,,,,,,,,結婚,,,,,,
人生,2000,4,,,,,,,,颯太,,,,,,
人生,2005,8,,,,,,,,優翔,,,,,,
PC,1983,3,,,1984,3,,,,PC6001,,https://matome.naver.jp/odai/2142660053673475601,https://tanken.com/pc/styled-9/files/pc6001.jpg,,,
PC,1984,3,,,1987,3,,,,PC6001 mk2,,https://photos.app.goo.gl/gvEd4ApFTkb5HBA38,http://pc-6001.net/oldpc/img/bigp6mk2.jpg,,,
PC,1987,3,,,1988,9,,,,X1G model20,,http://s-sasaji.ddo.jp/pccata/x1g.htm,https://livedoor.blogimg.jp/xman1972/imgs/0/8/080e6846-s.jpg,,,
PC,1988,9,,,1990,3,,,,X1tuboⅡ model30,,http://blogs.c.yimg.jp/res/blog-2a-12/mr_momotaro2007/folder/1285468/82/39050482/img_3?1338074028,http://sf2k-lab.com/wp-content/uploads/2015/06/x1turbo2eye.jpg,,,
PC,1990,3,,,1993,,,,,PC9801 RX2,,https://photos.app.goo.gl/PxbzhwEoRkLhNd8BA,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/NEC_PC-9801_RX_Personal_Computer.jpg/800px-NEC_PC-9801_RX_Personal_Computer.jpg,,,
PC,1992,,,,2000,,,,,X68000,,https://photos.app.goo.gl/xDZ31qtCopwfhBoq8,http://livedoor.blogimg.jp/koji446/imgs/e/a/ea810d5e-s.jpg,,,
PC,1998,,,,2002,,,,,TOSHIBA BREZZA ,,https://photos.app.goo.gl/8DE5kbrvfrJ4AiGv7,https://www.toshiba.co.jp/tech/review/1997/03/d3/fd3.gif,,,
PC,2002,,,,2020,,,,,WindowsPC  いろいろ,,,,,,
Console,1985,8,,,1992,,,,,Famicom,,,,,,
Console,1992,,,,1995,,,,,Super Famicom,,,,,,
Console,1995,,,,2001,,,,,Play Station,,,,,,
Console,2001,,,,2008,,,,,Play Station2,,,,,,
Console,2008,,,,2020,,,,,Play Station3,,,,,,
Console(子供),2015,,,,2020,,,,,Play Station4,,,,,,
Console,2006,,,,2008,,,,,Game boy micro,,,,,,
Console,2008,,,,2012,,,,,Nintendo DS Lite,,,,,,
Console,2009,,,,2020,,,,,Play Station Portable,,,,,,
Console(子供),2013,,,,2020,,,,,NIntendo 3DS,,,,,,
Console(子供),2013,,,,2020,,,,,Play Staion vita,,,,,,
