Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
アドベン,1979,2,,,1979,3,,,,"★ no name adult pregnant, F, WC *A2","太地 '79/2, 搬入後流産",http://www.jca.apc.org/~orca/data.html,,,,
アドベン,1979,3,,,,,,,,"★ A2の子, 性別不明, WB, 死産 *A3",,https://orcapod.fandom.com/wiki/Category:Unknown_Stillborn_(1979),,,,
アドベン,1979,2,,,1979,4,,,,"★ no name adult, F, WC *A4",太地 '79/2,http://www.jca.apc.org/~orca/data.html,,,,
アドベン,1979,2,,,1989,1,,,,"★ ベンケイ, M, WC, 推定年齢17歳 *A5",太地 '79/2,https://orcapod.fandom.com/wiki/Category:Benkei,,,,
アドベン,1985,10,,,2005,1,21,,,"★ ゴロー, M, WC, 推定20歳 *A8",太地 '85/10,https://orcapod.fandom.com/wiki/Category:Goro,,,,
アドベン,1997,2,,,1997,6,14,,,"★ no name, M, WC *A11",太地 '97/2,http://www.jca.apc.org/~orca/data.html,,,,
アドベン,1997,2,,,1997,6,17,,,"★ no name adult pregnant, F, WC *A12","太地 '97/2, 飼育下で流産",http://www.jca.apc.org/~orca/data.html,,,,
アドベン,1997,2,,,2004,9,18,,,"★ キュー, M, WC, 推定年齢12歳 *A13",太地 '97/2,https://orcapod.fandom.com/wiki/Category:Kyu,,,,
三津シーパラ,1986,2,,,1988,3,,,,"★ シャチ, F, WC, 推定年齢8歳 *M1",太地 '86/2,https://orcapod.fandom.com/wiki/Category:Shachi,,,,
三津シーパラ,1997,2,9,,2007,9,19,,,"★ アスカ, F, WC, 推定年齢17歳 *M3",太地 '97/2,https://orcapod.fandom.com/wiki/Category:Asuka,,,,
江ノ島,1982,2,,,1984,4,,,,"★ サッチ, F, WC, 推定年齢11歳＋ *E1",太地 '97/2,https://orcapod.fandom.com/wiki/Category:Sacchi,,,,
江ノ島,1982,5,,,,,,,,"★ サッチの子, M, 生存期間10日 *E2",WB 生存日数10日 母親サッチ,https://orcapod.fandom.com/wiki/Category:Sacchi%27s_Calf,,,,
鴨川,1972,9,,,1972,9,,,,"★ ZERO, F?, WC, *K3",WC 網走港 オホーツク水族館へ移動,https://orcapod.fandom.com/wiki/Category:Zero,,,,
太地,1978,,,,,,,,,"★ no name adult, M, WC, 捕獲後生存期間5日, *T1",WC 太地 生存日数5日,http://www.jca.apc.org/~orca/data.html,,,,
太地,1979,2,,,1979,5,,,,"★ no name adult, F, WC, 捕獲後生存期間3ヶ月＋, *T2",WC 太地,http://www.jca.apc.org/~orca/data.html,,,,
太地,1979,2,26,,1982,6,,,,"★ タイ, M, WC, 推定年齢13歳＋  *T3",WC 太地,https://orcapod.fandom.com/wiki/Category:Tai,,,,
太地,1982,2,,,1982,6,,,,"★ no name adult, M, WC, 捕獲後生存期間4ヶ月＋, *T4",WC 太地,http://www.jca.apc.org/~orca/data.html,,,,
太地,1982,2,,,1982,6,,,,"☆ ベンケイ2？, calf, M,  同年6月以降消息不明  *T5",WC 太地,http://www.jca.apc.org/~orca/data.html,,,,
太地,1985,10,,,2011,1,14,,,"★ ナミ, F, 推定28歳, *T6N1","WC 太地 '10/6/17 名古屋へ売却, 名古屋で死亡",https://orcapod.fandom.com/wiki/Category:Nami,,,,
太地,1997,2,7,,2008,9,19,,,"★ クー, M, 推定18歳, *T7","WC 太地 '03/10名古屋へ貸与, 名古屋で死亡",https://orcapod.fandom.com/wiki/Category:Ku,,,,
