Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1868,10,23,,1912,7,30,,,明治,,,,,,
出来事,1878,3,25,,,,,,,電気記念日,日本に家庭用の配電が始まった,,,,point,
出来事,1886,7,5,,,,,,,初めての電気事業,有限責任東京電灯会社開業,,,,point,
出来事,1911,10,1,,,,,,,電気事業法制定,,,,,point,
日本の年号,1912,7,30,,1926,12,25,,,大正,,,,,,
日本の年号,1926,12,25,,1989,1,7,,,昭和,,,,,,
測量,1951,,,,,,,,,地籍調査開始,,,,,,
出来事,1954,,,,,,,,,初太陽光発電（pn接合発見）,アメリカの研究家ピアソンが発見。アメリカの人工衛星ヴァンガード1号に実用化される。,,,,,
出来事,1955,,,,,,,,,日本で初めての太陽光発電,NECである日本電気で制作。,,,,,
出来事,1973,,,,,,,,,第一次石油危機,,,,,,
出来事,1974,,,,,,,,,サンシャイン計画,日本政府もエネルギー問題の対策に乗り出します。当時の通産省は省エネルギーの推進や、石油の代替エネルギー開発を進めることを盛り込んだ「サンシャイン計画」を1974年に策定し、この時点から2000年までの長期的戦略が立てられました。,,,,,
出来事,1977,5,18,,,,,,,宮原　寿行誕生,,,,,,
日本の年号,1989,1,8,,2019,4,30,,,平成,,,,,,
出来事,1997,12,,,1997,12,,,,気候変動枠組条約第3回締約国会議（COP3）,,,,,point,
出来事,1997,4,1,,,,,,,自己託送制度開始,特別高圧に連系している供給区域内の事業者,,,,point,
出来事,2000,3,21,,,,,,,電力小売部分自由化開始（特高）,2000kW以上の特別高圧需要家,,,,point,
測量,2002,4,1,,,,,,,世界測地系に移行,,,,,,
出来事,2003,10,7,,,,,,,エネルギー基本計画閣議決定,,,,,point,
出来事,2004,4,1,,,,,,,電力小売部分自由化開始（高圧）,500kW以上の高圧需要家（全体の40%のシェアが対象）,,,,point,
出来事,2005,2,16,,,,,,,京都議定書発効,2008年～2012年平均を1990年比-6%,,,,point,
出来事,2005,4,1,,,,,,,電力小売部分自由化開始（低圧）,500kW以上の高圧需要家（全体の63%のシェアが対象,,,,point,
出来事,2005,4,1,,,,,,,卸電力市場取引開始,,,,,point,
出来事,2006,,,,,,,,,ESG投資,国際連合が2006年、投資家にESG課題への観点を反映した投資行動を促す「責任投資原則(PRI)」を公表したことがきっかけ,,,,point,
削減目標,2008,,,,2012,,,,,京都議定書目標,1990年に比べて少なくとも 5%削減することを目的,,,,,
出来事,2008,9,15,,,,,,,リーマン・ショック,アメリカ合衆国の投資銀行であるリーマン・ブラザーズ・ホールディングス（Lehman Brothers Holdings Inc.）が経営破綻した,,,,,
自然災害,2011,3,11,,,,,,,東日本大震災（M9.0）,,,,,,
FIT制度,2012,7,1,,2013,3,31,,,40円　全量買取制度開始,,,,,,
FIT制度,2013,4,1,,2014,3,31,,,36円,,,,,,
出来事,2013,5,,,,,,,,日本エネルギー総合システム株式会社　設立,,,,,point,red
出来事,2014,,,,2014,,,,,RE100発足,,,,,point,
FIT制度,2014,4,1,,2015,3,31,,,32円,,,,,,
出来事,2015,9,,,2015,9,,,,SDGs（パリ協定）,Sustanable Development goals,,,,point,
FIT制度,2015,4,1,,2015,6,30,,,29円,,,,,,
FIT制度,2015,7,1,,2016,3,31,,,27円,,,,,,
削減目標,2015,,,,2030,,,,,パリ協定中期目標,2013年度比で2030年までに26％削減,,,,,
FIT制度,2016,4,1,,2017,3,31,,,24円,,,,,,
出来事,2016,3,,,,,,,,RE100電力株式会社　設立,,,,,point,red
出来事,2016,4,1,,,,,,,電力全面自由化開始,受電基準が撤廃され、一般家庭でもIPPから購入可能になった（同100%）,,,,,
FIT制度,2017,4,1,,2018,3,31,,,21円,,,,,,
税制優遇,2017,4,1,,2021,3,31,,,中小企業経営強化税制,資本金1億以下、1000人以下の即時償却,,,,,
出来事,2018,5,,,2018,5,,,,非化石証書,,,,,point,
FIT制度,2018,4,1,,2019,3,31,,,18円,,,,,,
日本の年号,2019,5,1,,now,,,,,令和,,,,,,
FIT制度,2019,4,1,,2020,3,31,,,14円,,,,,,
自然災害,2019,10,11,,,,,,,台風19号（死者99、行不3）,,,,,,
自然災害,2019,9,5,,,,,,,台風15号（死者1）,,,,,,
出来事,2020,1,14,,,,,,,ブラックロックESG転換,ブラックロックが投資する石炭関連会社について、2020年半ばまでに売り上げの25%以上を石炭から得ている会社への投資をやめると表明,,,,point,
FIT制度,2020,4,1,,2021,3,31,,,13円「地域活用要件（自家消費、地域一体型）」,,,,,,
削減目標,2030,,,,2050,,,,,パリ協定長期目標,2050年までに80％の温室効果ガスの排出削減,,,,,
削減目標,now,,,,2030,,,,,非化石電源比率44%以上,,,,,,
出来事,2017,11,1,,,,,,,入社（宮原　寿行）,,,,,,red
出来事,1992,7,28,,,,,,,日本初、自宅屋根に太陽光パネル,桑野幸徳氏（1.4kW）元三洋電機社長,,,,,
出来事,2020,4,1,,,,,,,発送電分離,,,,,,
