Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
仕事,2006,4,,,2017,1,,,,積水ハウス,,,,,,
学業,2017,2,,,2017,3,,,,投資のオンラインスクール,,,,,,
学業,2017,4,,,2018,3,,,,グロービス　単科生,,,,,,
仕事,2017,12,,,2020,8,,,,エステサロンの運営,,,,,,
学業,2018,4,,,2021,12,,,,グロービス　本科生,,,,,,
仕事,2018,10,,,2022,3,,,,美容卸売業→2019.04美容商材代理店→2020.02オンライン代理店,,,,,,
イベント,2020,7,,,2020,9,,,,エステサロン運営譲渡,,,,,,
仕事,2019,10,,,2021,8,,,,住宅不動産サポート業務,,,,,,
仕事,2020,8,,,2020,11,,,,不動産テックへ　プロダクト準備,,,,,,
仕事,2020,11,,,2021,5,,,,不動産テック　試供運転,,,,,,
仕事,2021,5,,,2023,3,,,,不動産テック　PMFへ,,,,,,
仕事,2022,3,,,2023,3,,,,,,,,,,
イベント,2019,7,,,2019,9,,,,住宅サイト案の壁打ち,,,,,,
マクロ,2020,3,,,2021,1,,,,コロナの影響,,,,,,
イベント,2020,7,,,2020,9,,,,不動産テック案の壁打ち,,,,,,
イベント,2022,3,,,2022,4,,,,グロービス　卒業,,,,,,
