Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
古代外交,57,,,,,,,,,後漢に遣使,倭奴国王、遣使し光武帝の印綬を受ける,,,,,
古代外交,107,,,,,,,,,後漢に遣使,倭奴国王師升等、後漢に遣使,,,,,
古代外交,239,,,,,,,,,帯方郡に遣使,,,,,,
遣隋使,600,,,,,,,,,第1回遣隋使,大使名不詳。相手にされず、帰還。,,,,,
遣隋使,607,,,,,,,,,第2回遣隋使,小野妹子,,,,,
遣隋使,608,,,,,,,,,第3回遣隋使,小野妹子、高向玄理、僧旻、南淵請安ら8人,,,,,
遣隋使,614,,,,,,,,,第4回遣隋使,犬上御田鋤,,,,,
遣唐使,630,,,,,,,,,第1回遣唐使,犬上御田鋤,,,,,
遣唐使,653,,,,,,,,,第2回遣唐使,,,,,,
遣唐使,654,,,,,,,,,第3回遣唐使,高向玄理,,,,,
古代外交,413,,,,,,,,,倭王「讃（仁徳天皇？）」が、東晋の安帝に貢ぎ物を献ず。,,,,,,
古代外交,421,,,,,,,,,倭王「讃（仁徳天皇？）」が宋に朝献。,,,,,,
