Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,1901,3,18,,now,,,,,数多朱斗,,,,,,
,1905,2,8,,now,,,,,冨岡義勇,,,,,,
,1905,10,1,,1918,3,,,,錆兎,,,,,,
,1906,5,10,,now,,,,,煉獄杏寿郎,,,,,,
,1907,6,1,,now,,,,,甘露寺蜜璃,,,,,,
,1908,2,24,,1926,3,3,,,胡蝶しのぶ,,,,,,
,1910,5,19,,now,,,,,栗花落カナヲ,,,,,,
,1918,3,,,,,,,,義勇朱斗錆兎、最終選別,,,,,,
,1923,1,,,,,,,,冨岡義勇、柱入り,,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
,1923,2,,,,,,,,竈門家襲撃,,,,,,
,1923,6,,,,,,,,時透無一郎襲撃を受ける,,,,,,
,1923,4,,,,,,,,実弥と朱斗、柱入り,,,,,,
,1923,7,,,,,,,,胡蝶カナエ他界,,,,,,
,1923,7,,,,,,,,伊黒小芭内、柱入り,,,,,,
,1924,1,,,,,,,,杏寿郎としのぶ、柱入り,,,,,,
,1924,4,,,,,,,,無一郎と蜜璃、柱入り,,,,,,
,1925,2,2,,,,,,,朱斗、狭霧山へ,,,,,,
,1925,2,11,,,,,,,炭治郎、帰還,,,,,,
,1925,3,18,,,,,,,炭治郎、北西の町へ,,,,,,
,1925,3,18,,,,,,,朱斗、本牧へ,,,,,,
,1925,4,5,,,,,,,炭治郎、響凱を斬る,,,,,,
,1925,4,11,,,,,,,朱斗、文屋敷に顔を出す,,,,,,
,1925,5,16,,,,,,,炭治郎、那田蜘蛛山へ,,,,,,
,1925,5,16,,,,,,,朱斗、柏へ,,,,,,
,1925,5,17,,,,,,,隊律違反裁判,,,,,,
,1925,6,1,,,,,,,朱斗、蝶屋敷を一時拠点に,,,,,,
,1925,6,1,,,,,,,かまぼこ隊の機能回復訓練,,,,,,
,1925,6,27,,,,,,,炭治郎と伊之助の日輪刀届く,,,,,,
,1925,6,27,,,,,,,朱斗の日輪刀調整,,,,,,
,1925,7,2,,,,,,,かまぼこ隊、杏寿郎、朱斗、無限列車へ,,,,,,
,1925,11,5,,,,,,,かまぼこ隊、遊郭へ,,,,,,
,1925,11,5,,,,,,,朱斗、浅草で協力者と接触,,,,,,
,1925,11,7,,,,,,,かまぼこ隊、上弦の陸と戦う,,,,,,
,1925,11,7,,,,,,,朱斗と小芭内、それぞれ救援に向かう,,,,,,
,1925,11,14,,,,,,,緊急柱合会議,,,,,,
,1926,1,14,,,,,,,炭治郎と朱斗、鍛冶の里へ,,,,,,
,1926,1,22,,,,,,,上弦の肆、上弦の伍を斬る,,,,,,
,1926,1,29,,,,,,,緊急柱合会議（痣、お館様の護衛）,,,,,,
,1926,1,31,,,,,,,柱稽古開始,,,,,,
,1926,2,1,,1926,2,6,,,天元の基礎体力向上,,,,,,
,1926,2,7,,1926,2,11,,,無一郎の高速移動訓練,,,,,,
,1926,2,12,,1926,2,13,,,蜜璃の地獄の柔軟,,,,,,
,1926,2,14,,1926,2,16,,,小芭内の太刀筋矯正,,,,,,
,1926,2,17,,,,,,,実弥の打ち込み訓練（中止）,,,,,,
,1926,2,18,,1926,2,24,,,行冥の筋肉強化訓練,,,,,,
,1926,2,25,,1926,2,28,,,朱斗の連携訓練,,,,,,
,1926,3,3,,,,,,,鬼舞辻無惨の襲撃,,,,,,
