Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,2020,,,,,,,,,新型コロナウィルスが世界中に混乱をもたらした。,大学の授業はすべてオンライン授業になった。まさか、授業をパソコンで受けるなんて考えてもいなかった。これでは、授業があまり楽しくない。,,,,,
,2020,,,,,,,,,武漢から「covid-19」(通称コロナウイルス)というウイルスが全世界に蔓延する。,"その影響を日本は大きく受け、濃厚接触を避けるため、大学の授業はすべて画面越しで受ける。デジタルネイティブでよかった。そこまでの戸惑いもなくオンライン授業を受けることができている。
",,,,,
,2020,,,,,,,,,新型コロナウイルスが世界的に大流行,まさか自分が生きている時代にこんな恐ろしい感染病に世界が怯える日が来るなんて思ってもみなかった。自分の命、みんなの命を守るためには外出自粛をしなければならないのは分かっているが、何日の引き籠るのはかなりしんどい。そんな精神状態の中、唯一の楽しみであった推しのライブが中止になった。コロナ許さん。,,,,,
,2020,,,,,,,,,コロナウイルスの影響でLINE電話をほぼ毎日使用する,コロナウイルスで学校にも行けず遊ぶことも出来なくなってしまったのでせめて話すだけでもと思い、LINE電話をするようになる。一緒にゲームをしていたらいつの間にか朝になっていたり、夜中テンションで語り合うことも多かった。しかし、早く会いたい気持ちが大きくなった。,,,,,
,2020,,,,,,,,,新型コロナウイルスが世界中に広がる,デマに流されてトイレットペーパーや食料品の買い占めがたびたび起きた。情報が正しいかどうか判断することや、むやみに情報を拡散しないことが大切だと思った。,,,,,
,2020,,,,,,,,,新型コロナウイルスの流行により、前期の授業がオンラインという形で始まる。,課題の管理や、時間を有意義に過ごすためにスマホが手放せなくなる。休憩時間にYouTubeを見ながらで簡単な運動をしてみたり、スマホ上で絵を描いてみたりして過ごす。もし、デジタルがない時代に今のようなパンデミックが起こっていたら、自分はいったいどうやって過ごしているのだろうと考えたら少し怖くなった。,,,,,
,2020,,,,,,,,,新型コロナウイルスが世界に広まる,初めてオンライン授業を受けることになった。使ったことのないアプリでのビデオ通話やチャットで困惑することが多い。オンラインになると十分な授業を受けられないため、学校に行って直接受ける授業の良さに改めて気づいた。,,,,,
,2020,,,,,,,,,新型コロナウイルス感染流行,"芸能人による「手洗い動画」や「＃おうち時間」
「＃おうちで踊ろう」などのワードがSNSで流行。",,,,,
,2020,,,,,,,,,コロナウイルスが世界的に大流行する,コロナが収まらず新学期も延期になったため、オンライン授業となった。今までにやったことないオンラインでの授業で慣れない。,,,,,
,2020,,,,,,,,,新型コロナウイルスが世界規模で大流行し日本では緊急事態宣言が出されるなど経済に大打撃が起こった。,"マスクや消毒液の品不足、高額な転売が起こり、市場は混乱が起こった。マスクがなかなか手に入らず初めて自分の手でマスクを作った。政治家や専門家、著名人たちはstay homeや三密などを国民に向けて発信した。
",,,,,
