Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
趣味,1993,5,,,now,,,,,サッカー,,,,,,
,1992,,,,now,,,,,PC,,,,,,
,2005,8,30,,now,,,,,アロマテラピー,,,,,,
,2011,8,4,,now,,,,,旅行,,,,,,
,2006,3,11,,2008,,,,,カメラ（istDL2）,,,,,,
,2014,1,25,,now,,,,,カメラ（K-3）,,,,,,
,2011,9,,,now,,,,,山登り（低山）,,,,,,
,2014,7,24,,now,,,,,山登り（高山）,,,,,,
,2012,11,,,now,,,,,JR乗りつぶし,,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
,2012,11,,,2013,8,30,,,全県踏破,,,,,,
,2006,5,19,,2008,3,5,,,イヤホン(EX90SL),,,,,,
,2007,4,25,,2008,3,,,,イヤホン(HP-NCX77),,,,,,
,2008,3,5,,now,,,,,イヤホン(FX500),,,,,,
,2010,7,9,,2016,9,6,,,イヤホン(FX700),,,,,,
,2012,8,6,,now,,,,,イヤホン(ZH-BX500),,,,,,
,2016,9,9,,now,,,,,イヤホン(DN-1000),,,,,,
