Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
event,1936,,,,,,,,,Born in Nagoya.,,,,,,
event,1957,,,,,,,,,Drop out of Musashino Art University.,,,,,,
event,1958,,,,,,,,,First exhibit to Yomiuri Independent.,,,,,point,
event,1962,,,,,,,,,start Co-production with Madeline Gins,,,,,,
event,2010,,,,,,,,,Arakawa die(73).,,,,,,
event,2014,,,,,,,,,Madeline Gins die(72),,,,,,
works,1994,,,,,,,,,遍在の場･奈義の龍安寺・建築する身体,,,http://www.town.nagi.okayama.jp/shared/moca/images/subpage/img_sun1.jpg,,box,
works,1995,,,,,,,,,養老天命反転地,,,https://upload.wikimedia.org/wikipedia/ja/thumb/a/ad/Yoro-tennmei-hantenchi.jpg/270px-Yoro-tennmei-hantenchi.jpg,,box,
works,2005,,,,,,,,,"三鷹天命反転住宅
～In Memory of Helen Keller～",,,https://rensai.jp/wp-content/uploads/2014/03/DSC_0193.jpg,,box,
works,2005,,,,,,,,,志段味循環型モデル住宅,,,http://www.masslogue.com/archives/img/yoro4.jpg,,box,
works,2008,,,,,,,,,Bioscleave House,,,https://artunlimited.heteml.jp/f0132618_20171751.jpg,,box,
works,2013,,,,,,,,,Biotopological Scale-Juggling Escalator,,,https://lh3.googleusercontent.com/proxy/dsUaYWu-1vUqE4C1NwQzLnsnDAFYEWoRN2oreNV7uQsYpFLnMQfmo8UR4of1p5_o7KOvjlEhock6MWKZ0FLyLtzp50hK4WSzAuXW8n7K3hGBG666_vzspKM,,box,
book,1970,,,,,,,,,THE MECHANISM OF MEANING,(意味のメカニズム),,https://image1.shopserve.jp/totodo.jp/pic-labo/191118_themechanismogmeaning.jpg?t=20191118180338,,box,
