Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
アドベン,1979,2,,,1979,3,,,,★ no name adult pregnant F,WC 太地 搬入後流産,http://www.jca.apc.org/~orca/data.html,,,,
アドベン,1979,3,,,,,,,,★ no name calf 死産,WB,https://orcapod.fandom.com/wiki/Category:Unknown_Stillborn_(1979),,,,
アドベン,1989,10,,,2004,8,29,,,★ ラン F 推定17歳,WC アイスランド,https://orcapod.fandom.com/wiki/Category:Ran,,,,
アドベン,1997,2,,,1997,6,17,,,★ no name adult pregnant F,WC 太地 飼育下で流産,http://www.jca.apc.org/~orca/data.html,,,,
アドベン,2004,8,26,,,,,,,★ no name calf F?,CB ラン×キュー アイスランド50% 日本50% 生存日数2日,https://orcapod.fandom.com/wiki/Category:Ran%27s_Calf_(2004),,,,
江ノ島,1982,2,,,1984,4,,,,★ サッチ F 推定年齢11歳＋,WC 太地,https://orcapod.fandom.com/wiki/Category:Sacchi,,,,
江ノ島,1982,5,,,,,,,,★ no name calf M,WB 生存日数10日 母親サッチ,https://orcapod.fandom.com/wiki/Category:Sacchi%27s_Calf,,,,
鴨川,1987,10,,,1997,10,7,,,★ マギー F 推定年齢13歳,WC アイスランド,http://www.jca.apc.org/~orca/data.html,,,,
鴨川,1995,3,3,,,,,,,★ no name calf F,CB マギー×ビンゴ,https://orcapod.fandom.com/wiki/Category:Maggie%27s_Calf,,,,
鴨川,1997,10,5,,,,,,,★ no name calf F 死産,CB マギー×ビンゴ,https://orcapod.fandom.com/wiki/Category:Maggie%27s_Stillborn_(1997),,,,
