Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,1850,6,27,,1904,9,26,,1850～1904,小泉八雲,54裁没　なし　安定,,,,,
,1859,6,22,,1935,2,28,,1859～1935,坪内逍遥,75歳没　なし　安定,,,,,
,1862,2,17,,1922,7,9,,1862～1922,森鴎外,60歳没　余裕派　やや安定,,,,,
,1864,4,4,,1909,5,10,,1864～1909,二葉亭四迷,45歳没　なし　やや不安定,,,,,
,1867,2,9,,1916,12,9,,1867～1916,夏目漱石,49歳没　余裕派　やや不安定,,,,,
,1800,,,,1867,10,,,,江戸時代,,,,,background,
,1867,8,22,,1947,7,30,,1867～1947,幸田露伴,80歳没　なし　安定,,,,,
,1867,10,14,,1902,9,14,,1867～1902,正岡子規,34歳没　余裕派　やや安定,,,,,
,1868,1,10,,1903,10,30,,1868～1903,尾崎紅葉,35歳没　尾崎一門　安定,,,,,
,1871,8,30,,1908,6,23,,1871～1908,国木田独歩,36歳没　なし　やや不安定,,,,,
,1872,1,22,,1930,5,13,,1872～1930,田山花袋,58歳没　なし　やや安定,,,,,
,1872,2,1,,1943,11,18,,1872～1943,徳田秋声,71歳没　尾崎一門　やや不安定,,,,,
,1872,3,25,,1943,8,22,,1872～1943,島崎藤村,71歳没　なし　普通,,,,,
,1873,11,4,,1939,9,7,,1873～1939,泉鏡花,65歳没　尾崎一門　やや安定,,,,,
,1878,3,4,,1923,6,9,,1878～1923,有島武郎,45歳没　白樺派　普通,,,,,
,1879,3,3,,1962,10,28,,1879～1962,正宗白鳥,83歳没　なし　やや安定,,,,,
,1879,12,3,,1959,4,30,,1879～1959,永井荷風,79歳没　三田派　安定,,,,,
,1882,4,7,,1961,5,11,,1882～1961,小川未明,79歳没　なし　安定,,,,,
,1883,2,20,,1971,10,21,,1883～1971,志賀直哉,88歳没　白樺派　安定,,,,,
,1883,3,13,,1956,4,2,,1883～1956,高村光太郎,73歳没　明星派　安定,,,,,
,1885,1,25,,1942,11,2,,1885～1942,北原白秋,57歳没　北原一門　普通,,,,,
,1885,5,12,,1976,4,9,,1885～1976,武者小路実篤,90歳没　白樺派　安定,,,,,
,1885,8,24,,1928,9,17,,1885～1928,若山牧水,43歳没　なし　やや安定,,,,,
,1886,2,20,,1912,4,13,,1886～1912,石川啄木,26歳没　明星派　やや安定,,,,,
,1886,7,24,,1965,7,30,,1886～1965,谷崎潤一郎,79歳没　新思潮派　安定,,,,,
,1886,11,1,,1942,5,11,,1886～1942,萩原朔太郎,55歳没　北原一門　不安定,,,,,
,1888,12,26,,1948,3,6,,1889～1948,菊池寛,59歳没　新思潮派　安定,,,,,
,1889,1,4,,1936,3,11,,1889～1936,夢野久作,47歳没　なし　安定,,,,,
,1889,8,1,,1962,3,26,,1889～1962,室生犀星,72歳没　北原一門　やや安定,,,,,
,1891,11,23,,1952,3,1,,1891～1952,久米正雄,60歳没　新思潮派　やや不安定,,,,,
,1892,3,1,,1927,7,2,,1892～1927,芥川龍之介,35歳没　新思潮派　不安定,,,,,
,1892,4,9,,1964,5,6,,1892～1964,佐藤春夫,72歳没　三田派　やや不安定,,,,,
,1892,8,11,,1962,9,7,,1892～1962,吉川英治,70歳没　なし　安定,,,,,
,1894,7,25,,1895,3,,,,日清戦争,,,,,background,
,1894,10,21,,1965,7,28,,1894～1965,江戸川乱歩,70歳没　なし　安定,,,,,
,1896,8,27,,1933,9,21,,1896～1933,宮沢賢治,37歳没　なし　やや安定,,,,,
,1898,2,15,,1993,7,10,,1898～1993,井伏鱒二,95歳没　新興芸術派　やや安定,,,,,
,1898,3,17,,1947,12,30,,1898～1947,横光利一,49歳没　新感覚派　普通,,,,,
,1899,1,20,,1958,2,15,,1899～1958,徳川直,59歳没　プロレタリア派　安定,,,,,
,1899,6,14,,1972,4,16,,1899～1972,川端康成,72歳没　新感覚派　やや不安定,,,,,
,1900,8,23,,1964,4,5,,1900～1964,三好達治,63歳没　なし　不安定,,,,,
,1901,2,17,,1932,3,24,,1901～1932,梶井基次郎,31歳没　新興芸術派　やや不安定,,,,,
,1902,1,25,,1979,8,24,,1902～1979,中野重治,77歳没　プロレタリア派　不安定,,,,,
,1903,12,1,,1933,2,20,,1903～1933,小林多喜二,29歳没　プロレタリア派　不安定,,,,,
,1904,2,8,,1905,9,5,,,日露戦争,,,,,background,
,1904,12,28,,1953,5,28,,1904～1953,堀辰雄,48歳没　新興芸術派　普通,,,,,
,1906,10,20,,1955,2,17,,1906～1955,坂口安吾,48歳没　無頼派　やや安定,,,,,
,1907,4,29,,1937,10,22,,1907～1937,中原中也,30歳没　なし　やや不安定,,,,,
,1909,5,5,,1942,12,4,,1909～1942,中島敦,33歳没　なし　不安定,,,,,
,1909,6,19,,1948,6,13,,1909～1948,太宰治,39歳没　無頼派　不安定,,,,,
,1913,7,30,,1943,3,22,,1913～1943,新見南吉,29歳没　なし　やや不安定,,,,,
,1913,10,26,,1947,1,10,,1913～1947,織田作之助,33歳没　無頼派　安定,,,,,
,1914,7,28,,1918,11,11,,,第一次世界大戦,,,,,background,
,1939,,,,1945,,,,,第二次世界大戦,,,,,background,
,1989,,,,2019,,,,,平成,,,,,background,
,1912,,,,1926,,,,,大正,,,,,background,
