Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
カイロ国際空港,1963,,,,,,,,,開港,,,,,,
カイロ国際空港,1963,,,,now,,,,,ターミナル1,,,,,,
カイロ国際空港,1963,,,,2010,,,,,旧ターミナル2,,,,,,
カイロ国際空港,2016,,,,now,,,,,ターミナル2,,,,,,
カイロ国際空港,2009,,,,now,,,,,ターミナル3,,,,,,
カイロ国際空港,2011,,,,now,,,,,季節運航ターミナル,メッカ巡礼航空機用,,,,,
カイロ国際空港,1963,,,,now,,,,,第1滑走路,,,,,,
カイロ国際空港,1963,,,,now,,,,,第2滑走路,,,,,,
カイロ国際空港,2010,,,,now,,,,,第3滑走路,,,,,,
カイロ国際空港,2019,,,,,,,,,カイロ地下鉄の延長,,,,,,
エジプトでの出来事,1953,,,,,,,,,王政の廃止・エジプト共和国設立,,,,,,
エジプトでの出来事,2011,,,,,,,,,エジプト革命,,,,,,
出来事,1939,,,,1945,,,,,第二次世界大戦,,,,,,
出来事,1973,,,,,,,,,オイルショック,,,,,,
出来事,2007,,,,,,,,,世界金融危機,,,,,,
出来事,1903,,,,,,,,,ライト兄弟による初飛行,,,,,,
出来事,1936,,,,,,,,,ダグラスDC-3就航開始,,,,,,
出来事,1943,,,,,,,,,ロッキードコンステレーション（4発大型航空機）初飛行,,,,,,
出来事,1957,,,,,,,,,B707（ジェット旅客機）初飛行,,,,,,
出来事,1969,,,,,,,,,B747（ジャンボジェット）初飛行,,,,,,
出来事,1976,,,,,,,,,超音速航空機（コンコルド）就航開始,,,,,,
出来事,2007,,,,,,,,,A380（総2階建て巨人機）就航開始,,,,,,
出来事,2011,,,,,,,,,B787（中型ジェット機）,,,,,,
出来事,1995,,,,2005,,,,,アジア・オーストラリア・中南米でLCCの企業が相次ぐ,,,,,,
