Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,Url,Image URL,(未実装) Image Credit,Type,Color
,2015,,,,,,,,,安,,,,,box,red
,2014,,,,,,,,,税,,,,,box,orange
,2013,,,,,,,,,輪,,,,,box,yellow
,2012,,,,,,,,,金,,,,,box,olive
,2011,,,,,,,,,絆,,,,,box,green
,2010,,,,,,,,,暑,,,,,box,teal
,2009,,,,,,,,,新,,,,,box,blue
,2008,,,,,,,,,変,,,,,box,violet
,2007,,,,,,,,,偽,,,,,box,purple
,2006,,,,,,,,,命,,,,,box,pink
,2005,,,,,,,,,愛,,,,,box,brown
,2004,,,,,,,,,災,,,,,box,grey
,2003,,,,,,,,,虎,,,,,box,black
,2002,,,,,,,,,帰,,,,,box,red
,2001,,,,,,,,,戦,,,,,box,orange
,2000,,,,,,,,,金,,,,,box,yellow
,1999,,,,,,,,,末,,,,,box,olive
,1998,,,,,,,,,毒,,,,,box,green
,1997,,,,,,,,,倒,,,,,box,teal
,1996,,,,,,,,,食,,,,,box,blue
,1995,,,,,,,,,震,,,,,box,violet
