Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
関係人物,1680,,,,1718,,,,,エドワード・ティーチ,黒髭。リニューアル前カリブの海賊内に登場していた人物,,,,,
時代背景,1699,,,,1803,,,,,ルイジアナ州植民地時代,ニューオーリンズスクエアのモデルとなったルイジアナ州の仏領時代。映画から推測するにカリブの海賊アトラクション内の時代背景である可能性あり,,,,,
アトラクション,1716,,,,1718,,,,,カリブの海賊（アトラクション内）,カリブの海賊内で海賊が暴れている時代。黒髭の活躍時期とルイジアナ州の歴史から推測される。,,,,,
MK,1753,,,,1776,,,,,リバティ・スクエア,アメリカ植民地時代がテーマであること、およびリバティー・ベルの設置時期からこの時代であると予想される。,,,,,
時代背景,1753,,,,,,,,,リバティー・ベル　吊り下げ,リバティー・スクエアにレプリカが展示されている。アメリカ独立の象徴ともいえる鐘。,,,,,
時代背景,1776,7,4,,,,,,,アメリカ独立,各エリア、特にリバティ・スクエアに深く関係する出来事。1776年宣言、1783年承認,,,,,
関係人物,1782,,,,1826,,,,,ジャン・ラフィート,カリブの海賊　ニューオーリンズで活躍した海賊。,,,,,
DL,1848,,,,1850,,,,,フロンティアランド,ゴールドラッシュの発生時代及びトムソーヤ島からこの時代であると予想される。TDLにおけるウエスタンランドは名称が違うだけなのでおそらく同時代。,,,,,
時代背景,1848,,,,,,,,,ゴールドラッシュ,フロンティアランド及びウエスタンランドに深く関係する出来事,,,,,
DLP,1849,,,,,,,,,サンダーメサにて金鉱発掘,,,,,,
DLP,1849,,,,1860,,,,,フロンティアランド,サンダーメサ全盛期の時代に当てはまる時代とのこと。公式情報かどうかは不明。,,,,,
時代背景,1861,,,,1865,,,,,南北戦争,各エリアに深く関係する出来事。アメリカで起こった合衆国（北）と連合国（南）による内乱。,,,,,
DL,1865,,,,1900,,,,,ニューオーリンズ・スクエア,19世紀のニューオーリンズがテーマであること及びカリブの海賊外観にある星条旗が合衆国国旗であること、ニューオーリンズジャズの確立により南北戦争終結後のこの時代であると予想される。TDLにおけるロイヤルストリートが当てはまるかは不明だが、星条旗が飾られているため同時代である可能性は高い。,,,,,
時代背景,1865,,,,,,,,,ジャズの誕生,ニューオーリンズ発祥の音楽。南北戦争終結後に生まれたとされる。ニューオーリンズ・スクエア内で主にBGMとして使用される,,,,,
TDR,1880,,,,1885,,,,,ロストリバーデルタ発見,公式設定として1880年代前半におきたハリケーンの襲来により発見されたとの記載有,,,,,
TDR,1892,,,,,,,,,ホテルハイタワー　オープン,公式情報,,,,,
時代背景,1897,,,,,,,,,ラグタイムの流行,アメリカで流行したジャズに強く影響を受けた音楽。メインストリートUSA内及びワールドバザール内で主にBGMとして使用される,,,,,
TDR,1899,12,31,,1900,1,1,,,ホテルハイタワーにて事故発生,ハイタワー三世失踪。,,,,,
DL,1901,,,,1910,,,,,メインストリートUSA,ウォルトディズニーの幼少期の5年間を過ごした街マーセリーンがモデルとなっているため、生年から計算してこの時代であると予想される。詳しい5年間の年代は不明。TDLにおけるワールドバザールが当てはまるかは不明だがコンセプトは統一されているため同時代である可能性は高い。,,,,,
関係人物,1901,,,,1966,,,,,ウォルトディズニー,もはや説明はいらないでしょ,,,,,
HDL,1908,,,,,,,,,ミスティックマナーにて展示会,公式設定,,,,,
HDL,1908,,,,,,,,,ミスティックポイント,ミスティックマナー展示会開催時期より予測。,,,,,
TDR,1912,,,,,,,,,ホテルハイタワー　ツアー開始,,,,,,
TDR,1912,,,,,,,,,アメリカンウォーターフロント,公式設定。,,,,,
TDR,1930,,,,1939,,,,,ロストリバーデルタ　,公式設定として1930年代との記載あり。,,,,,
