Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
出来事,2008,4,4,,,,,,,Wano創業,まだ役員も全員揃っていない,,,,,
出来事,2009,4,,,,,,,,経営メンバーが整う,,,,,,
出来事,2009,11,1,,,,,,,社員１号が入社,,,,,,
出来事,2010,4,,,,,,,,EDOCODEの前身が誕生,,,,,,
出来事,2011,2,,,,,,,,TuneCore交渉スタート,,,,,,
出来事,2013,5,,,,,,,,and pictures 参画,,,,,,
出来事,2014,4,,,,,,,,アルファアーキテクト設立,,,,,,
出来事,2014,9,,,,,,,,TCJ単月黒字化,,,,,,
出来事,2015,4,,,,,,,,恵比寿に移転,,,,,,
出来事,2015,5,,,,,,,,STYLICTION設立,,,,,,
出来事,2015,,,,,,,,,VeleT売上5000万突破,,,,,,
出来事,2016,4,,,,,,,,EDOCODE設立,,,,,,
出来事,2017,3,,,,,,,,TCJ黒字化,,,,,,
出来事,2017,,,,,,,,,Video Kicks　β版ローンチ,,,,,,
出来事,2017,6,,,,,,,,iTsnap　増資,,,,,,
出来事,2017,4,,,,,,,,VeleT x AA 本格始動,,,,,,
出来事,2018,3,,,,,,,,TCJ還元30億円,,,,,,
出来事,2019,3,,,,,,,,TCJ還元55億円,,,,,,
出来事,2019,7,,,,,,,,Video Kicks映画配信開始,,,,,,
会社,2008,4,4,,now,,,,,Wano株式会社,,,https://group.wano.co.jp/wp-content/uploads/2019/03/wano-1.png,,range,
会社,2012,2,19,,now,,,,,チューンコアジャパン株式会社,,,,,,
会社,2013,5,13,,now,,,,,and pictures株式会社,,,,,,
会社,2014,4,,,now,,,,,アルファアーキテクト株式会社,,,,,,
会社,2015,5,,,now,,,,,STYLICTION株式会社,,,,,,
会社,2016,6,1,,now,,,,,EDOCODE株式会社,,,,,,
場所,2008,4,4,,2009,3,,,,場所（要確認）,,,,,,
場所,2009,4,,,2010,4,,,,新宿区中野坂上　宝栄ビル７階,,,,,,
場所,2010,4,,,2015,3,,,,新宿区西新宿　オザワビル,,,,,,
場所,2015,4,,,now,,,,,渋谷区恵比寿　EBISU FORT,,,,,,
メンバー,2008,5,,,now,,,,,境 達郎,,,,,,
メンバー,2008,5,,,now,,,,,加藤 敦,,,,,,
メンバー,2008,11,,,now,,,,,野田 威一郎,,,,,,
メンバー,2009,4,,,now,,,,,谷本 哲,,,,,,
メンバー,2009,6,,,now,,,,,田村 鷹正,,,,,,
メンバー,2010,2,,,now,,,,,鹿 麟,,,,,,
メンバー,2011,1,,,now,,,,,橋本 誠良,,,,,,
メンバー,2012,1,,,now,,,,,吉野 拓人,,,,,,
事業,2009,4,,,now,,,,,広告業務,,,,,,
事業,2009,4,,,now,,,,,受託開発,,,,,,
事業,2009,,,,2011,,,,,メディア,,,,,,
事業,2010,,,,now,,,,,Pmall,,,,,,
事業,2010,,,,2011,,,,,つぶレコ,,,,,,
事業,2011,,,,2012,,,,,book,,,,,,
事業,2011,,,,2012,,,,,フォロバード,,,,,,
事業,2012,,,,now,,,,,TuneCore Japan,,,,,,
事業,2012,,,,2013,,,,,Appdeli,,,,,,
事業,2012,,,,2013,,,,,BTN,,,,,,
事業,2012,,,,2013,,,,,QUIZ,,,,,,
事業,2013,,,,now,,,,,VeleT,,,,,,
事業,2013,,,,2017,,,,,Terminal,,,,,,
事業,2015,,,,now,,,,,life theater (AA),,,,,,
事業,2016,,,,now,,,,,iTsnap,,,,,,
事業,2017,,,,now,,,,,mirroRliar (ap),,,,,,
事業,2017,,,,now,,,,,高校生rap アプリ,,,,,,
事業,2018,,,,now,,,,,もしもしにっぽん　,,,,,,
事業,2018,,,,now,,,,,Video Kicks,,,,,,
事業,,,,,,,,,,,,,,,,
売り上げ,2009,3,31,,,,,,,,,,,,,
売り上げ,2010,3,31,,,,,,,,,,,,,
売り上げ,2011,3,31,,,,,,,1億,,,,,,
売り上げ,2012,3,31,,,,,,,4億,,,,,,
売り上げ,2013,3,31,,,,,,,5億,,,,,,
売り上げ,2014,3,31,,,,,,,4億2000万,,,,,,
売り上げ,2015,3,31,,,,,,,6億,,,,,,
売り上げ,2016,3,31,,,,,,,8億3700万,,,,,,
売り上げ,2017,3,31,,,,,,,8億3700万,,,,,,
売り上げ,2018,3,31,,,,,,,7億,,,,,,
売り上げ,2019,3,31,,,,,,,12億,,,,,,
