Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,2019,,,,now,,,,,令和,,,,,,
日本の年号,1989,,,,2019,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
農政の潮流,1942,,,,1960,,,,,終戦から農業基本法まで,,,,,,
農政の潮流,1961,,,,1980,,,,,農業基本法による農政展開,,,,,,
農政の潮流,1985,,,,1999,,,,,国際化の進展・食料農業農村基本法の制定,,,,,,
農政の潮流,2000,,,,2008,,,,,食料農業農村基本法による施作の具体化,,,,,,
食料・農業・農村の動向と主な施策,1942,,,,1995,,,,,食糧管理法,,,,,,
食料・農業・農村の動向と主な施策,1952,,,,,,,,,農地法制定,,,,,,
食料・農業・農村の動向と主な施策,1961,,,,1999,,,,,農業基本法,農業生産の選択的拡大、自立経営の育成,,,,,
食料・農業・農村の動向と主な施策,1964,,,,,,,,,でかせぎ100万人,,,,,,
食料・農業・農村の動向と主な施策,1965,,,,,,,,,農村振興法,,,,,,
食料・農業・農村の動向と主な施策,1967,,,,,,,,,米の完全自給を達成,,,,,,
食料・農業・農村の動向と主な施策,1969,,,,,,,,,自主流通米制度の発足,,,,,,
食料・農業・農村の動向と主な施策,1969,,,,,,,,,農地法改正・農業振興地域の整備に関する法律（農振法）,借地による農地の流動化促進、農業地帯の保全と振興,,,,,
食料・農業・農村の動向と主な施策,1971,,,,,,,,,過疎地域対策緊急措置法制定,,,,,,
食料・農業・農村の動向と主な施策,1971,,,,,,,,,米の生産調整を本格的に開始,,,,,,
食料・農業・農村の動向と主な施策,1972,,,,,,,,,異常気象による世界食料危機,,,,,,
食料・農業・農村の動向と主な施策,1973,,,,,,,,,米国大豆輸出規制,,,,,,
食料・農業・農村の動向と主な施策,1974,,,,,,,,,農振法改正,市町村が主体となって集団的利用権を設定、農用地の利用を増進する事業を創設,,,,,
食料・農業・農村の動向と主な施策,1975,,,,,,,,,みかんの生産調整開始,,,,,,
食料・農業・農村の動向と主な施策,1980,,,,,,,,,農政審議会「80年代の農政の基本方向」答申,「日本型食生活」「食料安全保障」の提起,,,,,
食料・農業・農村の動向と主な施策,1988,,,,,,,,,日米農産物交渉合意,牛肉・オレンジ自由化,,,,,
食料・農業・農村の動向と主な施策,1989,,,,,,,,,食料自給率50%を割る,,,,,,
食料・農業・農村の動向と主な施策,1992,,,,,,,,,「新しい食料・農業・農村政策の方向」公表,食料・農業・農村の役割の明確化、地球環境問題への配慮、効率的・安定的な経営体が生産の大宗を担う農業構造の実現、自主性と創意工夫を活かした地域づくり,,,,,
食料・農業・農村の動向と主な施策,1992,,,,,,,,,グリーンツーリズムの提唱,,,,,,
食料・農業・農村の動向と主な施策,1992,,,,,,,,,ガットウルグアイラウンドの交渉合意,米以外の輸入制限品目の関税化や米のミニマムアクセス設定など,,,,,
食料・農業・農村の動向と主な施策,1993,,,,,,,,,戦後最悪の米の不作,作況指数74,,,,,
食料・農業・農村の動向と主な施策,1993,,,,,,,,,農業経営基盤強化促進法制定,経営支援策の体系化、認定農業者制度の創設,,,,,
食料・農業・農村の動向と主な施策,1995,,,,,,,,,食糧管理制度廃止・食糧法制定,政府から民間主導へ,,,,,
