Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,(未実装) Color
哲学的な何かあと数学とか,1670,,,,,,,,,フェルマー予想,,,,,,
哲学的な何かあと数学とか,1770,,,,,,,,,n=3をオイラーが証明,,,,,,
哲学的な何かあと数学とか,1823,,,,,,,,,n=5をソフィが証明,,,,,,
心理学超入門,1831,,,,,,,,,ウェーバー・フェヒナーの法則,エルンスト・ウェーバー,,,,,
哲学的な何かあと数学とか,1847,,,,,,,,,ラメとコーシーが論争,,,,,,
統計学が最強の学問である,1854,,,,,,,,,ブロード・ストリート事件,ジョン・スノウがコレラ患者の原因を推定,,,,,
心理学超入門,1870,,,,,,,,,実験心理学,ヴィルヘルム・ヴント,,,,,
統計学が最強の学問である,1877,,,,,,,,,回帰（平均への回帰）,フランシス・ゴルドンが発表,https://ja.wikipedia.org/wiki/%E5%B9%B3%E5%9D%87%E3%81%B8%E3%81%AE%E5%9B%9E%E5%B8%B0,,,,
心理学超入門,1885,,,,,,,,,エビングハウスの忘却曲線,ヘルマン・エビングハウス,,,,,
心理学超入門,1886,,,,,,,,,精神分析学,ジークムント・フロイト,,,,,
心理学超入門,1902,,,,,,,,,パブロフの犬,イワン・パブロフ,,,,,
統計学が最強の学問である,1908,,,,,,,,,t検定,ウィリアム・コゼットがビール醸造会社で発明,,,,,
心理学超入門,1908,,,,,,,,,社会心理学,クルト・レヴィン,,,,,
心理学超入門,1910,,,,,,,,,個人心理学/アドラー心理学,アルフレッド・アドラー(1910?),,,,,
心理学超入門,1915,,,,,,,,,ルビンの壺,エドガー・ルビン,,,,,
心理学超入門,1920,,,,,,,,,アルバート坊やの実験,ジョン・ワトソン,,,,,
心理学超入門,1921,,,,,,,,,分析心理学,カール・グスタフ・ユング,,https://upload.wikimedia.org/wikipedia/commons/0/00/CGJung.jpg,,,
統計学が最強の学問である,1935,,,,,,,,,実験計画法,R.A.フィッシャーが提唱,,,,,
心理学超入門,1943,,,,,,,,,欲求５段階説,アブラハム・マズロー,,,,,
統計学が最強の学問である,1948,,,,,,,,,フラミンガム研究,米国NHIが心臓病の原因追求ために開始,,,,,
統計学が最強の学問である,1948,,,,,,,,,ケースコントロール研究,特徴を関心事以外で同じ人数で調査,,,,,
心理学超入門,1950,,,,,,,,,ピアジェの発達理論,ジャン・ピアジェ,,,,,
心理学超入門,1950,,,,,,,,,発達心理学（エリクソンの発達段階）,エルク・エリクソン,,,,,
哲学的な何かあと数学とか,1955,,,,,,,,,谷山-志村予想,,,,,,
心理学超入門,1959,,,,,,,,,パンデモニアムモデル,オリバー・セルフリッジ,,https://www.cis.twcu.ac.jp/~asakawa/MathBio2010/lesson13/images/Pandemonium.jpg,,,
心理学超入門,1963,,,,,,,,,ミルグラム実験,スタンリー・ミルグラム,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Milgram_experiment_v2.svg,,,
心理学超入門,1967,,,,,,,,,認知心理学,ウルリック・ナイサー,,,,,
心理学超入門,1968,,,,,,,,,傍観者効果,ビブ・ナタネ,,,,,
心理学超入門,1977,,,,,,,,,新生児模倣,アンドリュー・メルツォフ,,,,,
心理学超入門,1978,,,,,,,,,チンパンジーは心の理論を持つか,デイビット・プリマック,,,,,
心理学超入門,1979,,,,,,,,,行動経済学（プロスペクト理論）,"ダニエル・カーネマン
認知バイアス",,,,,
心理学超入門,1982,,,,,,,,,認知バイアス,ダニエル・カーネマン,,,,,
哲学的な何かあと数学とか,1984,,,,,,,,,フライセール予想,,,,,,
哲学的な何かあと数学とか,1993,,,,,,,,,アンドリュー・ワイルズが公演,,,,,,
哲学的な何かあと数学とか,1994,,,,,,,,,アンドリュー・ワイルズが論文を修正,,,,,,
哲学的な何かあと数学とか,1995,,,,,,,,,数学会が証明を認める,,,,,,
