Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,2001,,,,2003,,,,,パワプロシリーズ,,,,,,
,2015,,,,now,,,,,ウィッチャーシリーズ,,,,,,
,2012,,,,,,,,,スプラトゥーンシリーズ,,,,,,
,2015,,,,,,,,,聖剣伝説シリーズ,,,,,,
,2012,,,,,,,,,ゼルダの伝説シリーズ,,,,,,
,2015,,,,2015,,,,,三國無双シリーズ,,,,,,
,2012,,,,,,,,,戦国無双シリーズ,,,,,,
,2013,,,,,,,,,マリオカートシリーズ,,,,,,
,2016,,,,,,,,,将棋,,,,,,
,2011,,,,,,,,,スマブラシリーズ,,,,,,
,2008,,,,,,,,,デュエルマスターズ,,,,,,
,2016,,,,,,,,,FFシリーズ,,,,,,
,2017,,,,,,,,,FF13-2,,,,,,
,2017,,,,2017,,,,,パックマン,,,,,,
,2017,,,,,,,,,Faeria,,,,,,
,2017,,,,now,,,,,Mr. Do!,,,,,,
,2018,,,,,,,,,FF零式,,,,,,
,2018,,,,,,,,,真・女神転生2,,,,,,
,2018,,,,,,,,,カービィのエアライド,,,,,,
,2006,,,,,,,,,ゼノギアス,,,,,,
,2012,,,,,,,,,マリオパーティ5,,,,,,
,2016,,,,,,,,,FF9,,,,,,
,2016,,,,,,,,,マリオ64,,,,,,
,2003,,,,2016,,,,,Fortnite,,,,,,
,2005,,,,2011,,,,,カービィシリーズ,,,,,,
,2003,,,,now,,,,,ディグダグ,,,,,,
,2003,,,,now,,,,,ゼルダの伝説 ムジュラの仮面,,,,,,
,2011,,,,2014,,,,,Dota 2,,,,,,
,2004,,,,2014,,,,,生贄と雪のセツナ,,,,,,
,2008,,,,now,,,,,ウイニングイレブンシリーズ,,,,,,
,2003,,,,now,,,,,FF5,,,,,,
,2015,,,,,,,,,Witcher 3,,,,,,
,2005,,,,2009,,,,,FF4,,,,,,
,2005,,,,2009,,,,,Fate,,,,,,
,2015,,,,2017,,,,,幻想水滸伝2,,,,,,
,2014,,,,2017,,,,,スペースインベーダー,,,,,,
,2017,,,,,,,,,FF6,,,,,,
,2003,,,,2012,,,,,ドラクエシリーズ,,,,,,
,2004,,,,now,,,,,FF13 LR,,,,,,
,,,,,,,,,,Witcher 2,,,,,,
,,,,,,,,,,バイオハザードシリーズ,,,,,,
,,,,,,,,,,FF13,,,,,,
,,,,,,,,,,メビウスFF,,,,,,
,,,,,,,,,,ゼルダの伝説 風のタクト,,,,,,
,,,,,,,,,,LOL,,,,,,
,,,,,,,,,,モンスターハンターシリーズ,,,,,,
