Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,2019,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,2019,,,,now,,,,,令和,,,,,,
日本の年号,1831,,,,1845,,,,,天保,,,,,,
日本の年号,1845,,,,1848,,,,,弘化,,,,,,
日本の年号,1848,,,,1855,,,,,嘉永,,,,,,
日本の年号,1855,,,,1860,,,,,安政,,,,,,
日本の年号,1860,,,,1861,,,,,万延,,,,,,
日本の年号,1861,,,,1864,,,,,文久,,,,,,
日本の年号,1864,,,,1865,,,,,元治,,,,,,
日本の年号,1865,,,,1868,,,,,慶應,,,,,,
5世代前,1843,,,,1914,2,8,,,フク,,,,,,
4世代前,1888,,,,1921,10,2,,,平吉,左一の弟,,,,,
4世代前,1880,,,,1953,12,25,,,左一,ヒロの夫。一平の父,,,,,
4世代前,1882,,,,1967,8,25,,,ヒロ,左一の妻。一平の母,,,,,
3世代前,1904,,,,1979,10,18,,,一平,ヒサの夫。良一の父,,,,,
3世代前,1907,,,,1966,5,28,,,ヒサ,一平の妻。良一の母,,,,,
2世代前,1936,2,16,,2019,5,9,,,良一,清子の夫。かほるの夫。敦子の父,,,,,
2世代前,,,,,,,,,,清子,良一の妻。敦子の母,,,,,
2世代前,,,,,2018,,,,,かほる,良一の妻,,,,,
1世代前,1963,12,16,,now,,,,,敦子,克巳の妻。冬雅の母,,,,,
1世代前,1955,5,10,,now,,,,,克巳,敦子の夫。冬雅の父,,,,,
同世代,1994,12,2,,now,,,,,冬雅,夏音の兄,,,,,
同世代,2002,7,1,,now,,,,,夏音,冬雅の妹,,,,,
