Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
日本の年号,,,,,,,,,,安土桃山,,,,,,
日本の年号,1333,,,,,,,,,室町,,,,,,
日本の年号,1185,,,,1333,,,,,鎌倉,,,,,,
日本の年号,794,,,,1185,,,,,平安,,,,,,
日本の年号,701,,,,794,,,,,奈良,,,,,,
日本の年号,,,,,,,,,,飛鳥,,,,,,
時代,581,,,,618,,,,,隋,,,,,,
時代,618,,,,907,,,,,唐,,,,,,
出来事,600,,,,,,,,,第一回遣隋使,,,,,,
出来事,663,,,,,,,,,白村江の戦い,,,,,,
出来事,755,,,,763,,,,,安史の乱,,,,,,
出来事,1929,,,,,,,,,ATP発見 byフィスケ、サバロー(米)ローマン(独),,,,,,
出来事,1957,,,,,,,,,横紋構造発見byハクスレー,,,,,,
