Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
出来事,1948,,,,1950,,,,,ジフテリア予防接種による健康被害, ,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
出来事,1951,,,,1975,,,,,クロラムフェニコールによる再生不良性貧血,,,,,,
出来事,1953,,,,1957,,,,,ペニシリン注射によるショック死,,,,,,
出来事,1955,,,,1972,,,,,キノホルム製剤によるスモン,,,,,,
出来事,1959,,,,1965,,,,,アンプル入り風邪薬,,,,,,
出来事,1959,,,,1962,,,,,サリドマイド事件,,,,,,
出来事,1961,,,,1974,,,,,クロロキン製剤による網膜症,,,,,,
出来事,1962,,,,1975,,,,,筋肉注射による大腿四頭筋拘縮症事件,,,,,,
出来事,1971,,,,,,,,,ストレプトマイシンによる聴力障害,,,,,,
出来事,1974,,,,1988,,,,,C型肝炎事件,,,,,,
出来事,1982,,,,,,,,,ダイアライザー不良品事故,,,,,,
出来事,1985,,,,1994,,,,,薬害エイズ,,,,,,
出来事,1989,,,,1993,,,,,MMRワクチンによる無菌性髄膜炎事件,,,,,,
出来事,1993,,,,,,,,,ソリブジン事件,,,,,,
出来事,1993,,,,,,,,,イリノテカン事件,,,,,,
出来事,2002,,,,2003,,,,,イレッサ事件,,,,,,
