Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,2019,,,,now,,,,,令和,,,,,,
日本の年号,1989,,,,2019,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
高等教育機関,1947,,,,now,,,,,大学,,,,,,
高等教育機関,1950,,,,1963,,,,,短期大学（暫定）,,,,,,
高等教育機関,1964,,,,now,,,,,短期大学（恒久化）,,,,,,
高等教育機関,1962,,,,now,,,,,高等専門学校,,,,,,
高等教育機関,1976,,,,now,,,,,専修学校,,,,,,
高等教育機関,2003,,,,now,,,,,専門職大学院,,,,,,
高等教育機関,2019,,,,now,,,,,専門職大学,,,,,,
高等教育機関,2019,,,,now,,,,,専門職短期大学,,,,,,
出来事,1958,3,,,,,,,,専科大学法案廃案,,,,,,
出来事,1956,,,,,,,,,大学設置基準,,,,,,
出来事,1974,,,,,,,,,大学院設置基準,,,,,,
出来事,1999,4,,,,,,,,専門学校からの編入学が可能に,,,,,,
出来事,2016,4,,,,,,,,高等学校専攻科からの編入学が可能に,,,,,,
出来事,1991,7,,,,,,,,大学設置基準大綱化,,,,,,
出来事,1991,7,,,,,,,,学位授与機構発足,（現 大学改革支援・学位授与機構）,,,,,
出来事,2005,10,,,,,,,,短期大学では準学士から短期大学士へ変更,,,,,,
出来事,1991,,,,,,,,,学士号が学位へ，短大・高専で準学士授与,,,,,,
我らが筑波大の出来事,1973,,,,now,,,,,筑波大,,,,,,
我らが筑波大の出来事,1949,,,,1978,,,,,東京教育大,,,,,,
我らが筑波大の出来事,1986,,,,2020,3,,,,大学研究センター,,,,,,
我らが筑波大の出来事,2020,4,,,now,,,,,教学マネジメント室,,,,,,
