Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
特徴,1963,,,,1973,,,,,製品の登場時期,,,,,,
特徴,1975,,,,1985,,,,,防錆・防音性能の向上,,,,,,
特徴,1975,,,,1985,,,,,洋風化・高級志向,,,,,,
特徴,1980,,,,1992,,,,,現場組み立ての容易化,,,,,,
特徴,1993,,,,2004,,,,,安全性・施工性の向上,,,,,,
特徴,1993,,,,2004,,,,,低価格化志向,,,,,,
鉄骨階段1,1967,,,,1976,,,,,横森式鉄骨化粧階段,,,,,,
鉄骨階段1,1976,,,,1983,,,,,SFRC階段,,,,,,
鉄骨階段1,1983,,,,1989,,,,,Z55-SFRC階段,,,,,,
鉄骨階段1,1989,,,,1995,,,,,スライディングスラブ,,,,,,
鉄骨階段1,1996,,,,2004,,,,,YS-JUSTAIR,,,,,,
鉄骨階段2,1969,,,,1976,,,,,関根セットステアー,,,,,,
鉄骨階段2,1976,,,,1981,,,,,ユニワー,,,,,,
鉄骨階段2,1981,,,,1983,,,,,マニール,,,,,,
鉄骨階段2,1983,,,,2002,,,,,フレキシブル階段,,,,,,
鉄骨階段2,1983,,,,2002,,,,,フエロクリート階段,,,,,,
鉄骨階段2,2002,,,,2003,,,,,KDスパイラル（スチール),,,,,,
鉄骨階段2,2003,,,,2004,,,,,内部ストレート階段,,,,,,
アルミ階段,1979,,,,1984,,,,,アルミ階段,,,,,,
アルミ階段,1984,,,,1989,,,,,ステアーズ,,,,,,
アルミ階段,1989,,,,1990,,,,,ステアーズ,,,,,,
アルミ階段,1990,,,,1994,,,,,スーパー・ステップⅡ,,,,,,
アルミ階段,1994,,,,2004,,,,,BIG階段Cステップ,,,,,,
アルミ階段2,1979,,,,1983,,,,,アルミユニット螺旋階段,,,,,,
アルミ階段2,1983,,,,1985,,,,,ママ・ステッピー,,,,,,
アルミ階段2,1985,,,,1992,,,,,ソノーラ２,,,,,,
アルミ階段2,1992,,,,2001,,,,,KDスパイラル,,,,,,
PC階段,1964,,,,1987,,,,,階段室内型PC屋内階段,,,,,,
PC階段,1987,,,,1994,,,,,PC屋外解放階段,,,,,,
PC階段,1987,,,,1994,,,,,三井プレコン組立階段(MPステア),,,,,,
PC階段,1994,,,,1995,,,,,カイザーPC屋外階段システム(ねじ方式),,,,,,
PC階段,1995,,,,2004,,,,,アドステップ,,,,,,
木質階段,1965,,,,1969,,,,,クィーン,,,,,,
木質階段,1969,,,,1974,,,,,れいほう,,,,,,
木質階段,1974,,,,1976,,,,,フリーステップ,,,,,,
木質階段,1976,,,,1980,,,,,ハーフ階段,,,,,,
木質階段,1980,,,,1983,,,,,LVLによる階段,,,,,,
木質階段,1983,,,,1993,,,,,コロニー,,,,,,
木質階段,1993,,,,1999,,,,,低価格化製品,,,,,,
木質階段,1999,,,,2004,,,,,リフォーム用製品,,,,,,
木質階段,1999,,,,2004,,,,,照明内蔵の製品,,,,,,
木質階段2,1978,,,,1984,,,,,オーロラ,,,,,,
木質階段2,1984,,,,1989,,,,,ブロバ・インディペンデント,,,,,,
木質階段2,1989,,,,1998,,,,,階段ユニットらせん階段,,,,,,
木質階段2,1998,,,,2000,,,,,規格型のカーブ階段,,,,,,
木質階段2,2000,,,,2004,,,,,スカーレ,,,,,,
仮設階段,1973,,,,1980,,,,,階段枠(KW-4525),,,,,,
仮設階段,1980,,,,1988,,,,,K-26RL,,,,,,
仮設階段,1988,,,,1989,,,,,棟梁,,,,,,
仮設階段,1989,,,,1998,,,,,建作くん,,,,,,
仮設階段,1998,,,,1999,,,,,補助階段,,,,,,
仮設階段,1999,,,,2004,,,,,フリーステア,,,,,,
仮設階段2,1969,,,,1990,,,,,アップライトステアウェイ,,,,,,
仮設階段2,1990,,,,1996,,,,,ハングライダー,,,,,,
仮設階段2,1996,,,,2001,,,,,フリーステップ,,,,,,
仮設階段2,2001,,,,2004,,,,,クリフステア,,,,,,
