Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
機術の国,200,,,,,,,,,皇帝落誕,機械技術の開始,,,,,
機術の国,1000,,,,,,,,,エーテル鉱石の発見,,,,,,
機術の国,1500,,,,,,,,,エーテルからエネルギーを取り出すことに成功,近代化の兆し,,,,,
機術の国,1700,,,,1850,,,,,戦国時代,,,,,,
機術の国,1850,,,,,,,,,機術の国、制定,戦国自体の終り。以降、100年の治世が続く,,,,,
機術の国,1950,,,,,,,,,中立領の発見,交わり,,,,,
機術の国,1965,,,,1970,,,,,第一次世界大戦,初の国家間戦争,,,,,
機術の国,1970,,,,,,,,,休戦条約締結,,,,,,
機術の国,2000,,,,,,,,,第二次世界大戦、勃発,,,,,,
汽術の国,100,,,,,,,,,赤い脊髄の来訪,教会の始まり。汽術の芽生え,,,,,
汽術の国,400,,,,,,,,,二代目の生誕。教会の広まり。,根を広げる,,,,,
汽術の国,400,,,,,,,,,エーテル鉱石の発見,エーテル汚染が開始。内乱の始まり,,,,,
汽術の国,550,,,,,,,,,王国と教会の邂逅,戦争の収束,,,,,
汽術の国,560,,,,,,,,,連合国の成立,,,,,,
汽術の国,400,,,,600,,,,,"""鉄の内乱""",エーテル鉱石に伴う技術革新、そしてそれらの奪い合い。,,,,,
汽術の国,560,,,,,,,,,第二転生体、崩御,長きにわたり、教会は神体を失う,,,,,
汽術の国,560,,,,,,,,,到達する十二の作製,転生体の死体を利用し到達する十二を作成。靴の暴走など,,,,,
汽術の国,1000,,,,,,,,,蒸気機関の発明,近代化の始まり。そして、それは望まぬ進化を伴ったものだった。,,,,,
汽術の国,1150,,,,,,,,,"""神話""の流布",とある作家による神話体系（パラダイムシフト）。それは、のちの汽術概念に大きな影響を及ぼす。,,,,,
汽術の国,1300,,,,,,,,,汽術師たちの一般化,一般市民に汽術が流布する,,,,,
汽術の国,1500,,,,,,,,,階差機関（けいさんき）の発明,別名・マトリクス・スコープ。,,,,,
汽術の国,1950,,,,,,,,,中立領の発見,交わり,,,,,
汽術の国,1965,,,,1970,,,,,第一次世界大戦,初の国家間戦争,,,,,
汽術の国,1970,,,,,,,,,休戦条約締結,,,,,,
汽術の国,1996,,,,,,,,,steam rumble,とある大学の喧騒,,,,,
汽術の国,2000,,,,,,,,,第二次世界大戦、勃発,,,,,,
