Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
出来事：東,698,11,30,,,,,,,イザキの死亡,,,,,,
出来事：東,732,9,12,,,,,,,始祖イザキの誕生,ウイルスは濃厚だが形成に非常に時間が掛かっている。,,,,box,
出来事：東,740,9,1,,,,,,,天の誕生,イザキは誕生後も人の中にまぎれ生きていた。愛し合ってみた町娘と子を作り天が生まれる。育児にも熱心ではなく、病気がちな天にもあまり構っていなかった為夫婦での喧嘩も少なく無い。,,,,,
出来事：西,750,6,4,,,,,,,ヨハネスの死亡,,,,,,
出来事：西,751,10,13,,,,,,,始祖ヨハネスの誕生,ウイルスが濃厚、一年半で形成,,,,box,
出来事：西,751,12,28,,,,,,,スチュアートの骸を拾う,死亡日不明,,,,,
出来事：西,755,12,1,,,,,,,スチュアートの誕生,形成されるまで5年掛かっている。,,,,,
出来事：西,755,12,1,,787,6,1,,,ヨハネスとスチュアートの共存,ヨハネスの命日を前に消えるが、お互いの関係も冷めつつあり、ヨハネスは屋敷から姿を消す。,,,,,
出来事：西,758,4,3,,,,,,,リシャール家、襲撃,スチュアートの腕試しに襲撃される。既に吸血種の存在は知られており、大きな波乱を呼んだ。学びの為遠方へ行っていたドナとは2か月後会いに行き、友人となる。,,,,,
出来事,745,8,2,,,,,,,イザキ一家で西へ渡る,ひょんなことから知り合った外交の人間と共に家族で西へ。天の身体の為であるが、到着後もやはりまともに世話は見なかった。,,,,,
出来事,745,,,,751,,,,,吸血種の感染が始まる,始祖達の存在を起点に吸血種の感染が西で大きく広がりを見せ、存在が知られていく。,,,,,
出来事,780,9,1,,,,,,,天、成人,成人が近づくにつれ脆弱になっており、数か月に渡る熱と眩暈等の重い病を患っていた。その日から熱は引き徐々に回復をする。そして自分の身体が普通ではない事にも気づく。,,,,,
生存者,,,,,,,,,,,,,,,,
長期生存者,732,9,12,,now,,,,,イザキ,,,,,,purple
長期生存者,751,10,13,,now,,,,,ヨハネス,,,,,,purple
長期生存者,755,12,1,,now,,,,,スチュアート,,,,,,red
長期生存者,740,9,1,,now,,,,,天,,,,,,
