Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
世界の年号,1800,,,,,,,,,ドイツ・ロマン主義,,,,,,
科学者,1745-,2,18,,1827,3,5,,,ボルタ,,,,,,
科学者,1777,4,30,,1855,2,23,,,ガウス,,,,,,
科学者,1789,3,16,,1854,7,6,,,オーム,,,,,,
言語学,1992,,,,,,,,,リヴィア・パーキンス「社会の複雑さと語構造の複雑さは反比例する」,『言語が違えば…/ガイ・ドッチャー』p142　他人同士のコミュニケーションが頻繁な社会では指示語が単語に融合することは少ない。また、異なる言語が接触することで単純化が起こる。文字での記録は単語の融合を起こしにくい。,,,,point,
言語学,1767,,,,1835,,,,,ヴィルヘルム・フォン・フンボルト,言語学、哲学、外交官、教育改革、ベルリン大学創設　「言語が思考を形成する器官」「思考は一般論としての言語に依存するだけでなく、個々の特定言語にもある程度まで依存する」,,,,,
