Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
サン出版→マガジン･マガジン,1978,10,1,,1978,12,1,,,Comic JUN,,,,,,
サン出版→マガジン･マガジン,1979,2,1,,1995,11,1,,,JUNE,,,,,,
サン出版→マガジン･マガジン,1982,10,5,,2004,4,1,,,小説 June,,,,,,
サン出版→マガジン･マガジン,1988,10,5,,1997,12,5,,,ロマンJune,,,,,,
サン出版→マガジン･マガジン,1999,10,5,,2004,7,5,,,小説 ピアス,,,,,,
三和出版,1994,1,15,,1994,7,15,,,小説 asiA,,,,,,
オークラ出版,1995,4,20,,2004,5,4,,,小説 I's,,,,,,
オークラ出版,2004,2,23,,2010,,,,,小説アクア,,,,,,
フロム出版,1994,4,15,,1997,11,5,,,小説 Adonis,所蔵無し,,,,,
コアマガジン,1992,6,30,,1993,10,5,,,小説 イマージュ,,,,,,
コアマガジン→白夜書房,1994,1,1,,2001,11,1,,,小説 イマージュクラブ,所蔵無し,,,,,
桜桃書房,1994,2,15,,1997,2,1,,,ECLiPSE,大判1-10号所蔵無し,,,,,
桜桃書房,1997,4,1,,2002,12,1,,,小説 エクリプス,,,,,,
桜桃書房,1996,3,15,,1996,11,1,,,小説 Jakow,所蔵無し,,,,,
桜桃書房,1994,5,10,,1996,12,20,,,小説 Fudge,,,,,,
桃園書房,1996,9,25,,1997,6,25,,,小説 Caille,欠: Vol.2,,,,,
幻冬舎コミックス,2003,2,28,,2012,8,1,,,小説 リンクス,,,,,,
幻冬舎コミックス,2012,10,,,now,,,,,リンクス,,,,,,
ミリオン出版,1993,9,10,,1994,9,10,,,DEEP,,,,,,
ミリオン出版,1997,8,1,,1998,5,10,,,Clear,Vol.2のみ,,,,,
茜新社,1995,3,25,,1997,5,25,,,小説 オヴィス,,,,,,
茜新社,2002,2,1,,2002,11,1,,,OvisDipp,所蔵無し,,,,,
茜新社,1997,7,25,,1997,12,25,,,小説 Jam,図書,,,,,
フロム出版,1997,12,20,,,,,,,サフィ,所蔵無し,,,,,
ひかり出版,1994,12,20,,1997,1,25,,,小説 Passion,,,,,,
ムービック,1994,9,1,,1995,12,1,,,元気読本DX,,,,,,
ムービック,1997,4,10,,1998,3,1,,,小説GENKi Boys,所蔵無し,,,,,
芳文社,1996,10,28,,1996,12,28,,,小説 夢音,,,,,,
芳文社,1994,11,28,,1997,8,14,,,小説 花音倶楽部,,,,,,
白泉社,1992,,,,2007,7,1,,,小説 花丸,,,,,,
竹書房,1996,3,26,,1997,1,16,,,小説 REIJIN,,,,,,
一水社,1998,1,25,,1998,6,25,,,小説 少年天使,,,,,,
心交社,1996,6,5,,2011,3,,,,小説 ショコラ,,,,,,
新書館,1998,9,10,,now,,,,,小説 Dear+,,,,,,
二見書房,1994,3,1,,2007,11,1,,,Charade,,,,,,
徳間書店,1997,7,1,,,,,,,小説 Chara,,,,,,
徳間書店,2000,1,1,,now,,,,,小説 Chara,,,,,,
角川書店,2006,11,1,,2007,7,1,,,小説 The Ruby,,,,,,
ハイランド,1997,6,10,,2004,11,4,,,小説 LAQiA,,,,,,
ハイランド,2002,12,4,,2004,6,7,,,小説 LAQiA Super Exta,,,,,,
青磁ビブロス→ビブロス,1997,5,24,,2006,3,1,,,小説 BEaST,倒産により廃刊,,,,,
青磁ビブロス→ビブロス,1992,12,25,,2006,3,1,,,小説 b-boy,倒産により廃刊,,,,,
リブレ出版,2006,7,,,now,,,,,小説 b-boy,,,,,,
,1997,4,10,,1997,8,10,,,小説 キサラ,所蔵無し,,,,,
ビデオ出版,,,,,,,,,,小説AMUKA,,,,,,
