Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
FullStar,2019,9,24,,,,,,,1.0.0,,,,,,
LAB-MEM,2019,7,12,,,,,,,1.0.0,,,,,,
LAB-MEM,2019,8,1,,,,,,,1.0.1,,,,,,
LAB-MEM,2019,9,13,,,,,,,1.1.0,,,,,,
LAB-MEM,2019,10,28,,,,,,,1.1.1,,,,,,
LAB-MEM,2019,11,25,,,,,,,1.1.2,,,,,,
LAB-MEM,2019,12,23,,,,,,,1.1.3,,,,,,
LAB-MEM,2020,1,27,,,,,,,1.2.1,,,,,,
LAB-MEM,2020,2,25,,,,,,,1.2.2,,,,,,
LAB-MEM,2020,3,23,,,,,,,1.3.0,,,,,,
Closta,2019,6,28,,,,,,,1.1.0,,,,,,
Closta,2019,8,5,,,,,,,1.1.1,,,,,,
Closta,2019,9,10,,,,,,,1.1.2,,,,,,
Closta,2020,3,9,,,,,,,1.1.3,,,,,,
LESSAR,2019,4,10,,,,,,,1.3.0,,,,,,
LESSAR,2019,5,28,,,,,,,1.3.1,,,,,,
LESSAR,2019,6,10,,,,,,,1.3.2,,,,,,
LESSAR,2019,6,25,,,,,,,1.3.3,,,,,,
LESSAR,2019,7,9,,,,,,,1.3.4,,,,,,
LESSAR,2019,8,13,,,,,,,1.4.0,,,,,,
LESSAR,2019,8,26,,,,,,,1.4.1,,,,,,
LESSAR,2019,9,2,,,,,,,1.4.2,,,,,,
LESSAR,2019,9,17,,,,,,,1.4.3,,,,,,
LESSAR,2019,9,30,,,,,,,1.4.4,,,,,,
LESSAR,2019,10,15,,,,,,,1.4.5,,,,,,
LESSAR,2019,10,28,,,,,,,1.4.6,,,,,,
LESSAR,2019,11,18,,,,,,,1.4.7,,,,,,
LESSAR,2019,12,2,,,,,,,1.4.8,,,,,,
LESSAR,2019,12,23,,,,,,,1.4.9,,,,,,
LESSAR,2020,1,6,,,,,,,2.0.0,,,,,,
LESSAR,2020,1,27,,,,,,,2.1.0,,,,,,
LESSAR,2020,2,3,,,,,,,2.1.1,,,,,,
LESSAR,2020,2,12,,,,,,,2.2.0,,,,,,
LESSAR,2020,3,2,,,,,,,2.3.0,,,,,,
LESSAR,2020,3,9,,,,,,,2.3.1,,,,,,
LESSAR,2020,3,30,,,,,,,2.4.0,,,,,,
