Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
時代,-3000,,,,200,,,,,エジプト,文明の発生期,,,,,
時代,-600,,,,100,,,,,ギリシア,文明の発展期,,,,,
時代,-200,,,,300,,,,,ローマ,文明の成熟期,,,,,
時代,300,,,,500,,,,,初期キリスト教,文明の混乱期,,,,,
時代,500,,,,1000,,,,,ビザンチン,文明の混乱期,,,,,
時代,1000,,,,1200,,,,,ロマネスク,文明の混乱期　西洋の暗黒時代,,,,,
時代,1100,,,,1500,,,,,ゴシック,キリスト教文化の拡張期,,,,,
時代,1400,,,,1500,,,,,ルネサンス,キリスト教文化の拡張期Ⅱ,,,,,
時代,1500,,,,1600,,,,,マニエリスム,キリスト教文化の反抗期,,,,,
時代,1600,,,,1800,,,,,バロック,キリスト教文化の再生期,,,,,
