Group,Title,Year,Month,Day,End Year,End Month,End Day,Display Date,Detail,URL,Image URL,Image Credit,Type,Color
自伝/随筆/対談,『文芸の主義（文芸断片）』森鴎外,1911,4,,,,,,,http://www.aozora.gr.jp/cards/000129/files/2396_7058.html,,,,
自伝/随筆/対談,『芸術起業論』村上 隆,2006,6,,,,,,"出版社: 幻冬舎 (2006/06)／
発売日： 2006/06",,,,,
自伝/随筆/対談,『カリコリせんとや生まれけむ』会田 誠,2010,2,25,,,,,"出版社: 幻冬舎 (2010/2/25)／
発売日： 2010/2/25",,,,,
自伝/随筆/対談,"『偶言』津田 左右吉 
 ",1914,4,,,,,,"底本：「津田左右吉歴史論集」岩波文庫、岩波書店,2006（平成18）年8月17日第1刷
底本の親本：「みづゑ　一一〇」1914（大正3）年4月,「みづゑ　一一五」1914（大正3）年9月,「みづゑ　一二四」1915（大正4）年6月／初出：「みづゑ　一一〇」1914（大正3）年4月,「みづゑ　一一五」1914（大正3）年9月,「みづゑ　一二四」1915（大正4）年6月",http://www.aozora.gr.jp/cards/001535/files/53727_47828.html,,,,
自伝/随筆/対談,『A Brief History of Curating 』Hans Ulrich Obrist,2008,10,1,,,,,"Publisher: JRP|Ringier (October 1, 2008)",,"https://images-na.ssl-images-amazon.com/images/I/41WvLqruxLL._SX357_BO1,204,203,200_.jpg",,,
自伝/随筆/対談,"『芸術と国民性』 津田 左右吉 
",1915,8,,,, ,,"底本：「津田左右吉歴史論集」岩波文庫、岩波書店 2006（平成18）年8月17日第1刷発行
／底本の親本：「みづゑ　一二六」1915（大正4）年8月／初出：「みづゑ　一二六」
1915（大正4）年8月／※初出時の署名は、津田黄昏",http://www.aozora.gr.jp/cards/001535/files/53728_46417.html,,,,
自伝/随筆/対談,『日本美』折口信夫,1967,3,,,,,,"底本の親本：折口信夫全集　第十七巻
出版社：中央公論社
初版発行日：1967（昭和42）年3月
",http://www.aozora.gr.jp/cards/000933/files/5012_14231.html,,,,
自伝/随筆/対談,『美的生活を論ず』高山 樗牛 ,1967,11,29,,,,,"底本：日本現代文學全集８　齋藤緑雨・石橋忍月・高山樗牛・内田魯庵集
出版社：講談社
初版発行日：1967（昭和42）年11月19日",http://www.aozora.gr.jp/cards/000271/files/4603_7318.html,,,,
 用語/解説,『近代美術史テキスト』中ザワヒデキ,1989,10,15,,,,,"出版：トムズボックス
1989年10月15日発行",,,,,
 用語/解説,『現代美術のキーワード100』暮沢 剛巳,2009,4,,,,,,出版社: 筑摩書房 (2009/04)／発売日： 2009/04,,,,,
 用語/解説,『The culture consumers: A study of art and affluence in America（文化の消費者）』Alvin Toffler,1973,3,28,,,,,Published March 28th 1973 by Random House (NY) ,,,,,
 用語/解説,『Why Are Artists Poor?: The Exceptional Economy of the Arts 1st Edition（金と芸術）』Hans Abbing,2004,3,17,,,,,"Publisher: Amsterdam University Press; 1 edition (March 17, 2004)",,"https://images-na.ssl-images-amazon.com/images/I/41vzEfOy4xL._SX331_BO1,204,203,200_.jpg",,,
