Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
水呼一門,1891,,,,1894,,,,,神永日和,,,,,,
轉生柱,1909,,,,1914,,,,,水柱・神永日和,,,,,,
水呼一門,1890,,,,1894,,,,,真菰,,,,,,
水呼一門,1895,,,,1907,,,,,錆兎、義勇,,,,,,
水呼一門,1912,,,,1914,,,,,竈門炭治郎,,,,,,
水呼一門,1894,,,,1909,,,,,鬼殺隊・神永日和,,,,,,
轉生柱,1908,,,,1914,,,,,炎柱・一之瀨朱音,,,,,,
轉生柱,1910,,,,1914,,,,,冰柱・冰室淺蔥,,,,,,
轉生柱,1912,,,,1914,,,,,雪柱・紬己,,,,,,
轉生柱,1911,,,,1914,,,,,夢柱・,,,,,,
轉生柱,1904,,,,1914,,,,,木柱・,,,,,,
轉生柱,1900,,,,1914,,,,,時柱・,,,,,,
轉生柱,1901,,,,1914,,,,,無柱・,,,,,,
