Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
建築,1508,,,,1580,,,,,アンドレーア・パッラーディオ,Andrea Palladio,https://ja.wikipedia.org/wiki/アンドレーア・パッラーディオ,,,,
建築,1444,,,,1514,,,,,ドナト・ブラマンテ,Donato Bramante,https://ja.wikipedia.org/wiki/ドナト・ブラマンテ,,,,
建築,1852,,,,1920,,,,,ジョサイア・コンドル,Josiah Conder,https://ja.wikipedia.org/wiki/ジョサイア・コンドル,,,,
建築,1880,,,,1938,,,,,ブルーノ・タウト,Bruno Julius Florian Taut,https://ja.wikipedia.org/wiki/ブルーノ・タウト,,,,
建築,1475,,,,1554,,,,,セバスティアーノ・セルリオ,Sebastiano Serlio,https://ja.wikipedia.org/wiki/セバスティアーノ・セルリオ,,,,
建築,1599,,,,1667,,,,,フランチェスコ・ボッロミーニ,Francesco Borromini,https://ja.wikipedia.org/wiki/フランチェスコ・ボッロミーニ,,,,
建築,1781,,,,1841,,,,,カール・フリードリッヒ・シンケル,Karl Friedrich Schinkel,https://ja.wikipedia.org/wiki/カルル・フリードリッヒ・シンケル,,,,
建築,1713,,,,1788,,,,,ジェームズ・ステュアート,James Stuart,https://en.wikipedia.org/wiki/James_Stuart_(1713–1788),,,,
建築,1721,,,,1804,,,,,ニコラウス・レヴェット,Nicholas Revett,https://en.wikipedia.org/wiki/Nicholas_Revett,,,,
建築,1867,,,,1954,,,,,伊東忠太,,https://ja.wikipedia.org/wiki/伊東忠太,,,,
建築,1899,,,,1966,,,,,岸田日出刀,,https://ja.wikipedia.org/wiki/岸田日出刀,,,,
建築,1854,,,,1919,,,,,辰野金吾,,https://ja.wikipedia.org/wiki/辰野金吾,,,,
建築,1895,,,,1984,,,,,堀口捨己,,https://ja.wikipedia.org/wiki/堀口捨己,,,,
建築,1894,,,,1974,,,,,吉田五十八,,https://ja.wikipedia.org/wiki/吉田五十八,,,,
建築,1891,,,,1984,,,,,村野藤吾,,https://ja.wikipedia.org/wiki/村野藤吾,,,,
建築,1894,,,,1963,,,,,石本喜久治,,https://ja.wikipedia.org/wiki/石本喜久治,,,,
建築,1913,,,,2005,,,,,丹下健三,,https://ja.wikipedia.org/wiki/丹下健三,,,,
建築,1905,,,,1986,,,,,前川國男,,https://ja.wikipedia.org/wiki/前川國男,,,,
建築,1901,,,,1969,,,,,坂倉準三,,https://ja.wikipedia.org/wiki/坂倉準三,,,,
建築,1887,,,,1965,,,,,ル・コルビュジエ,Le Corbusier,https://ja.wikipedia.org/wiki/ル・コルビュジエ,,,,
建築,1886,,,,1969,,,,,ミース・ファン・デル・ローエ,Mies van der Rohe,https://ja.wikipedia.org/wiki/ルートヴィヒ・ミース・ファン・デル・ローエ,,,,
建築,1867,,,,1959,,,,,フランク・ロイド・ライト,Frank Lloyd Wright,https://ja.wikipedia.org/wiki/フランク・ロイド・ライト,,,,
建築,1883,,,,1969,,,,,ヴァルター・グロピウス,Walter Gropius,https://ja.wikipedia.org/wiki/ヴァルター・グロピウス,,,,
建築,1868,,,,1940,,,,,ペーター・ベーレンス,Peter Behrens,https://ja.wikipedia.org/wiki/ペーター・ベーレンス,,,,
建築,1377,,,,1446,,,,,フィリッポ・ブルネレスキ,Filippo Brunelleschi,https://ja.wikipedia.org/wiki/フィリッポ・ブルネレスキ,,,,
建築,1812,,,,1852,,,,,オーガスタス・W・N・ピュージン,Augustus Welby Northmore Pugin,https://ja.wikipedia.org/wiki/オーガスタス・ウェルビー・ノースモア・ピュージン,,,,
建築,1814,,,,1879,,,,,ヴィオレ・ル・デュク,Viollet-le-Duc,https://ja.wikipedia.org/wiki/ウジェーヌ・エマニュエル・ヴィオレ・ル・デュク,,,,
建築,1852,,,,1926,,,,,アントニ・ガウディ,Antoni Gaudi,https://ja.wikipedia.org/wiki/アントニ・ガウディ,,,,
建築,1879,,,,1949,,,,,ジュゼップ・マリア・ジュジョール,Josep Maria Jujol,https://ja.wikipedia.org/wiki/ジュゼップ・マリア・ジュジョール,,,,
建築,1867,,,,1956,,,,,ジュゼップ・プッチ・イ・カダファルク,Josep Puig i Cadafalch,https://ja.wikipedia.org/wiki/ジュゼップ・プッチ・イ・カダファルク,,,,
建築,1850,,,,1923,,,,,リュイス・ドメネク・イ・ムンタネー,Lluis Domenech i Montaner,https://ja.wikipedia.org/wiki/リュイス・ドメネク・イ・ムンタネー,,,,
建築,1831,,,,1915,,,,,フィリップ・ウェッブ,Philip Webb,https://ja.wikipedia.org/wiki/フィリップ・ウェッブ,,,,
建築,1868,,,,1928,,,,,チャールズ・レニー・マッキントッシュ,Charles Rennie Mackintosh,https://ja.wikipedia.org/wiki/チャールズ・レニー・マッキントッシュ,,,,
建築,1905,,,,1981,,,,,アルベルト・シュペーア,Albert Speer,https://ja.wikipedia.org/wiki/アルベルト・シュペーア,,,,
建築,1950,,,,2016,,,,,ザハ・ハディド,Zaha Hadid,https://ja.wikipedia.org/wiki/ザハ・ハディッド,,,,
