Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
出来事,2012,8,24,,now,,,,,戦国パズル!!あにまる大合戦,,,,,,
出来事,2013,2,12,,2013,12,16,,,運命のパズルビースト,,,,,,
出来事,2013,7,30,,now,,,,,SHOW BY ROCK!!,,,,,,
出来事,2011,9,1,,now,,,,,神撃のバハムート,,,,,,
出来事,2014,1,27,,now,,,,,フルボッコヒーローズ,,,,,,
出来事,2014,3,25,,2014,11,10,,,リトルテイルストーリー,,,,,,
出来事,2014,9,9,,2016,4,11,,,クロスサモナー,,,,,,
出来事,2014,7,24,,now,,,,,白猫プロジェクト,,,,,,
出来事,2014,6,12,,now,,,,,幻獣物語2,,,,,,
出来事,2014,8,21,,now,,,,,仔竜の風詩,,,,,,
出来事,2015,7,8,,now,,,,,クラッシュフィーバー,,,,,,
出来事,2016,2,10,,2016,7,14,,,I -アイ-,,,,,,
出来事,2016,2,24,,2017,9,27,,,ブレスオブファイア6,,,,,,
出来事,2016,6,9,,2017,9,29,,,ワンダークラウン,,,,,,
出来事,2016,6,17,,now,,,,,shadowverse(シャドウバーツ),,,,,,
出来事,2016,8,24,,2018,3,28,,,ブレイジングオデッセイ,,,,,,
出来事,2016,11,29,,2018,3,31,,,キャットバスターズ,,,,,,
出来事,2016,12,2,,now,,,,,東京放課後サモナーズ,,,,,,
出来事,2017,5,23,,2018,2,20,,,ゼロから始める魔法の書,,,,,,
出来事,2017,5,26,,now,,,,,ビースト×ライト,,,,,,
出来事,2017,6,1,,2018,3,29,,,遥かなる異郷グランヴィリア,,,,,,
出来事,2017,6,22,,now,,,,,ファイトリーグ,,,,,,
出来事,2018,4,19,,now,,,,,Sdorica(スドリカ),,,,,,
出来事,2017,8,31,,now,,,,,Wonder Parade,,,,,,
