Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
学生プロレス,1994,6,1,,1998,3,31,,,脱痴猥婦自慰JAPAN,,,,,,yellow
社会人プロレス,1998,11,3,,2019,9,1,,,ハレタコーガン,,,,,,black
社会人プロレス,2019,9,2,,now,,,,,グレート・フジ,,,,,,red
作品,2013,12,1,,2013,12,1,,2013年12月1日,#098：LINKSキャッチルール興行,メインイベント 】「World of Sports」 4分5R 3本勝負 ○ハレタコーガン（2-1）ドクロ・キョウシロウ ×,https://youtu.be/Ia1bLmJpXA8,https://livedoor.blogimg.jp/griffon591/imgs/1/0/104aa5d9.jpg,,box,black
作品,2013,12,8,,2013,12,8,,2013年12月8日,#099：ワンダーワールド2 とたまたま同じ時間同じ場所で行われた興行,ハレタコーガン（両者KO）邪馬屠,,,,,
作品,2013,12,15,,2013,12,15,,2013年12月15日,#100：6号お誕生会×PANDAMANIA ,ハレタコーガンプロデュースアマチュアプロレスランブル,,,,,
作品,2013,12,22,,2013,12,22,,2013年12月22日,#100：WIN 葛飾エイトホール,"WIN世界タッグ選手権 ハードコアマッチ
（王者）ハレタコーガン＆×ケンタDX（大ラダーからのパールハーバースプラッシュ）風摩破琉＆KONG-T○（挑戦者）",,,,box,black
作品,2014,3,2,,2014,3,2,,2014年3月2日,#101：スポ戦MANIA Vol.8,"第2試合 ようこそヒンドゥーマーダーズの世界へ
○水嶋ヒロ斎藤(SWS3年)＆サド(秋葉原)＆ハレタコーガン(健康)
[12:58 ダブルアームスープレックス]
×お尻TAJIRI蟲(SWS1年)＆フェラナンテ・ドーデス(UWF1年)＆馬並勃巳(NUWA1年)",,,,box,black
作品,2014,3,16,,2014,3,16,,2014年3月16日,#102：健康プロレス第22回興行,〇倉品甲子園＆ハレタコーガンvs伊藤クン・ニー＆ボッキーコングJr×,,,,box,black
作品,2014,4,6,,2014,4,6,,2014年4月6日,#103：譲ちゃん＆徹ちゃん興行 「お願いだから一発だけヤらせて」　蕨,"第3試合 このタッグがヤりたかった 45分1本勝負
○ダッチワイ藤井JAPAN(健康)＆バイソン藤井(SWS OB)
[23:34 デスバレーボム]
×エリリン高木(常陸)＆ボッキーコングJr.(UWF OB)",,,,box,black
作品,2014,5,11,,2014,5,11,,2014年5月11日,#104:LINKS関東　大袋,"第七試合【LINKSキャッチルール】4分3R
ハレタコーガン （時間切れ引き分け） 二代目マラ黒タイガー",,,,box,black
作品,2014,7,6,,2014,7,6,,2014年7月6日,#105：EWA 四番街祭り ,ハレタコーガン＆作業IN藤原vsヘンチーナ＆KONG-T,,,,box,black
作品,2014,8,25,,2014,8,25,,2014年8月25日,#106：GENTARO自主興行 新宿FACE,ハレタコーガン＆×でかい一物（エルボースマッシュ）伊藤クンニー＆○鈴木徹也37才,,,,box,black
作品,2014,8,30,,2014,8,30,,2014年8月30日,#107：ハレタコーガン20周年記念興行 蕨,"「俺達は素晴らしい！~What A AMAZING we are!~」
×ハレタコーガン（ドラゴンスプラッシュ）ちんことみつき○",,,,box,black
作品,2014,9,14,,2014,9,14,,2014年9月14日,#108：健康プロレス第23回興行　蕨,「喜びも悲しみも幾歳月」,,,,box,black
作品,2014,10,11,,2014,10,11,,2014年10月11日,#109：UWF町田大道芸祭,〇ハレタコーガン（イネズマクラッチ）フェラナンテ・ドーデス×,,,,box,black
作品,2014,12,14,,2014,12,14,,2014年12月14日,#110：スポ戦MANIA vol9　蕨,〇ハレタコーガン（足極め首固め）バイソン藤井×,,,,box,black
作品,2015,1,18,,2015,1,18,,2015年1月18日,【番外編4】WIN 葛飾エイトホール大会,ハリケーン津田＆×ミスター山田組（バンキッシュ）○鴉野ショウ＆ザ・ノーネーム＆リヴァーサル沢,,,,box,blue
作品,2015,2,22,,2015,2,22,,2015年2月22日,【番外編5】GET AID 蕨,"KONAMON GATE提供試合
梅月雅晃＆ドジ藤井＆○KONAMON KID＆ストッキング渡邉＆ストッキング森田（クリスト）DIMA＆サイバー・ピッグ＆×ジオコノミマン＆gANMo",,,,box,blue
作品,2015,3,15,,2015,3,15,,2015年3月15日,#111：健康プロレス 第24回興行　蕨,"第3試合
○マッキー＆IN金玉スダレ（反則勝ち）×倉品甲子園＆ハレタコーガン",,,,box,black
作品,2015,4,19,,2015,4,19,,2015年4月19日,【番外編6】WIN　葛飾エイトホール,"WIN世界ヘビー級選手権
王者）○ハリケーン津田vsミスター山田組vs×TATSUYAvs鴉野ショウ",,,,box,blue
作品,2015,5,17,,2015,5,17,,2015年5月17日,#112;DEWAプロ興行　登米,"健康プロレス提供試合 3軍対抗3way
×おたへるすキタヲvsハレタコーガンvs伊藤クンニー○",,,,box,black
作品,2015,7,6,,2015,7,6,,2015年7月6日,#113;EWA　四番街大会,◎ジミー・ヤンキー＆ハミチツ二郎（ムーンサルト）ハレタコーガン＆大門誠×,,,,box,black
作品,2015,7,12,,2015,7,12,,2015年7月12日,#114;LINKS 小豆沢実験リーグ　小豆沢,◎ハレタコーガン（元祖インディアンデスロック）三村マザファッカズ×,,,,box,black
作品,2015,8,22,,2015,8,22,,2015年8月22日,#115;UWF　静岡掛川大会,○ハレタコーガン＆きしだくん（シャープシューター）クスリ松村＆カンニングばれ山,https://ameblo.jp/haretakogan/entry-12065195311.html,https://stat.ameba.jp/user_images/20150824/16/haretakogan/e9/2f/j/o0640096013405340273.jpg?caw=800,,box,black
作品,2015,9,27,,2015,9,27,,2015年9月27日,#116;健康プロレス 第25回大会　蕨,"健康プロレス世界ヘビー級王座選手権挑戦者決定戦
◎ハレタコーガン（デスバレーボム）ヘンチーナ×",,https://stat.ameba.jp/user_images/20150928/15/haretakogan/a6/1a/j/o0540096013438244281.jpg?caw=800,,box,black
作品,2015,10,11,,2015,10,11,,2015年10月11日,#117;UWF町田大道芸祭,"第1部第2試合 コミックマッチ
◎ハレタコーガン（椅子引き）とにかくやりたい秋山×
他
ジ・オコノミマン
でかい一物（オータニ）
すまたまたぞう
アウトサイダー根岸",,https://stat.ameba.jp/user_images/20151011/14/haretakogan/44/58/j/o0540096013450569991.jpg?caw=800,,box,black
作品,2015,12,6,,2015,12,6,,2015年12月6日,＃118;スポ戦MANIA vol10 ；,"ークマッチ
「サイギョウの知らない世界」
○鴉野ショウ（スクールボーイ）ハレタコーガン
西行隆幸
ヘンチーナ
チェリーマン
キム・ヨッチャン
風渡辺流
吸いカップ健遅漏
RYO",https://twitter.com/search?q=%23sposen10&src=typed_query,https://pbs.twimg.com/media/CVi0BifUsAAHoQi?format=jpg&name=large,,box,black
作品,2016,3,6,,2016,3,6,,2016年3月6日,#119；LINKS　小豆沢,"キャッチルール4分2R
ハレタコーガン（時間切れ）リヴァーサル沢",https://haretakogan.amebaownd.com/posts/601809,https://cdn.amebaowndme.com/madrid-prd/madrid-web/images/sites/77545/2a1a04f97bf0e53286410eb135f71fa4_c7cc50eb7717b10aad167888389f788f.jpg?width=840,,box,black
