Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,2019,,,,,,,,,令和,,,,,,
日本の年号,1989,,,,2019,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1603,,,,1868,,,,,江戸,,,,,,
日本の年号,1573,,,,1596,,,,,安土桃山,,,,,,
日本の年号,1336,,,,1573,,,,,室町時代,,,,,,
日本の年号,1185,,,,1333,,,,,鎌倉時代,,,,,,
日本の年号,794,,,,1185,,,,,平安時代,,,,,,
日本の年号,710,,,,794,,,,,奈良時代,,,,,,
日本の年号,538,,,,710,,,,,飛鳥時代,,,,,,
社会情勢,1955,,,,1973,,,,,高度経済成長期,,,,,,
情勢,1945,,,,1973,,,,,課税移出数量の最低量からピーク,,,,,,
情勢,1920,,,,1940,,,,,飲酒人口増大期,相当に甘い、濃い味の日本酒が飲用されていた,,,,,
技術革新,1933,,,,,,,,,「竪型精米機」誕生,,,,,,
出来事,2015,12,,,,,,,,「日本酒」がGI取得,,,,,,
酒税法,1989,11,,,,,,,,「清酒の製法品質表示基準」策定,,,,,,
酒税法,1992,3,,,,,,,,「級別制度」廃止,1989年3月に「特級」廃止,,,,,
酒税法,2003,10,,,,,,,,「清酒の製法品質表示基準」一部改正,,,,,,
酒税法,2006,,,,,,,,,「増醸酒」が清酒の定義から外れる,,,,,,
米,1936,,,,,,,,,「山田錦」誕生,,,,,,
情勢,1965,,,,1975,,,,,日本酒ブーム到来,,,,,,
情勢,1982,,,,,,,,,吟醸ブーム到来,,,,,,
情勢,1996,,,,2010,,,,,冬の時代,,,,,,
情勢,2004,,,,,,,,,日本酒と単式蒸留焼酎の製造量逆転,,,,,,
出来事,1907,,,,,,,,,全国清酒品評会（第1回）,,,,,,
出来事,1927,,,,,,,,,吟醸酒という言葉が誕生,,,,,,
酵母,1995,,,,,,,,,「香り酵母」セルレニン耐性酵母の普及,,,,,,
出来事,1904,,,,,,,,,国立醸造試験所 開設（現：酒類総合研究所）,,,,,,
技術革新,1788,,,,,,,,,水車精米の記録,,,,,,
情勢,1986,,,,,,,,,「みやぎ・純米酒の県」宣言,,,,,,
米,1949,,,,,,,,,「愛山」誕生,,,,,,
米,2001,,,,,,,,,「秋田酒こまち」誕生,,,,,,
米,1933,,,,1974,,,,,「祝」誕生から消滅まで,,,,,,
米,1992,,,,,,,,,「祝」完全復活,,,,,,
米,1866,,,,,,,,,「雄町」誕生,,,,,,
米,1998,,,,,,,,,「吟風」誕生,,,,,,
米,2006,,,,,,,,,「彗星」誕生,,,,,,
米,2014,,,,,,,,,「きたしずく」誕生,,,,,,
米,2004,,,,,,,,,「越淡麗」誕生,,,,,,
米,1957,,,,,,,,,「五百万石」誕生,,,,,,
米,1995,,,,,,,,,「出羽燦々」誕生,,,,,,
米,1983,,,,,,,,,「八反錦」誕生,,,,,,
米,1962,,,,,,,,,「八反35号」誕生,,,,,,
米,1994,,,,,,,,,「ひとごとち」誕生,,,,,,
米,1978,,,,,,,,,「美山錦」誕生,,,,,,
米,2016,,,,,,,,,「山田錦」誕生80周年,,,,,,
米,1916,,,,,,,,,「滋賀渡船6号」誕生,,,,,,
兵庫県歴史,1887,,,,,,,,,村米制度,,,,,,
兵庫県歴史,1873,,,,,,,,,年貢制(物納)より地租税(金納)へ移行,,,,,,
兵庫県歴史,1884,,,,,,,,,酒米品質低下により、稲作改良組合の結成を指示,,,,,,
兵庫県歴史,1894,,,,,,,,,「兵庫県立農事試験場」設立,,,,,,
兵庫県歴史,1895,,,,,,,,,芸部で米の品種改良試験開始,,,,,,
兵庫県歴史,1908,,,,,,,,,米穀検査法が施行,,,,,,
兵庫県歴史,1912,,,,,,,,,水稲原種育成事業 開始,,,,,,
兵庫県歴史,1914,,,,,,,,,純系分離法育種法 開始,,,,,,
技術革新,1840,,,,,,,,,西宮の水で仕込みを行い「宮水」命名,,,,,,
出来事,862,,,,,,,,,「御香水」命名,,,,,,
出来事,2001,,,,,,,,,広島県東広島市「西条・山と水の環境機構」発足,,,,,,
技術革新,1910,,,,,,,,,「速醸酛」開発,,,,,,
技術革新,930,,,,1570,,,,,「菩提酛」での仕込み,,,,,,
技術革新,1768,,,,,,,,,ボーメ氏、食塩の濃度を計れることを発見,,,,,,
技術革新,1955,,,,1969,,,,,醸造アルコールの原料は、輸入した廃蜜糖が主流,,,,,,
技術革新,1970,,,,,,,,,醸造アルコールの原料は、輸入した発酵粗留アルコールが主流,,,,,,
社会情勢,1939,,,,1945,,,,,第二次世界大戦,,,,,,
社会情勢,1914,,,,1918,,,,,第一次世界大戦,,,,,,
社会情勢,1904,,,,1905,,,,,日露戦争,,,,,,
社会情勢,1894,,,,1895,,,,,日清戦争,,,,,,
技術革新,1909,,,,,,,,,「山廃酛」開発,,,,,,
技術革新,1895,,,,,,,,,清酒酵母が日本酒酛から初めて分離された,,,,,,
酵母,1906,,,,,,,,,K1「櫻正宗」より分離,,,,,,
酵母,1912,,,,,,,,,K2「月桂冠」より分離,,,,,,
酵母,1914,,,,,,,,,K3「酔心」より分離,,,,,,
酵母,1924,,,,,,,,,K4「広島の蔵元」より分離とされる,,,,,,
酵母,1925,,,,,,,,,K5「賀茂鶴」より分離,,,,,,
酵母,1935,,,,,,,,,K6「新政」より分離,,,,,,
酵母,1946,,,,,,,,,K7「真澄」より分離,,,,,,
酵母,1960,,,,,,,,,K8「K6の変異株」,,,,,,
酵母,1953,,,,,,,,,K9「香露」より分離,,,,,,
