Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
"天米 粢
",2000,11,25,,now,,,,,,,,,,background,
"天米 粱
",2004,4,,,now,,,,,,,,,,background,
"天米 粢
",2018,4,,,now,,,,,ユニット活動,,,,,range,
"佐々浪 季楽
",2000,10,13,,now,,,,,,,,,,background,
"真菜 美森
",1997,8,2,,now,,,,,,,,,,background,
"羽村 花楠
",1996,5,10,,now,,,,,,,,,,background,
"櫂 樹
",1999,3,30,,now,,,,,,,,,,background,
"佐々浪 季楽
",2018,4,,,now,,,,,ユニット活動,,,,,range,
"真菜 美森
",2018,4,,,now,,,,,ユニット活動,,,,,range,
"羽村 花楠
",2018,4,,,now,,,,,ユニット活動,,,,,range,
"櫂 樹
",2018,4,,,now,,,,,ユニット活動,,,,,range,
"天米 粢
",2005,11,,,2013,3,,,,ダンススクール,,,,,range,
"天米 粢
",2007,,,,,,,,,ダンサー活動開始,,,,,point,
"天米 粢
",2013,4,,,now,,,,,ダンス個人レッスン,,,,,range,
"天米 粱
",2008,,,,now,,,,,バイオリンレッスン,,,,,range,
"佐々浪 季楽
",2009,4,,,2013,3,,,,陸上クラブ,,,,,range,
"佐々浪 季楽
",2013,4,,,2016,3,,,,体操部,,,,,range,
"佐々浪 季楽
",2014,2,,,2016,3,,,,ダンス同好会,,,,,range,
"佐々浪 季楽
",2016,4,,,2019,3,,,,芸能系高専ダンス専攻,,,,,range,
"羽村 花楠
",2002,4,,,2009,3,,,,バレエレッスン,,,,,range,
"羽村 花楠
",2009,4,,,2015,3,,,,ダンススクール,,,,,range,
"羽村 花楠
",2007,2,,,2014,8,,,,レイプ被害,,,,,point,
"羽村 花楠
",2015,4,,,2018,3,,,,ダンス専門学校,,,,,range,
"真菜 美森
",2008,4,,,2011,8,,,,サッカー,,,,,range,
"真菜 美森
",2010,4,,,2018,3,,,,軽音楽部,,,,,range,
"真菜 美森
",2012,4,,,now,,,,,ダンススクール,,,,,range,
"真菜 美森
",2013,8,,,,,,,,花楠と出会う,,,,,point,
"羽村 花楠
",2013,8,,,,,,,,美森と出会う,,,,,point,
"真菜 美森
",2004,4,,,2010,3,,,,小学校,,,,,point,
"真菜 美森
",2010,4,,,2013,3,,,,中学校,,,,,point,
"真菜 美森
",2013,4,,,2016,3,,,,高校,,,,,point,
"真菜 美森
",2016,4,,,2019,3,,,,短大,,,,,point,
"羽村 花楠
",2003,4,,,2009,3,,,,小学校,,,,,point,
"羽村 花楠
",2009,4,,,2012,3,,,,中学校,,,,,point,
"羽村 花楠
",2012,4,,,2015,3,,,,高校,,,,,point,
"天米 粢
",2007,4,,,2013,3,,,,小学校,,,,,point,
"天米 粢
",2013,4,,,2016,3,,,,中学校,,,,,point,
"天米 粢
",2016,4,,,2019,3,,,,高校,,,,,point,
"佐々浪 季楽
",2007,4,,,2013,3,,,,小学校,,,,,point,
"佐々浪 季楽
",2013,4,,,2016,3,,,,中学校,,,,,point,
"佐々浪 季楽
",2017,5,,,now,,,,,美森とユニット,,,,,range,
"真菜 美森
",2017,5,,,now,,,,,季楽とユニット,,,,,range,
"天米 粱
",2011,4,,,2017,3,,,,小学校,,,,,point,
"天米 粱
",2017,4,,,2020,3,,,,中学校,,,,,point,
"櫂 樹
",2009,4,,,2015,10,,,,バスケクラブ,,,,,range,
"櫂 樹
",2015,11,,,2017,3,,,,ダンス部,,,,,range,
"櫂 樹
",2017,4,,,2020,3,,,,ダンス専門学校,,,,,range,
"櫂 樹
",2005,4,,,2011,3,,,,小学校,,,,,point,
"櫂 樹
",2011,4,,,2014,3,,,,中学校,,,,,point,
"櫂 樹
",2014,4,,,2017,3,,,,高校,,,,,point,
"真菜 美森
",2016,4,,,,,,,,花楠と同居,,,,,point,
"羽村 花楠
",2016,4,,,,,,,,美森と同居,,,,,point,
"真菜 美森
",2014,12,,,,,,,,花楠と付き合う,,,,,point,
"羽村 花楠
",2014,12,,,,,,,,美森と付き合う,,,,,point,
"佐々浪 季楽
",2016,5,,,,,,,,OGと付き合い出す,,,,,point,
"佐々浪 季楽
",2017,4,,,,,,,,彼女と死別,,,,,point,
"櫂 樹
",2009,2,,,,,,,,両親が離婚,,,,,point,
"櫂 樹
",2011,3,,,,,,,,父親が再婚,,,,,point,
"佐々浪 季楽
",2017,3,,,,,,,,スカウト,,,,,point,
