Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
世の中の動向,1926,,,,1988,,,,,昭和,,,,,,
世の中の動向,2019,5,,,now,,,,,令和,,,,,,
世の中の動向,2015,,,,,,,,,団塊の世代が65歳以上の高齢者となる,,,,,,
世の中の動向,1973,,,,1974,,,,,第1次石油危機,社会保障制度や社会福祉制度の見直しや再編,,,,,
世の中の動向,1978,,,,1979,,,,,第2次石油危機,,,,,,
世の中の動向,1955,,,,1973,,,,,高度経済成長,,,,,,
世の中の動向,1956,,,,,,,,,経済白書「もはや戦後ではない」,,,,,,
世の中の動向,1989,,,,2019,4,,,,平成,,,,,,
保険医療,1948,,,,,,,,,医療法　制定,,,,,,
保険医療,1948,,,,,,,,,医師法　施行,,,,,,
保険医療,1948,,,,,,,,,保健婦助産婦看護婦法（現、保健師助産師看護師法）,,,,,,
保険医療,1948,,,,,,,,,予防接種法,予防接種の徹底化,,,,,
保険医療,1952,,,,,,,,,栄養改善法（現、健康増進法）,栄養調査、栄養指導、害虫駆除,,,,,
保険医療,1958,,,,,,,,,国民健康保険法制定,医療保険制度の国民皆保険化,,,,,
保険医療,1959,,,,,,,,,国民年金法制定,「国民皆年金・皆保険制度」が確立,,,,,
保険医療,1961,,,,,,,,,国民健康保険法・国民年金法 施行,社会保障制度の基本体制の確立,,,,,
保険医療,1965,,,,,,,,,母子保健法,母子に対する健康診査や健康指導の推進。乳児死亡率の改善。,,,,,
保険医療,1985,,,,,,,,,医療法の改正,第一次医療法改正。都道府県ごとに地域医療計画の策定。病床数の適正化。,,,,,
保険医療,1990,,,,,,,,,地域医療計画の改正,,,,,,
保険医療,1992,,,,,,,,,第2次医療法改正,,,,,,
保険医療,1994,,,,,,,,,地域保健法,市町村における保健福祉サービス提供のシステムづくり,,,,,
保険医療,1997,,,,,,,,,第3次医療法改正,,,,,,
保険医療,2001,,,,,,,,,第4次医療法改正,「その他の病床」を「療養病床」と「一般病床」に区分。療養病床は「医療療養病床」と「介護療養病床」からなる。,,,,,
保険医療,2006,,,,,,,,,第5次医療法改正,介護療養病床を平成23年までに廃止することを決定（後に平成29年まで延期）,,,,,
保険医療,2008,,,,,,,,,高額療養費制度、65〜74歳の医療費に係る財政調整制度,,,,,,
保険医療,2014,,,,,,,,,第6次医療法改正,医療機関が担う医療機能の現状と方向性を病棟単位で毎年都道府県に報告する,,,,,
保険医療,2015,,,,,,,,,都道府県が「地域医療構想」の策定を開始,2025年に向けて、医療機能（高度急性期、急性期、回復期、慢性期）ごとに医療需要と病床の必要量を推計,,,,,
保険医療,2015,,,,,,,,,国民健康保険法改正,,,,,,
保険医療,2017,,,,,,,,,第8次医療法改正,介護療養病床の経過措置期間が２０２４年度末まで延長。検体検査の精度の確保、特定機能病院におけるガバナンス体制の強化、医療に関する広告規制の見直しなど。,,,,,
保険医療,1922,,,,1961,,,,,制度の発足,,,,,,
保険医療,1922,,,,,,,,,健康保険法 制定,,,,,,
保険医療,1927,,,,,,,,,健康保険法 施行,,,,,,
保険医療,1938,,,,,,,,,旧国民健康保険法 制定・施行,,,,,,
保険医療,1961,,,,1980,,,,,制度の発展,,,,,,
保険医療,1980,,,,now,,,,,制度の見直し,,,,,,
保険医療,1983,,,,,,,,,「医療亡国論」吉村仁,,,,,,
保険医療,2005,,,,,,,,,医療制度改革大綱,①安全信頼の医療の確保と予防の重視②医療費適正化の総合的な推進③超高齢化社会を展望した新たな医療制度体系の実現,,,,,
