Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
Architect,1878,8,9,,1976,10,31,,,Eileen Gray,,,,,box,
Architect,1950,10,31,,2016,3,31,,,Zaha Hadid,,,,,box,
Architect,1941,12,1,,now,,,,,長谷川逸子,,,,,box,
Architect,1956,10,29,,now,,,,,Kazuyo Sejima, ,,,,box,
Architect,1894,1,25,,1949,1,13,,,Aino Aalto,,,,,box,
Architect,1914,12,5,,1992,3,20,,,Lina Bo Bardi,,,,,box,
Architect,1907,12,15,,2012,12,5,,,Oscar Ribeiro de Almeida Niemeyer Soares Filho,,,,,box,
Architect,1475,3,6,,1564,2,18,,,Michelangelo Buonarroti,,,,,box,
Architect,1444,,,,1514,3,11,,,Donato Bramante,,,,,box,
Architect,1598,12,7,,1680,11,28,,,Gian Lorenzo Bernini,,,,,box,
Architect,1599,9,25,,1667,8,3,,,Francesco Borromini,,,,,box,
Donato Bramante,1485,,,,1497,,,,,Chiesa di Santa Maria delle Grazie,,,,,box,
Donato Bramante,1502,,,,1510,,,,,Tempietto,,,,,box,
Donato Bramante,1503,,,,,,,,,Basilica di San Pietro in Vaticano,,,,,box,
Michelangelo Buonarroti,1498,,,,1499,,,,,Pietà(23years old),,,https://i0.wp.com/tabinosikata.com/wp-content/uploads/2017/09/0591.jpg?fit=728%2C570&ssl=1,,,
Michelangelo Buonarroti,1523,,,,1552,,,,, Laurentian Library(29years old),,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Biblioteca_medicea_laurenziana_interno_01.JPG/240px-Biblioteca_medicea_laurenziana_interno_01.JPG,,box,
Michelangelo Buonarroti,1534,,,,,,,,,Palazzo Farnese(59years old),,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Palais_Farnese.jpg/600px-Palais_Farnese.jpg,,,
Michelangelo Buonarroti,1536,,,,1655,,,,,Campidoglio Hill(61years old),,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Campidoglio_Roma.jpg/240px-Campidoglio_Roma.jpg,,box,
Michelangelo Buonarroti,1546,,,,1564,,,,,St Peter's Basilica(71years old),,,,,box,
Gian Lorenzo Bernini,1656,,,,1667,,,,,Plaza San Pietro(58years old),,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/St_Peter%27s_Square%2C_Vatican_City_-_April_2007.jpg/500px-St_Peter%27s_Square%2C_Vatican_City_-_April_2007.jpg,,box,
Gian Lorenzo Bernini,1628,,,,1638,,,,,Palazzo Barberini(30years old),,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/PalaisBarberini-Facade_avant_du_palais.JPG/600px-PalaisBarberini-Facade_avant_du_palais.JPG,,box,
Gian Lorenzo Bernini,1663,,,,1666,,,,,Scala Regia(65years old),,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Scala_Regia.jpg/1024px-Scala_Regia.jpg,,box,
Francesco Borromini,1637,,,,1643,,,,,Oratory of Saint Phillip Neri(38years old),,,,,box,
Francesco Borromini,1638,,,,1646,,,,,San Carlo alle Quattro Fontane(39years old),,,https://previews.123rf.com/images/afederico/afederico1509/afederico150900003/44536486-4-つの教会セント-チャールズのドームの噴水サン-カルロ-・-アッレ-・-クワトロ-・-フォンターネ、ローマ、イタリア%E3%80%82.jpg,,box,
Francesco Borromini,1642,,,,1650,,,,,Sant'Ivo alla Sapienza(43years old),,,,,box,
Francesco Borromini,1653,,,,1655,,,,,Sant'Agnese in Agone(54years old),,,https://media-cdn.tripadvisor.com/media/photo-s/13/98/2e/26/psx-20180701-185558-largejpg.jpg,,box,
Eileen Gray,1926,,,,,,,,,E-1027(48years old),,,https://casabrutus.com/wp-content/uploads/2016/08/0807eileengray_e1027_6661.jpg,,box,
Eileen Gray,1926,,,,,,,,,Side Table<E-1027>(48years old),,,https://imgcp.aacdn.jp/img-a/800/auto/aa/gm/article/4/7/0/4/3/1/201708102130/seelen-bibendum-tube-light-e1027.jpg,,box,
Eileen Gray,1934,,,,,,,,,Tempe a Pailla(Time and Hay)(56years old),,,,,box,
Aino Aalto,1926,,,,,,,,,Villa a Flora(32years old),,,,,box,
Aino Aalto,1932,,,,,,,,,Bolgeblick Series(38years old),,,https://st.hzcdn.com/simgs/c76130be07e78dd2_8-2929/home-design.jpg,,box,
Aino Aalto,1932,,,,,,,,,Paimio chair(38years old),,,https://www.scandinavia-design.fr/Studioilse_VitraArtek_VitraHaus_2015_Paimio_window_20-_20copie.jpg?v=7zbq181vphrmaz8m,,box,
Oscar Niemeyer,1953,,,,,,,,,House in Canoas(46years old),,,https://casabrutus.com/wp-content/uploads/2016/07/0714OscarNiemeyer2_666.jpg,,box,
Oscar Niemeyer,1954,,,,,,,,,Ibirapuera Park,,,,,box,
Oscar Niemeyer,1970,,,,,,,,,Cathedral of Brasilia,,,https://numero.jp/wp-content/uploads/2015/07/Untitled-1-26.jpg,,box,
Oscar Niemeyer,1996,,,,,,,,,Contemporary Art Museum Niteroi,,,https://itoshima-guesthouse.com/wp-content/uploads/2015/04/Rio-de-Janeiro-11.jpg,,box,
Oscar Niemeyer,2002,,,,,,,,,Oscar Niemeyer Museum,,,https://al-media-manager.s3.ap-northeast-1.amazonaws.com/uploads/Cy7Lqdni3qN8oiVPDH0JntdpNKyGoHbImhmbXsQH.jpeg,,box,
Lina Bo Bardi,1951,,,,,,,,,Glass House(37years old),,,,,box,
Lina Bo Bardi,1968,,,,,,,,,Sao Paulo Museum of Art (MASP)(54years old),,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/MASP_at_Paulista_Av_in_São_Paulo.jpg/440px-MASP_at_Paulista_Av_in_São_Paulo.jpg,,box,
Lina Bo Bardi,1982,,,,,,,,,SESC Pompeia(68years old),,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Lina_Bo_Bardi%2C_SESC_Pompéia_%285320956259%29.jpg/440px-Lina_Bo_Bardi%2C_SESC_Pompéia_%285320956259%29.jpg,,box,
Lina Bo Bardi,1984,,,,,,,,,Theatro Oficina(70years old),,,,,box,
Itsuko Hasegawa,1989,,,,,,,,,Culutural Centre in Shonan-dai(48years old),,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Shonandai_bunka_center.JPG/300px-Shonandai_bunka_center.JPG,,box,
