Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,2013,7,,,2014,9,,,,ローゼンメイデン,,,,,,
,2014,9,,,2015,9,,,,ハイキュー！,,,,,,
,2015,10,,,2016,3,,,,おそ松さん,,,,,,
,2015,12,,,2016,3,,,,ぷよぷよ,,,,,,
,2016,3,,,2016,9,,,,文豪ストレイドッグス,,,,,,
,2016,9,,,2017,1,,,,ポケモン,,,,,,
,2016,9,,,2017,3,,,,あんさんぶるスターズ！,,,,,,
,2017,4,,,2017,6,,,,這いよれ！ニャル子さん,,,,,,
,2017,9,,,2018,1,,,,物語シリーズ,,,,,,
,2018,4,,,2018,7,,,,おっさんずラブ,,,,,,
,2018,3,,,now,,,,,Vtuber,,,,,,
,2018,8,,,2018,10,,,,輪るピングドラム,,,,,,
,2015,10,,,2016,5,,,,ヘタリア,,,,,,
,2018,9,,,2019,8,,,,Fate,,,,,,
,2019,6,,,now,,,,,ヒプノシスマイク,,,,,,
