Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
有償資金協力,2018,,,,,,,,,コロンボ都市交通システム整備計画（第一期）,,,,,,
有償資金協力,2017,,,,,,,,,保険医療サービス改善計画,,,,,,
有償資金協力,2017,,,,,,,,,復興地域における地方インフラ開発計画,,,,,,
有償資金協力,2017,,,,,,,,,カル河上水道拡張計画（第一期）,,,,,,
有償資金協力,2016,,,,,,,,,開発政策借款（民間セクター振興、ガバナンス工場および財政健全化）,,,,,,
有償資金協力,2016,,,,,,,,,アヌラダプラ県北部上水道整備計画（フェーズ2）,,,,,,
有償資金協力,2015,,,,,,,,,バンラダナイケ国際空港改善計画（フェーズ2）（第二期）,,,,,,
有償資金協力,2015,,,,,,,,,全国送配電網・効率化計画,,,,,,
有償資金協力,2014,,,,,,,,,地上テレビ放送デジタル化計画,,,,,,
有償資金協力,2013,,,,,,,,,ケラニ河新橋建設計画,,,,,,
有償資金協力,2012,,,,,,,,,大コロンボ圏送配電損失率改善計画,,,,,,
有償資金協力,2012,,,,,,,,,国道主要橋梁建設計画,,,,,,
有償資金協力,2012,,,,,,,,,国道土砂災害対策計画,,,,,,
有償資金協力,2012,,,,,,,,,アヌラダプラ県北部上水道整備計画（フェーズ1）,,,,,,
有償資金協力,2011,,,,,,,,,バンダラナイケ国際空港改善計画（フェーズ2）,,,,,,
有償資金協力,2011,,,,,,,,,地方基礎社会サービス改善計画,,,,,,
有償資金協力,2011,,,,,,,,,ハバラナ・ヴェヤンゴタ送電線建設計画,,,,,,
有償資金協力,2011,,,,,,,,,緊急災害復旧支援計画,,,,,,
有償資金協力,2010,,,,,,,,,大コロンボ圏都市交通整備計画（フェーズ2）（第二期）,,,,,,
有償資金協力,2010,,,,,,,,,ウアニア・キリノッチ送電修復計画（第二期）,,,,,,
有償資金協力,2009,,,,,,,,,地方道路開発計画,,,,,,
有償資金協力,2009,,,,,,,,,東部州給水開発計画,,,,,,
有償資金協力,2009,,,,,,,,,キャンディ市下水道整備計画,,,,,,
有償資金協力,2009,,,,,,,,,アッパーコトマレ水力発電所建設計画,,,,,,
有償資金協力,2008,,,,,,,,,大コロンボ圏都市交通整備計画（フェーズ2）（第1期）,,,,,,
有償資金協力,2008,,,,,,,,,南部ハイウェイ建設計画（第二期）,,,,,,
