Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
event,1953,,,,,,,,,Catherine born in scotland.,,,,,point,
event,1954,,,,,,,,,Ushida born in Tokyo.,,,,,point,
event,1976,,,,,,,,,Ushida graduate from the university of Tokyo.,,,,,point,
event,1976,,,,1983,,,,,Catherine study in AA school.,,,,,point,
event,1982,,,,,,,,,catherine work in Isozaki atelier.,,,,,point,
event,1976,,,,1983,,,,,Ushida work in Isozaki Arata atelier. ,,,,,point,
event,1984,,,,1986,,,,,Ushida work in Richard Rogers.,,,,,point,
event,1986,,,,,,,,,Establish Ushida Findlay Architects,,,,,point,
event,2004,,,,,,,,,Breake up the association,,,,,point,
works,1989,,,,,,,,,ECHO CHAMBER,,,,,box,
works,1993,,,,,,,,,CHIAROSCURO,,,,,box,
works,1993,,,,,,,,,TRUSS WALL HOUSE,,,https://dnamag.mx/wp-content/uploads/2017/01/JAU_Experimental-Houses-in-Japan-Classics09.jpg,,box,
works,1993,,,,,,,,,SOFT AND HAIRY HOUSE,,,https://dnamag.mx/wp-content/uploads/2017/01/soft-and-hairy-ushida-findlay41.jpg,,box,
works,1994,,,,,,,,,懐山居,,,,,box,
works,1995,,,,,,,,,HOUSING PROTOTYPE,,,,,box,
works,1997,,,,,,,,,POLYPHONY,(意味のメカニズム),,,,box,
works,1998,,,,,,,,,ビリヤードハウス,,,,,box,
works,1999,,,,,,,,,水前寺江津湖公園管理棟,,,,,box,
works,2001,,,,,,,,,LIGHT CAVE,,,,,box,
works,2001,,,,,,,,,プールハウス,,,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2014/1/15/1389806253458/Findlay-Poolhouse-2-011.jpg?width=620&quality=45&auto=format&fit=max&dpr=2&s=8482f0a207c6e07ba197c32685eba34a,,box,
book,1996,,,,,,,,,PARALLEL LANDSCAPES,,,,,,
