Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
時事,1945,,,,,,,,,第二次世界大戦 終戦,,,,,point,
時事,1947,,,,,,,,,第１次ベビーブーム,,,,,point,
時事,1953,,,,,,,,,NHKテレビ放送開始,,,,,,
時事,1956,,,,,,,,,「もはや戦後ではない」,,,,,,
時事,1959,,,,,,,,,消費レジャーブーム,,,,,,
時事,1963,,,,,,,,,第１次マンションブーム,,,,,,
時事,1964,,,,,,,,,東京オリンピック,,,,,,
時事,1968,,,,,,,,,第２次マンションブーム,,,,,,
時事,1971,,,,,,,,,第２次ベビーブーム,,,,,,
時事,1972,,,,,,,,,日本列島改造計画,,,,,,
時事,1973,,,,,,,,,第１次オイルショック,,,,,,
時事,1978,,,,,,,,,第２次オイルショック,,,,,,
時事,1983,,,,,,,,,任天堂ファミリーコンピュータ発売,,,,,,
時事,1987,,,,,,,,,NTTが携帯電話サービス開始,,,,,,
時事,1989,,,,,,,,,消費税スタート,,,,,,
時事,1990,,,,,,,,,バブル崩壊,,,,,,
時事,1991,,,,,,,,,ソ連崩壊,,,,,,
時事,1995,,,,,,,,,阪神淡路大震災,,,,,,
時事,1995,,,,,,,,,windows95発売,,,,,,
時事,1995,,,,,,,,,地下鉄サリン事件,,,,,,
時事,2001,,,,,,,,,同時多発テロ,,,,,,
時事,2001,,,,,,,,,池田小学校事件,,,,,,
時事,2001,,,,,,,,,ADSL普及,インターネットのブロードバンド化,,,,,
時事,2004,,,,,,,,,カウチサーフィン,海外旅行などする人が他人の家に宿泊させてもらうためのコミュニティサイト,,,,,
時事,2008,,,,,,,,,リーマンショック,,,,,,
時事,2010,,,,,,,,,埼玉県春日部市介護士連続殺人事件,,,,,,
時事,2011,,,,,,,,,東日本大震災,,,,,,
時事,2014,,,,,,,,,川崎老人ホーム連続殺人事件,,,,,,
時事,2014,,,,,,,,,Airbnb 日本でサービス開始,,,,,,
時事,2014,,,,,,,,,キッズライン,ベビーシッターマッチングサービス,,,,,
時事,2016,,,,,,,,,相模原障害者施設殺傷事件,,,,,,
時事,2016,,,,,,,,,サブスクビジネス台頭,,,,,,
