Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
主人公の時空,2000,,,,2001,4,20,,,主人公1,,,,,,
ヒロインの時空,2018,,,,2022,,,,,ヒロイン2,Wand-Ⅷ に搭乗、復讐のために鍛え始める,,,,,
ヒロインの時空,1995,12,4,,2001,4,20,,,ヒロイン3,Fortune に搭乗、,,,,,
ヒロインの時空,1797,,,,2300,,,,,ヒロイン4(機械),,,,,,
黒幕の時空,2003,,,,2021,,,,,黒幕2,コロニーのアルカナ「World」を設立。,,,,,
メイン世界,1988,,,,2300,,,,,元号,,,,,,
メイン世界,2000,,,,2005,,,,現在,物語始動点,,,,,,
メイン世界,2005,,,,2021,,,,,コロニー(World)編,コロニーは巨大な「World」のアルカナ,,,,,
イベント,2005,,,,,,,,,21個のパイロット養成機関コロニーが用意される,コロニー内では仮想化された都市が作られており、21の街、21の学校として部活動対抗戦を行わせる。,,,,,
イベント,2005,,,,,,,,,黒幕が養成機関を設立,,,,,,
イベント,2005,,,,,,,,,ヒロインの誕生,,,,,,
地区総体,2021,,,,,,,,,地区総体開始,,,,,,
地区総体,2021,,,,,,,,,準決勝2つ前で告白を受ける,,,,,,
地区総体,2021,,,,,,,,,準決勝にアルカナ「Fortune」が乱入、ライバル件友人が殺害される,,,,,,
地区総体,2021,,,,,,,,,ヒロインとFortuneが転移,ヒロインは1999年にタイムトラベル,,,,,
ヒロインの時空,2005,,,,2021,,,,,ヒロイン1,,,,,,
主人公の時空,2020,,,,2022,,,,,主人公2,Fortune のタイムトラベルを受ける,,,,,
ヒロインの時空,2021,,,,2024,,,,,ヒロイン4,Fortune をヒロイン2に奪われ、Chalicesに搭乗。,,,,,
イベント,1797,,,,,,,,,ヒロイン(機械)がタイムトラベル,海上に転移。右肩のEボールと一部パーツが海底へ。,,,,,
ヒロインの時空,,,,,,,,,,ヒロイン2,,,,,,
主人公の時空,2023,,,,2024,,,,,主人公3,,,,,,
黒幕の時空,2020,,,,2050,,,,,黒幕1,2040年時点で30歳。研究成果として各種アルカナの基礎フレームと古のEボールを使用した試作アルカナ「Fortune」を作成,,,,,
主人公の時空,,,,,,,,,,,,,,,,
メイン世界,,,,,,,,,,主人公4,,,,,,
メイン世界,,,,,,,,,,,,,,,,
メイン世界,,,,,,,,,,,,,,,,
メイン世界,,,,,,,,,,,,,,,,
イベント,2100,4,20,12,,,,,,街の中でマシン2機の戦い,マイナーアルカナが2機街にやってくる,,,,,
イベント,2100,4,20,1215,,,,,,主人公が助けられる,謎の人物（180cm）がやってきて、主人公を助ける。「そうか、今日だったのか」という一言。,,,,,
イベント,2100,4,20,1225,,,,,,アルカナ1機に乗せられる,乗せられる形で助けられる,,,,,
イベント,,,,,,,,,,,,,,,,
イベント,,,,,,,,,,,,,,,,
イベント,,,,,,,,,,,,,,,,
イベント,,,,,,,,,,,,,,,,
イベント,,,,,,,,,,,,,,,,
イベント,,,,,,,,,,,,,,,,
イベント,,,,,,,,,,,,,,,,
