Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の化石人骨,-1,,,,,,,,約14000年～18000年前,浜北人,,,,,,
日本の化石人骨,-2,,,,,,,,22000年前〜20000年前,港川人,,,,,,
日本の化石人骨,-3,,,,,,,,32000年前,山下洞人,,,,,,
新人,-30,,,,-1,,,,,ホモ・サピエンス,1350ml,,,,,
旧人,-30,,,,-4,,,,,ホモ・ネアンデルターレンシス,1550ml,,,,,
原人,-5,,,,,,,,,ホモ・フロレシエンシス,,,,,,
原人,-70,,,,-20,,,,,ホモ・ハイデルベルゲンシス,1250ml,,,,,
原人,-180,,,,-20,,,,,ホモ・エレクトゥス,トゥルカナボーイ　1000ml ,,,,,
原人,-240,,,,-130,,,,,ホモ・ハビリス,680ml,,,,,
原人,-250,,,,-180,,,,,ホモ・ルドルフェンシス,790ml,,,,,
猿人,-200,,,,-120,,,,,アウストラロピテクス・ロブストゥス,,,,,,
猿人,-230,,,,-130,,,,,アウストラロピテクス・ボイセイ,500ml,,,,,
猿人,-270,,,,-230,,,,,アウストラロピテクス・エチオピクス,,,,,,
猿人,-270,,,,-250,,,,,アウストラロピテクス・ガルヒ,450ml  オルドワン石器,,,,,
猿人,-280,,,,-230,,,,,アウストラロピテクス・アフリカヌス,,,,,,
猿人,-390,,,,-290,,,,,アウストラロピテクス・アファレンシス,ルーシー 450ml,,,,,
猿人,-420,,,,-390,,,,,アウストラロピテクス・アナメンシス,,,,,,
猿人,-440,,,,,,,,,アルディピテクス・ラミダス,,,,,,
猿人,-580,,,,-520,,,,,アルディピテクス・カダッパ,,,,,,
猿人,-600,,,,,,,,,オロリン・ツゲネンシス,,,,,,
猿人,-700,,,,,,,,,サヘラントロプス・チャデンシス,,,,,,
類人猿,-900,,,,-700,,,,,オレオピテクス,,,,,,
類人猿,-1500,,,,,,,,,大型類人猿の共通祖先,,,,,,
出来事,-16,,,,,,,,,ミトコンドリア・イヴ,,,,,,
出来事,-9,,,,,,,,,Y染色体アダム,,,,,,
出来事,-100,,,,,,,,,焼けた獣骨,,,,,,
出来事,-150,,,,,,,,,ホモエレクトゥス 脳化指数イルカを抜く(2.8),,,,,,
出来事,-30,,,,,,,,,火の使用が一般化,,,,,,
出来事,-7,,,,,,,,,認知革命,,,,,,
